id,en,jp
0-chapter_name,第6話 若き義勇と水神の鉾," 第6话  年轻的义勇兵和水神的长矛"
0-synopsis,ポセイドンはユーリを狙っていると言うルリア。帝国軍に裏切られた怒りがおさまらないユーリは、ポセイドンから売られた喧嘩を買うと宣言する。程なくして現れたポセイドンは、魔晶の力によって自分を傀儡に貶めた人間達を許さないと語る。そして、人間への制裁として島を破壊する前に、元凶であるユーリの父親の血筋を根絶やしにすると言い放つのだった。,ポセイドンはユーリを狙っていると言うルリア。帝国軍に裏切られた怒りがおさまらないユーリは、ポセイドンから売られた喧嘩を買うと宣言する。程なくして現れたポセイドンは、魔晶の力によって自分を傀儡に貶めた人間達を許さないと語る。そして、人間への制裁として島を破壊する前に、元凶であるユーリの父親の血筋を根絶やしにすると言い放つのだった。
0,<span class='scene-font-katari'>ポセイドンの怒りがユーリに</span><br><span class='scene-font-katari'>向いているとルリアは言う。</span>,<span class='scene-font-katari'>ポセイドンの怒りがユーリに</span><br><span class='scene-font-katari'>向いているとルリアは言う。</span>
1,<span class='scene-font-katari'>自分を睨みつける</span><br><span class='scene-font-katari'>ポセイドンの視線を探すように、</span><br><span class='scene-font-katari'>ユーリは海へと目を向けた。</span>,<span class='scene-font-katari'>自分を睨みつける</span><br><span class='scene-font-katari'>ポセイドンの視線を探すように、</span><br><span class='scene-font-katari'>ユーリは海へと目を向けた。</span>
2,ポセイドンが俺を？,ポセイドンが俺を？
3,はい。<br>海の中から<br>ユーリさんをじっと見つめています。,はい。<br>海の中から<br>ユーリさんをじっと見つめています。
4,……そいつは好都合だ。<br>俺の怒りはまだまだおさまらん！<br>売られた喧嘩は買ってやる！,……そいつは好都合だ。<br>俺の怒りはまだまだおさまらん！<br>売られた喧嘩は買ってやる！
5,<span class='scene-font-katari'>ユーリが戦いの決意を口にした後、</span><br><span class='scene-font-katari'>ほどなくしてポセイドンが</span><br><span class='scene-font-katari'>一行の前に姿を現す。</span>,<span class='scene-font-katari'>ユーリが戦いの決意を口にした後、</span><br><span class='scene-font-katari'>ほどなくしてポセイドンが</span><br><span class='scene-font-katari'>一行の前に姿を現す。</span>
7,水神たる我を愚弄したな、人の子よ。<br>汚れた力が<br>この身と意思の乖離をもたらした……,水神たる我を愚弄したな、人の子よ。<br>汚れた力が<br>この身と意思の乖離をもたらした……
8,愚行！<br>水神は貴様らを断じて許さん。,愚行！<br>水神は貴様らを断じて許さん。
9,制裁だ。<br>貴様らの立つ島、<br>神の手により奈落へ葬ろう。,制裁だ。<br>貴様らの立つ島、<br>神の手により奈落へ葬ろう。
10,ま、待て！<br>お前は本当にそんな事を……！,ま、待て！<br>お前は本当にそんな事を……！
11,知っているぞ、貴様の血を。<br>その身は水神が鉾によって穿つ。,知っているぞ、貴様の血を。<br>その身は水神が鉾によって穿つ。
12,水神を顕現至らしめた者の子よ！<br>元凶たる者に連なる血族を！,水神を顕現至らしめた者の子よ！<br>元凶たる者に連なる血族を！
13,「顕現至らしめた者」……？<br>まさか……<br>俺の親父を恨んでるってのか？,「顕現至らしめた者」……？<br>まさか……<br>俺の親父を恨んでるってのか？
14,待て！　俺の親父はもう……,待て！　俺の親父はもう……
15,……そうか、それで俺を狙うのか。,……そうか、それで俺を狙うのか。
16,<span class='scene-font-katari'>ポセイドンが自身に怒る理由を</span><br><span class='scene-font-katari'>理解したユーリ。</span>,<span class='scene-font-katari'>ポセイドンが自身に怒る理由を</span><br><span class='scene-font-katari'>理解したユーリ。</span>
17,<span class='scene-font-katari'>ユーリは、ある決意を胸に、</span><br><span class='scene-font-katari'>ポセイドンと対峙するのだった。</span>,<span class='scene-font-katari'>ユーリは、ある決意を胸に、</span><br><span class='scene-font-katari'>ポセイドンと対峙するのだった。</span>
info,1,1
,,
