path,trans,duration,note
voice/3030006000_birthday1,Happy Birthday！,1,生日
voice/3030006000_birthday2,生日快乐。,1,
voice/3030006000_birthday4,真好啊~~我也想快点成为漂亮的大小姐~,5,
voice/3030006000_Halloween1,万圣节快乐！,2,万圣
voice/3030006000_Halloween2,不给糖就捣蛋！,2,
voice/3030006000_Halloween3,不给我糖果的话我就恶作剧哦~,2,
voice/3030006000_Xmas1,圣诞快乐！,2,圣诞
voice/3030006000_Xmas2,喂喂，来吃蛋糕吧！,3,
voice/3030006000_newyear1,新年快乐！,2,新年
voice/3030006000_newyear1,喂，给我压岁钱！,2,
voice/3030006000_Valentine1,情人节快乐！,2,情人节
voice/3030006000_Valentine3,有、有啊……巧克力。不过，是义理的啊,6,
voice/3030006000_whiteday2,欸？礼物？哈哈，谢谢！怎么了，突然那么周到。,8,白情
voice/3030006000_whiteday3,不过今天也不是我生日……欸？白色情人节？,7,
voice/3030006000_whiteday4,哦，哦哦，说起来是这样，是白色情人节啊。,7,
voice/3030006000_whiteday5,是、是吗，那这就是你送的白情回礼啊。,9,
voice/3030006000_whiteday6,呵呵，谢谢你，我会好好保管的。,6,
