path,trans,duration,note
voice/3040046000_birthday2,Happy Birthday！,1,生日
voice/3040046000_birthday1,生日快乐。,1,
voice/3040046000_birthday3,大家一起来庆祝姬塔的生日吧！\n很多人一起庆祝的话，就会收到很多幸福哦~你知道吗？,9,
voice/3040046000_Halloween1,万圣节快乐！,2,万圣
voice/3040046000_Halloween2,不给糖就捣蛋！,3,
voice/3040046000_Halloween3,万圣节来了哟，我们来变装吧，团长。\n我来帮你选适合你传的衣服，我看看选什么好呢。,7,
voice/3040046000_Xmas1,圣快！,2,圣诞
voice/3040046000_Xmas3,团长，圣诞节有空吗？如、如果可以的话……\n和我……一起……\啊——真是——好害羞啊！！,18,
voice/3040046000_newyear1,新年快乐~☆,2,新年
voice/3040046000_newyear2,新年开始就想悠闲度日呢☆来来，姬塔你也坐一会吧☆,7,
voice/3040046000_Valentine1,情人节快乐~,3,情人节
voice/3040046000_Valentine2,嗯？巧克力？会给你的会给你的！\n我做了大家的份，你可要感激~~地享用啊！,8,
voice/3040046000_Valentine3,团长……这个……那个，这给你……\n啊！这是义理巧克力！啊，不过！那个……\n不、不要在大家面前吃啊。不然的话我给你的跟给大家的不同这事就要露馅了……,19,
voice/3040046000_whiteday1,白色情人节快乐！,3,白情
voice/3040046000_whiteday2,三倍返还？不用了不用了~\n因为心意是没办法数字化的啊。,7,
voice/3040046000_whiteday3,情人节的回礼？\n哇ー！不愧是团长☆脑子真好使☆\n 认真的性格会很受欢迎的哦ー☆,7,
