id,en,jp,trans
0-chapter_name,,旅行とウリポン,旅行和小猪
0-synopsis,,買い物を終え、公園でそれぞれが休息する中、アニラはアンチラがクビラを喜ばせたいと話していた、とクビラに語る。もう少し自分の望みを伝えてみてはと言うアニラに対し、クビラは自分の気持ちを話すのが怖いと語る。しかし、姬塔と出会ってから変化しているとアニラに指摘されたクビラは、少しずつ自分の気持ちを伝えていこうと誓うのだった。,结束购物后，在公园中休息的时候，阿尼拉对库碧拉说安琪拉想要让库碧拉开心。对着说出希望你能更多的表达自己感情的阿尼拉，库碧拉表示自己对于表达自己的感情感到害怕。但是，被阿尼拉指出与姬塔相遇后产生了些许变化的库碧拉，发誓要一点点的表达自己的感情。
2,,<span class='scene-font-katari'>男達を懲らしめた一行は、</span><br><span class='scene-font-katari'>アンチラ達と合流し</span><br><span class='scene-font-katari'>買い物を続行する。</span>,惩罚了这些男人后，一行人与安琪拉汇合继续购物。
8,,<span class='scene-font-katari'>その後、一行は買い物を切り上げ</span><br><span class='scene-font-katari'>近くの公園を散歩していた。</span>,之后，一行人结束了购物在附近的公园散步。
9,,……ふう。<br>この辺で休憩しようか。,……哈。我们就在这里休息吧？
10,,ぷひぷひ～♪,噗噗〜♪
11,,ンメェェ～！！,咩咩〜！ ！
12,,よしよ～し！<br>向こうで遊びましょうね～♪,乖乖～！我们去那边玩吧〜♪
13,,もふもふ、ふかふか……<br>あはは～、もふふか天国だ～！,毛茸茸，软绵绵……哈哈〜，这是毛茸茸天堂〜！
14,,<span class='scene-font-katari'>野原に駆け出し、</span><br><span class='scene-font-katari'>動物達と戯れるルリアとアンチラ。</span>,跑向原野的，是与动物们一起玩耍的露莉亚和安琪拉。
15,,ぷひ～♪,噗〜♪
16,,メェ～！,咩〜！
17,,ぷひぷひ♪,噗噗♪
18,,メェメェ♪,咩咩♪
19,,ほんっと元気だな、<br>あいつら……,真是有精神啊，那群家伙……
19-sel1_txt,,<span class='scene-font-katari'>ぷひ～♪</span>,噗〜♪
19-sel2_txt,,<span class='scene-font-katari'>ンメェェ～！！</span>,咩〜！ ！
20,,って、姬塔もやるのかよ！？,咦，姬塔你也要这样做吗！ ？
21,,<span class='scene-font-katari'>我慢できない様子で、</span><br><span class='scene-font-katari'>動物達と戯れに向かう姬塔。</span>,一副忍不住的样子，姬塔跑向动物们一起玩耍。
22,,よぅし……<br>それならオイラも行くとするか！,好吧……那么咱也一起去吧！
23,,おい、オイラも混ぜてくれ～！<br>ぷひぷひ～♪,嘿，加我一个吧！ 噗噗〜♪
25,,くふふふふふっ！<br>皆、はしゃいでおるのう！,嘻嘻嘻！大家都很兴奋呐！
26,,ふふっ、そうだね。,嗯，没错呢。
27,,<span class='scene-font-katari'>野原を駆け回る姬塔達を、</span><br><span class='scene-font-katari'>クビラとアニラは</span><br><span class='scene-font-katari'>微笑ましそうに眺めるのだった。</span>,库碧拉和阿尼拉，微笑着眺望着在原野上奔跑的姬塔他们。
37,,くぅ……,呼 ……
38,,すぅ……すぅ……,呼呼……
39,,……結局、寝ちゃったね。,……结果，睡着了呢。
