id,en,jp,trans
0-chapter_name,,十天の試練,
0-synopsis,,ソーンをなんとか倒すことに成功したニオ。「この試練が終わったら、どこかで食事でもどう？」と誘うソーンに対し、ニオは「……気が向いたら行く。あと、うるさい所は嫌」と答える。ニオらしい回答に思わず笑いながら、ソーンはその場を後にするのだった。,
0,,大丈夫？,你还好吗？
1,,……ええ、平気よ。<br>私を倒すなんて、さすがね。,……嗯，没问题哦。不愧是你啊，能击倒我。
2,,ちょっと負けるかもって思った。,有稍微想过可能会输。
3,,自信はついた？,现在有自信了吗？
4,,……うん。,……嗯。
5,,ねえ、ニオ。<br>この試練が終わったら、<br>どこかで食事でもどう？,呐，妮欧。这个试炼结束以后，一起去哪里吃个饭如何？
6,,……気が向いたら行く。<br>あと、うるさい所は嫌。,……哪天心血来潮的话吧。还有，不喜欢吵闹的地方。
7,,ふふふふ！　貴方らしい。<br>もちろん、静かな場所を選ぶわ。,呵呵呵呵！确实很像你的回答。我一定会给你选一个安静的地方的。
8,,じゃあね。<br>成功を祈ってる。,那么再见，也祝你武运昌隆。
9,,ありがとう、ソーン。,谢谢你，索恩。
info,,1,scene_ult_chr130_q4_2_s20
