id,en,jp,trans
0-chapter_name,,十天の試練,十天众的试炼
0-synopsis,,ニオが弱くなっていないことを実感したフュンフは、ニオに力を取り戻させた九界琴に興味を持つ。ニオの「九界琴、見る？」という誘いに飛びついて、九界琴を手に取るフュンフ。そして無茶苦茶にいじくり回され、九界琴は悶絶するのであった。在感受到妮欧乐曲的力量之后，芬芙对九界琴产生了兴趣，因为它恢复妮欧的力量。 “想看九界琴吗？”妮欧欣然接受了提议，拿出了九界琴给芬芙看。（此时九界琴疯狂大叫）。
0,,<span class='scene-font-4'>おおー！</span><br>ニオ、弱くなってないじゃん！,噢噢！妮欧，你都没有变弱嘛！
1,,ふふ、<span class='scene-font-spword'>九界琴</span>のおかげ。,呼呼，都多亏了<span class='scene-font-spword'>九界琴</span>。
2,,その音色がニオを癒したんだねー<br>ふむふむ、ちょっと興味がありますなー,那个音色治愈了妮欧的病是吧——唔姆唔姆，有点感兴趣啊。
3,,<span class='scene-font-spword'>九界琴</span>、見る？,要看吗？<span class='scene-font-spword'>九界琴</span>。
5,,<span class='scene-font-gray'>なっ……！？</span>,<span class='scene-font-gray'>啥……！？</span>
6,,見る見るー！<br>なるほどなるほど、<br>これが<span class='scene-font-spword'>九界琴</span>……,要看要看！原来如此原来如此，这就是<span class='scene-font-spword'>九界琴</span>……
8,,<span class='scene-font-gray'>ま……待つのだ童よ！</span><br><span class='scene-font-gray'>汝を使い手として認めた事は……！</span>,<span class='scene-font-gray'>等……等一会儿啊小童！我认可你为使用者的事……！</span>
9,,<span class='scene-font-spword'>九界琴</span><span class='scene-font-katari'>の抗議もむなしく、</span><br><span class='scene-font-katari'>フュンフは無邪気に</span><span class='scene-font-spword'>九界琴</span><span class='scene-font-katari'>へと</span><br><span class='scene-font-katari'>手を伸ばす。</span>,<span class='scene-font-katari'>不顾</span><span class='scene-font-spword'>九界琴</span><span class='scene-font-katari'>的抗议，芬芙还是把手伸了过来。</span>
10,,じゃらーん！　ぽろんぽろんぽろーん！<br>にゃははははーっ！<br>楽器って面白いねえ！,锵啦！波咯波洛波洛！喵哈哈哈哈——！乐器好有趣啊！
12,,<span class='scene-font-gray'>ぐああ……っ！</span><br><span class='scene-font-gray'>やめろ！　滅茶苦茶に弾くな！</span><br><span class='scene-font-gray'>調律が狂う！　弦が伸びる！</span>,<span class='scene-font-gray'>咕啊——！够了！不要拼命弹啊！调律要乱了！弦被拉长了！</span>
info,,1,scene_ult_chr130_q4_5_s20
