path,trans,duration,note
voice/3040038000_mypage1,你们心中流动的旋律，我很喜欢。,5,终突前
voice/3040038000_mypage2,你现在带着九界琴吗？一起来弹吧？,5,
voice/3040038000_mypage3,我听见很讨厌的声音，无论怎样都停不下来。,4,
voice/3040038000_03_mypage1,我觉得听不见别人内心的旋律的话就会感觉轻松点。\n因为如果那些多余的声音不再传到我的心中，那么呆在人群应该也没有问题。,12,终突后
voice/3040038000_03_mypage2,我想要努力，让所有人都不用塞住耳朵。,6,
voice/3040038000_03_mypage3,九界琴给了我新的力量。\n我会为了你而使用它。,8,
voice/3040038000_birthday1,生日快乐！,1,生日
voice/3040038000_birthday2,Happy Birthday！,1,
voice/3040038000_birthday3,生日快乐！\n我做了弹琴指甲，用龙鳞削出来的。\n弹起来一定很舒适，你戴戴看？,9,
voice/3710115000_mypage1,你要帮我拿行李吗？谢谢。\n嗯……里面是调律用的道具……因为很容易损坏，所以平时不会交给别人保管。,18,私服皮
voice/3710115000_mypage2,和团长一起走在街上，我非常安心。\n因为你的旋律在我的心里回响，充满了我的内心，让我不会再听到其他讨厌的旋律。,19,
voice/3710115000_mypage3,我穿这身衣服的时候不要叫我十天众……\n把我当成喜欢安静的地方和安稳的音乐的凡人妮欧，好不好？,18,
voice/3040038000_Halloween1,万圣节快乐。,2,万圣
voice/3040038000_Halloween2,今天我不想出门。因为有人扮成很可怕的样子。,6,
voice/3040038000_Halloween3b,不给糖就捣蛋。\n喂，糖果呢？,7,
voice/3040038000_Xmas1,圣诞快乐!,2,圣诞
voice/3040038000_Xmas2,今天是圣诞呢。街上四处洋溢着幸福的旋律。\n……但总觉得有讨厌的声音混在其中。我去阻止一下。,17,
voice/3040038000_newyear1,新年快乐！,2,新年
voice/3040038000_newyear2,我要把庆祝新年的曲子献给十二神将。你要来一起弹吗？,8,
