path,trans,duration,note
voice/3020044000_Halloween1,万圣节了啊。,2,万圣
voice/3020044000_Halloween2,不给糖就捣蛋？,4,
voice/3020044000_Halloween3,今天是万圣节啊，难怪伙伴们里有些人变装了。,7,
voice/3020044000_Xmas1,圣诞快乐。,2,圣诞
voice/3020044000_Xmas3,我为利贝拉阁下它们准备的圣诞美食被偷吃了！团长，我们去找犯人！,8,
voice/3020044000_newyear1,新年快乐！,2,新年
voice/3020044000_newyear2,被炉……据说那是遥远异国拥有的魔法般的道具。,7,
voice/3020044000_Valentine1,情人节了啊,2,情人节
voice/3020044000_Valentine2,嗯？巧克力？这样啊，感谢你费心。,8,
voice/3020044000_whiteday1,白色情人节啊。,2,白情
voice/3020044000_whiteday2,哼哼哼，今天就给你个好东西吧，毕竟平常都受你照顾。,7,
voice/3020044000_whiteday3,是利贝拉阁下它们给的，毛球！,5,
