id,en,jp,trans
0-chapter_name,"Cain, Abel, and...",カインとアベルと,该隐、亚伯、以及...
0-synopsis,"Cain laments his inability to take the plunge to save 姬塔. When Reinhardtzar tells him not to flatter himself, Cain recalls fond memories of Abel, stirring him to action. Cain puts on formal wear and gets together with allies to quell the civil disorder in Idelva.",空の底へ落下した姬塔を追わなかったことを悔やむカイン。ラインハルザはそんなカインに、うぬぼれるなと言い放つ。カインは、昔、アベルからも同じように諭され、「追い詰められて自分しか見えなくなったら、周りを見てみろ」と言われたことを思い出す。決意を新たにしたカインは、正装に袖を通し、イデルバ王国の混乱を収めるため仲間達と団結するのだった。,该隐非常后悔没能追上落向天空底部的姬塔。莱茵哈萨对该隐说，别太高估自己的能力。该隐想起他的哥哥亚伯之前也对他说过同样的话。“当你走得太急，只注意到自己的时候，不妨留意一下周围。”心意已决的该隐穿上新装，打算与同伴们一同平息伊提巴王国的混乱。
1,"Eyes fixed on his clenched fists, Cain bares his frustration while standing at the periphery of an island overlooking a vast sea of clouds.",<span class='scene-font-katari'>雲海を見下ろす島の外縁で、</span><br><span class='scene-font-katari'>カインは歯がゆそうに己の拳を見つめ、</span><br><span class='scene-font-katari'>ひとり佇んでいた。</span>,心烦意乱的该隐独自一人站在岛屿的边缘，盯着自己紧握的拳头，身前是一片云海。
2,Brother... Captain...,兄さん……<br>姬塔……,哥哥……姬塔……
3,"Cain thinks back on a recent, gut-wrenching farewell.",<span class='scene-font-katari'>やるせない様子で</span><br><span class='scene-font-katari'>そう呟くカインの脳裏には、</span><br><span class='scene-font-katari'>かつての別れが回想される。</span>,该隐嘴里念叨着，脑海中再次浮现出那时的情形。
8,The Golden Knight Alliah hurtles toward the depths of the skies along with the rubble of the Great Wall.,<span class='scene-font-katari'>グレートウォールの瓦礫と共に</span><br><span class='scene-font-katari'>空の底へと落ち行く黄金の騎士アリア。</span>,当时，黄金骑士亚莉亚与长城崩塌的瓦砾一同向天空的底部坠去。
13,But 姬塔 jumps after her and knocks her back to safe ground.,<span class='scene-font-katari'>姬塔はその身を投げ出し、</span><br><span class='scene-font-katari'>彼女を島の内側へと弾き飛ばす。</span>,姬塔冲了出去，将她撞回了岛上。
14,...!,っ……！？,……！ ？
16,"Unfortunately, the laws of physics dictate that 姬塔 must be pushed in the opposite direction.",<span class='scene-font-katari'>しかし、アリアを弾いた反動により、</span><br><span class='scene-font-katari'>姬塔の身体は</span><br><span class='scene-font-place'>シュテルケ島</span><span class='scene-font-katari'>から大きく離れてしまう。</span>,然而，由于反作用力，姬塔飞出了修提克岛。
17,Captain!,姬塔っ……！！,姬塔……！ ！
18,"Intent on not losing 姬塔, Cain gets ready to leap off the edge of Starke Island.",<span class='scene-font-katari'>カインもまた、</span><br><span class='scene-font-katari'>姬塔を追うように、</span><br><span class='scene-font-place'>シュテルケ島</span><span class='scene-font-katari'>の外縁へ走るが──</span>,该隐向姬塔跑去，来到了修提克岛的边缘──
19,Agh...,っ…………,啊…………
20,Cain stops in his tracks at the very last moment.,<span class='scene-font-katari'>虚空へと踏み出すその直前、</span><br><span class='scene-font-katari'>カインは瀬戸際で島に踏みとどまる。</span>,就在即将踏出岛屿的瞬间，该隐停下了脚步。
22,The Grandcypher whizzes by in 姬塔's direction.,<span class='scene-font-katari'>そんなカインの頭上を、</span><br><span class='scene-font-katari'>姬塔を追った騎空艇</span><br><span class='scene-font-katari'>グランサイファーが飛び去った。 </span>,于此同时，追逐姬塔的骑空艇格兰塞法掠过了该隐的头顶。
27,...,…………,…………
28,(I hesitated... I only had to take one last step in order to give myself for the captain...),<span class='scene-font-kokoro'>（あと少し、届かなかった……</span><br><span class='scene-font-kokoro'>あと一歩、姬塔のために、</span><br><span class='scene-font-kokoro'>自分を捨てることが出来なかった……）</span>,（差一点点就赶上了……只差一步，我就可以牺牲自己救回姬塔了……）
29,I've always been like this...,俺は……いつもこうだ。,我……总是这样。
30,A feeling of helplessness overcomes Cain.,<span class='scene-font-katari'>カインは己の両手を見つめ、</span><br><span class='scene-font-katari'>無力感を噛みしめる。</span>,该隐看着他的双手，突然袭来了一阵无力感。
31,(Both my brother and captain left me behind...),<span class='scene-font-kokoro'>（兄さんも、姬塔も、</span><br><span class='scene-font-kokoro'>俺を置いていっちまった……）</span>,（哥哥和姬塔都丢下了我……）
32,Cain shakes his head as if in self-denial.,<span class='scene-font-katari'>カインは静かに首を振り、</span><br><span class='scene-font-katari'>己の想いを否定する。</span>,该隐静静地摇了摇头，否认了自己的想法。
33,"No, that's not how it was...",……いいや、違う。,……不，不对。
34,They didn't forsake me...,兄さんや、姬塔達が、<br>俺を置いていったんじゃない。,不是他们丢下了我。
35,It was <span class='scene-font-italic'>me</span> who couldn't follow through with the decision to follow in their footsteps...,俺が……選べなかったんだ。<br>あいつらと一緒にいくことを。,是我……没有选择追随他们。
36,"My doubt, hesitation, and fear robbed me of everything...",そうやって躊躇って、迷って、<br>怖がって……<br>気が付けば何も残っちゃいない……,像这样被踌躇、迷惘、恐惧所束缚……等我回过神来时……已经失去了一切。
37,Perhaps the utter hopelessness I feel is my punishment...,こうして無力を感じるのは……<br>他でもない、俺自身への罰だ……,这种无力感…….一定是对我的惩罚吧……
38,Cain once again turns his eyes toward the periphery of the island and the endless skies beyond.,<span class='scene-font-katari'>カインは改めて、</span><br><span class='scene-font-katari'>島の外縁と空の境目、</span><br><span class='scene-font-katari'>己の目の前にある境界線に目を落とす。</span>,该隐再次望向岛屿和天空相接的界线。
39,I only had to take this one last step...,この一歩……<br>この境界を越えれば……,这一步……如果跨出这一步……
40,(And I'd be with Abel and everyone in the crew...),<span class='scene-font-kokoro'>（俺も、</span><br><span class='scene-font-kokoro'>兄さんや、姬塔達と</span><br><span class='scene-font-kokoro'>同じところに──）</span>,（就能追上哥哥，还有姬塔他们了）
41,"You still here, Cain?",──またここに居たのか。,──你还在这啊。
42,The Idelva general turns around without the slightest change in disposition.,<span class='scene-font-katari'>振り返り、その姿を目にするも、</span><br><span class='scene-font-katari'>変わらぬ調子でカインは呟く。</span>,该隐没有转身，也没有回头。
43,Oh... It's you.,ああ……ラインハルザか。,哦……莱茵哈萨啊。
45,Heh... You've got disappointment written all over your face.,ふん……<br>わかりやすく落ち込んでるな、お前は。,呵……我知道你很沮丧，该隐。
46,No surprise there.,そりゃあ……そうだろ。,嗯……是的。
47,"Instead of responding with one of his usual quips, Cain merely continues to look downward.",<span class='scene-font-katari'>ラインハルザの言葉に対しても、</span><br><span class='scene-font-katari'>普段の軽口を返すことなく、</span><br><span class='scene-font-katari'>カインは己の足元を見やる。</span>,该隐没有像平常一样还嘴，依旧望着他的脚尖。
48,Just one more step... Just one more...,あと一歩なんだ……<br>あと一歩……,就差一步……就差那一步……
49,But I always fail to take that final step... And that's why I lost everything.,でも、俺にはそれが足りない。<br>だから、何もかも失っちまった。,我总是就差一步，也因为这样失去了一切。
50,"<span class='scene-font-italic'>Everything</span>, you say?",何もかも……ねぇ。,一切……是吗？
51,Reinhardtzar stands beside Cain as he mutters the words.,<span class='scene-font-katari'>ラインハルザはカインの横に並ぶと、</span><br><span class='scene-font-katari'>ただ前だけを見据え、呟く。</span>,莱茵哈萨走到该隐身边，注视着前方。
52,"If you really have lost it all, then who's this wise guy I see before me? Heck, who am <span class='scene-font-italic'>I</span>?",何もかも失ったってんなら、<br>ここに居るお前は誰だ？<br>ここに居るオレは何だ？,你说你失去了一切，那现在站着这里的是谁？现在站在这的我又是谁？
53,The legions of people awaiting your return—what exactly are they to you?,お前が戻ることを待ってる奴らは、<br>お前にとって<br>いったい何だってんだ？,那些等着你回去的人，对你来说又算什么呢？
54,I'm not trying to force you to look ahead.,いまオレは、<br>無理矢理お前に<br>前を向かせるつもりはねぇ。,我现在，没有强迫你振作起来的意思。
55,Just remember to keep your pride and your wits about you.,だがな……<br>忘れるのも、<br>うぬぼれるのもたいがいにしておけよ。,只是……希望你能记得，不要总是高估自己的能力。
56,"Having said what he came to say, Reinhardtzar walks off.",<span class='scene-font-katari'>それだけ告げると、</span><br><span class='scene-font-katari'>ラインハルザはその場にカインを残し、</span><br><span class='scene-font-katari'>歩き去っていく。</span>,说完，莱茵哈萨便离开了。
57,...,…………,…………
58,Stop flattering yourself—,<span class='scene-font-gray'>うぬぼれるな──</span>,别太高估自己的能力──
59,(Abel too said something to that effect...),<span class='scene-font-kokoro'>（そうだ……</span><br><span class='scene-font-kokoro'>前に俺は、</span><br><span class='scene-font-kokoro'>兄さんにもそう言われたんだ……）</span>,（是啊……之前哥哥也这么对我说过……）
64,It was but a mere mishap when Cain injured Abel during training.,<span class='scene-font-katari'>アベルとの剣の稽古中、</span><br><span class='scene-font-katari'>カインは誤って、</span><br><span class='scene-font-katari'>アベルに怪我をさせてしまう。</span>,在与亚伯一起切磋剑术时，该隐误伤了亚伯。
65,Ouch...,てて……,唔……
66,(I couldn't stop apologizing to him at the time.),<span class='scene-font-kokoro'>（──そうだ。</span><br><span class='scene-font-kokoro'>あの時、俺はしきりに兄さんに謝った）</span>,（──我当时，一直向哥哥道歉）
67,(But then he...),<span class='scene-font-kokoro'>（でもあの時、兄さんは──）</span>,（可那时候，哥哥却说──）
68,"Geez... Stop flattering yourself already, Cain.",まったく……<br>うぬぼれるなよ、カイン。,唉……别太高估自己的能力了啊，该隐。
69,"A real apology comes from the heart, when you actually feel sorry.",あのな、謝るってことは、<br>自分が悪い、って思ってる、<br>ってことだぞ。,听着。道歉，是因为你知道自己错了。
70,"Flip that logic around, and it means you feel that <span class='scene-font-italic'>you</span> could have done something different to avoid the situation.",自分が悪い、って思うのは、<br>裏を返せば、自分なら何とか出来た、<br>上手くやれた、って思うことだ。,知道自己错了，反过来讲，就是知道自己该怎么做才能做得更好。
71,"Cain, you're not as strong as you think you are. And everyone around you is a lot tougher than you give them credit for.",カイン。<br>お前が思うほど、お前は強くないし、<br>お前が思うほど、周りも弱くない。,该隐。你没有你自己想象中的那么强，周围的人也没你想象中的那么弱。
72,So I suggest you stop blaming yourself for every little thing that goes wrong.,だから、なんでもかんでも<br>自分のせいにしようとするな。,所以，不要发生了什么都怪罪在自己头上。
73,Only reason I got hurt just now was because I wasn't careful enough. It's got nothing to do with you.,俺が怪我をしたのは、<br>俺の不注意が原因だ。<br>お前のせいなんかじゃない。,我受伤是因为我不够小心。这不是你的错。
74,(And how did I respond again?),<span class='scene-font-kokoro'>（──そう言われて、</span><br><span class='scene-font-kokoro'>俺は何て返したっけ……？）</span>,（──你说完这番话之后，我怎么回答的来着……？
75,(Hm... It felt like he saw right through me...),<span class='scene-font-kokoro'>（思っていたことを</span><br><span class='scene-font-kokoro'>見透かされた気がして……）</span>,（就好像所有的想法都被看穿了一样……）
76,(It was also a relief to know that someone understood me.),<span class='scene-font-kokoro'>（でも、</span><br><span class='scene-font-kokoro'>何かをわかってもらえたような</span><br><span class='scene-font-kokoro'>そんな安心感もあって──）</span>,（但是知道有人能理解我之后，好像有了一种安全感──）
77,"It's all right, Cain.",大丈夫だ、カイン。,没关系，该隐。
78,"When it feels like you're cornered and have lost sight of everything, the first thing to do is draw a deep breath.",追い詰められて、<br>自分しか見えなくなったら、<br>まずはよく深呼吸するんだ。,当你走得太急，注意力全放在自己身上时，不妨先做个深呼吸。
79,"Then take a good, hard look around yourself. You'll see that you're not alone.",そうして周りを見てみろ。<br>お前はきっとひとりじゃない。,然后好好留意你的身边。你会发现其实你并不孤独。
84,...,…………,…………
85,"Reliving a memory near and dear to him, Cain follows the instructions laid out by his brother.",<span class='scene-font-katari'>思い出に従うように、</span><br><span class='scene-font-katari'>カインは一度、大きく深呼吸する。</span>,顺着回忆中哥哥的话，该隐深深地吸了一口气。
86,Phew...,ふぅ……,呼……
87,The golden-brown hue of the magnificent Nalhegrande sky suddenly seems so much grander.,<span class='scene-font-katari'>そうして、踏み出そうとした空の底と、</span><br><span class='scene-font-katari'>薄焼けに染まる</span><br><span class='scene-font-katari'>ナル・グランデの空を見やる。</span>,该隐望着被淡淡的霞光染红的纳尔大空域。
88,I've never seen the skies in such a light...,この空は……<br>こんなに大きくて綺麗だったんだな……,这片天空……如此广阔而又美丽……
89,Yet the billowing smoke from Groz Island—the central island of Idelva Kingdom—signals ongoing warfare.,<span class='scene-font-katari'>しかし、</span><br><span class='scene-font-katari'>イデルバ王国の主島</span><span class='scene-font-place'>グロース島</span><span class='scene-font-katari'>からは、</span><br><span class='scene-font-katari'>戦乱を示すように煙が上がっていた。</span>,只是，战争的硝烟已经在伊提巴王国的主岛──古洛斯岛上弥漫开来。
90,The sight of it stirs Cain to action.,<span class='scene-font-katari'>その戦禍の証を見て、</span><br><span class='scene-font-katari'>カインは改めて拳を強く握る。</span>,想到战争给王国带来的灾难，该隐再次紧握了拳头。
91,(There are still things I need to do.),<span class='scene-font-kokoro'>（俺にはまだ、</span><br><span class='scene-font-kokoro'>やらなくちゃいけないことが</span><br><span class='scene-font-kokoro'>残ってるよな）</span>,（是的，我还有我必须要做的事。）
92,"Filled with newfound resolve, Cain makes his way back to Groz Island.",<span class='scene-font-katari'>新たな決意を胸に、</span><br><span class='scene-font-katari'>カインは郷愁の空から</span><br><span class='scene-font-katari'>歩き去っていく。</span>,该隐心意已决，转身离开了这个充满悲伤回忆的地方。
97,"Back in Luxurios, the capital of Idelva...",<span class='scene-font-katari'>イデルバ王国の首都、</span><br><span class='scene-font-place'>ルクスリエース</span><span class='scene-font-katari'>のとある館。</span>,伊提巴王国首都——卢克西里厄斯的某个宅邸里，
98,Cain is found in a stately room in an estate.,<span class='scene-font-katari'>その一室に、カインの姿はあった。</span>,该隐就在其中的某个房间。
100,Leona calls out to him from outside the room.,<span class='scene-font-katari'>その部屋の外から、</span><br><span class='scene-font-katari'>レオナはカインに声をかける。</span>,雷欧娜在房间外对该隐说道：
105,"Are you done changing yet, Cain?",──着替え終わった？　カイン。,──衣服换好了吗，该隐？
106,Yeah...,ああ……,啊……
111,Who'd have thought there'd be such a thing in a secret hideout built for evacuation purposes.,避難用の秘密拠点に、<br>こんなものがあるなんてな。,避难用的秘密据点里，竟然还有这种好东西啊。
112,"Cain looks at himself, clothed in a new military uniform, in awe.",<span class='scene-font-katari'>カインは物珍しげに、</span><br><span class='scene-font-katari'>身にまとった新たな軍服を見やる。</span>,该隐十分新奇地看着自己一身崭新的军服。
113,"Well, you know what they say... It's the clothes that make the man!",うむ……<br>馬子にも衣装とはよく言ったものよな！,嗯……果然，人靠衣装马靠鞍呐！
114,What Cain wore before was standard military issue.,いつもカインが着てたのは、<br>常用の軍服だもんね。,该隐平时，总是穿着普通军装吧？
115,"This here is ceremonial wear... It suits you well, Cain.",これは礼服でもある<br>本式のものだから……<br>なんだかちょっと感慨深いな。,现在换上了军装礼服……怎么说呢，感慨万千啊。
116,Heh... Didn't know they had such a category.,へぇ……<br>あの軍服に、<br>そんな種類があったんだな。,哇……军装……也有那么多种类吗。
117,"Did you not receive instructions on dress code for formal occasions when you first joined the military, Cain?",式典等では本式の軍服を着用するよう、<br>軍に入る際に、<br>きちんと説明されているはずですが……,这是军人在典礼、仪式上的正式着装，加入军队的时候应该很详细地讲解过了吧……
118,Huh? Erm... M-maybe I did...,えっ？　あー……<br>そ、そうだっけ……？,咦？哦……是、是吗…….？
119,Sigh...,はぁ……,唉……
120,"At any rate, I think it looks great on you!",で、でも、とにかく、<br>よく似合っていると思いますよ！,总、总之，我觉得非常适合你！
121,"Heh! Thanks, Hal.",おう！<br>ありがとな、ハル。,噢！谢谢啦，哈尔。
122,"Having slipped into more formal attire, Cain straightens his posture, ready to take on new challenges.",<span class='scene-font-katari'>より格式の高い装いに袖を通し、</span><br><span class='scene-font-katari'>気持ちを新たに背筋を伸ばすカイン。</span>,换上了新军装的该隐，精神面貌也焕然一新。
123,"Reinhardtzar, who had been quietly watching the others, speaks out in a pointed tone.",<span class='scene-font-katari'>カイン達のやり取りを見守りながら、</span><br><span class='scene-font-katari'>ラインハルザは鋭い調子で声をかける。</span>, 此时，看着他们一直默不作声的莱茵哈萨一脸严肃地向该隐问道：
124,You serious about this?,──で、本気なんだな？,──所以，你是认真吗？
