text,trans
道を外れた仲間を連れ戻してでも<br>全てを助け、己が理想を叶える……<br>その道は断じて容易くはないぞ。,哪怕同伴走上歧途也要把他们带回来，<br>拯救一切，实现自己的理想……<br>这条路必不可能一帆风顺。
その程度のことは覚悟の上だ。<br>何と言われようが、俺は俺の理想を<br>曲げるつもりはない！,我已做好觉悟。<br>不管别人怎样评价，<br>我也不会偏离理想一分一毫！
良かろう。ならば貴様に<br>道を貫くだけの力があると、<br>俺に証明してみせよ！,好吧。那就向我证明，<br>你有实力贯彻自己的道路！
,
キャスパリーグに力を示し、<br>試練を克服せよ！,向凯西帕鲁格展现力量，<br>克服试炼！
手ぬるい。小手調べのつもりか？<br>本気でかかってこなければ、<br>命の保証は出来んぞ？,下手太轻了。你当是在过家家吗？<br>要是不拿出真本事，<br>死了我可不管哦？
Lv?? 白銀の獣の特殊行動が発動！,白银之兽发动了特殊行动！
バトルログ,战斗日志
トーブト・ヴィント,骚乱之风
急いては事を仕損じる。<br>そもそも貴様の見え透いた挑発に<br>乗ってやる道理はない。,心急吃不了热豆腐。<br>更何况，我压根就没有道理<br>理会你那拙劣不堪的挑衅。
アルター・ドナー,远古之雷
Lv?? 白銀の獣のCTがMAXになった。,Lv?? 白银之兽的CT达到了最大值。
くくく……<br>冷静なのは結構だが、果たして<br>その余裕、どこまで持つかな？,呵呵……<br>你看起来相当冷静，<br>不过这份从容能维持到几时呢？
試練だからと手加減はせん。<br>格の違いを見せてやろう！,既然是试炼，我自然不会手下留情。<br>好好领教一下实力的差距吧！
ふっ、格の違いか……<br>これを受けても同じことが<br>言えるか？,哼，实力差距吗……<br>接下这招，再看看<br>你还能否如此妄言？
,
キャスパリーグに力を示し、<br>試練を克服せよ！,向凯西帕鲁格展现力量，<br>克服试炼！
くぁっくぁっくぁっ！<br>何だ、今の威嚇は？<br>子猫の鳴き真似か？,哈哈哈！<br>你管这叫威吓？<br>模仿猫崽子喵喵叫吗？
貴様を怯ませようなどとは<br>最初から思っていない。<br>そんなことより、気づかないのか？,我的目的本就不是威吓你。<br>比起这个，你还没察觉到吗？
……！<br>我が魔力の高まりを<br>打ち砕いていたのか！,……！<br>你把我高涨的魔力击碎了！
残念ながらこれで元通りだ。<br>つまらぬ時間稼ぎをしたところで<br>戦況は覆らぬぞ？,但是很遗憾，这并不影响什么。<br>无聊的拖延手段<br>可扭转不了战局哦？
ふっ……<br>それはどうかな？,哼……<br>究竟如何呢？
くぁっくぁっくぁっ！<br>危険を前に敢えて踏み込むか！<br>望み通り食ろうてやろう！,哈哈哈！<br>居然故意踏入虎穴！<br>那我就遂了你的意，把你吃掉吧！
ベーゼ・ナーゲル,恶意锤击
む……想定より浅かったな。,哼……伤害要比我想象的低啊。
チッ……<br>（ウェールズ家の者相手では<br>ここまで威力が落ちるか）,嘁……<br>（对于威尔兹家成员，威力竟会减弱至此）
まぁ良い。<br>とにかくこれで準備完了だ。<br>礼を言うぞ。,罢了。<br>这下我就准备好了。<br>多谢。
この一撃をもって、<br>我が理想を叶えるに足る力の<br>証明とせん！　行くぞ！,凭此一击，<br>向你证明我的实力<br>足以实现理想！上了！
