text,trans
……──,——
ソワカよ、覇空戦争の因縁と共に<br>その煩悩を打ち払ってやる！<br>それが……,娑婆诃啊，我要和霸空战争时的因缘一起将你的烦恼驱散！那是……
我ら十二神将の役目じゃからな！,我等十二神将的使命！
,
500年分の煩悩を打ち払い<br>ソワカを救え！,驱散500年份的烦恼，<br>拯救娑婆诃！
妾の稲妻はどうだ？<br>少しは目が覚めたか？,本宫的闪电如何，<br>多少清醒一点了吧？
……──！,——！
反撃がくるよ！<br>みんな、気をつけて！,反击来了！<br>大家当心！
Lv?? 煩悩星晶体ソワカの特殊行動が発動！,Lv?? 烦恼星晶体娑婆诃发动了特殊行动！
バトルログ,战斗日志
夢幻持物,梦幻持物
……──！！,——！！
ボンノー、コーノード！<br>キケン！　キケン！,烦恼——高浓度！<br>危险！危险！
ミンナノタメニ、ジョイガ<br>ナントカシテミル！,为了大家，<br>乔伊会想办法！
ジョイ！<br>私も合わせるね！,乔伊！<br>我也和你一起！
攻撃態勢をとるソワカに対し<br>ジョイとクビラが連携技を叩き込む……！,乔伊和库碧拉对摆出攻击架势的娑婆诃<br>使用了连携技……！
ジョイ君、パワーアップして<br>すごく頼もしいね。<br>私も負けていられません。,乔伊，力量升级之后真的很可靠呢。<br>我也不能输给你。
煩悩を払うため、マキラは拳に力を集中させる……！,为了驱散烦恼，玛琪拉攥紧拳头……！
ソワカの一振りによって、十二神将たちは吹き飛ばされる……！,娑婆诃的一挥将神将们击飞了……！
やっと追いついたと思ったら<br>ソワカが増えてるんだけど！？,还以为终于能与之抗衡了，<br>结果它数量增加了！？
瓜二つで、どっちが<br>本物か分からないよ……<br>それとも、どっちも本物？,它们看起来一模一样，分不清谁是真的……还是说，两边都是真的？
しゃらくさいねェ！<br>まとめて煩悩を払っちまえば<br>関係ないってことよ！,可真是爱臭美！<br>把它俩的烦恼一块儿驱除干净<br>就无所谓谁是谁了！
う～ん……<br>片方のソワカが……<br>もうひとつを守っているの……？,唔嗯……<br>其中一个娑婆诃……<br>在保护另一个……？
なんか嫌な予感……！<br>みんな、気をつけ──,我有不好的预感……！<br>大家小心——
無明響音,无明响音
片方のソワカが、もう一方を守るように<br>身構えている……！,其中一个娑婆诃，<br>摆出了保护另一个的架势……！
みんなを助けるためには、<br>ソワカの煩悩を<br>払わなくちゃいけないのに……,为了帮助大家，<br>得驱散娑婆诃的烦恼才行……
十二神将たちは煩悩にあてられ、<br>ソワカを攻撃できない……！,神将们被烦恼缠身，<br>无法攻击娑婆诃……！
イ～！？,噫~！
十二神将たちが強力な煩悩に<br>あてられてしまったようですな。,神将们似乎被强力的烦恼<br>缠得动弹不得。
ミンナ、テヲカシテ！<br>ジカンヲ、ツクッテクレレバ、<br>ジョイガ、ボンノーヲ、ハラウヨ！,大家，帮我一把！<br>只要能，争取时间，<br>乔伊就能，把烦恼，驱散！
ぷひぷひ！！,噗噗！！
ヒコウリたちが時間を稼ぎ、<br>ジョイが破魔の力でソワカの煩悩を払う……！,彦瓜它们争取了时间，<br>乔伊使用破魔之力驱散了娑婆诃的烦恼……！
あれ？<br>ボク達、さっきまでなにを……,咦？<br>我们刚才是怎么了……
ボンノーノエイキョウデ、<br>ウゴケナクナッテ、イタンダヨ！,因为烦恼的影响，<br>变得动不了了！
わたし達まで……<br>おかしくなっちゃってたの……？<br>煩悩の力、すごいね……,连我们都……<br>变得奇怪了吗……？<br>烦恼之力真厉害啊……
ここでズバっと煩悩を払って<br>名誉挽回しちゃえばイイよね☆<br>みんな、いっくよ～！,现在嗖的一下把烦恼驱散掉，<br>挽回名誉就行啦☆<br>大家，上了哦~！
十二神将の役目を果たすため、四人が立ち上がる……！,为了履行十二神将的使命，四人站了起来……！
ソワカの煩悩も<br>だいぶ減ってきたね！,娑婆诃的烦恼大幅减少了！
安心するのは早い。<br>ものすごい圧力を感じるぞ……<br>みんな、用心するんだ！,要放心还太早。<br>我能感受到非比寻常的压力……<br>大家要当心啊！
煩悩は減ってるはずなのに<br>さっきよりも強くなってる……！,明明烦恼已经减弱了，<br>但它好像变得比刚才还要强……！
願いを叶えるための最後の抵抗。<br>といったとこだろうな。,这就是为了实现心愿的垂死挣扎吧。
ここは我が道を切り開く！<br>皆、後に続くのじゃ！,就由我来开辟道路！<br>大家，跟在我后面！
この機を逃す手はない。<br>いくぞ、ヴァジラ。,不要放过这个机会。<br>上了，瓦姬拉。
まかせてくれ！<br>いくぞ～、ガル！,交给我吧！<br>上啊，加鲁！
ヴァジラとインダラは刃に力を込める！,瓦姬拉和茵妲拉将力量凝聚在刀剑上！
もうサンカラの願いに<br>囚われないで……<br>元のソワカに戻って……,不要再被桑卡拉的愿望束缚了……<br>变回原来的娑婆诃吧……
……ッ！？<br>みんな、気をつけて！,……！？大家小心！
なんとかしのぐしかなさそうだね。<br>頼んだよ、ドーマウス！,只能先抵挡一下了。<br>拜托了，多玛乌斯！
ハハッ！　これで完璧！,哈哈！这下完美了！
映願光背,映愿光背
やったね！<br>これでソワカの動きは封じたよ！,成功了！<br>这下娑婆诃就没法行动了！
お願い……<br>十二神将の力で<br>ソワカを……救って……！,拜托了……<br>用十二神将的力量……<br>拯救娑婆诃……！
任せるがよい！<br>これで終わらせようぞ！,交给我吧！<br>这下就结束了！
十二神将全員の想いが力に変わる……！,十二神将全员的意志化为力量……！
