text,trans
母なる神に代わり、<br>私が不敬の代償を<br>取り立てると致しましょう。,就让我代替母神，<br>向你们索取<br>对其不敬的代价吧。
すごい力です……！<br>全身の星晶獣が蠢いて……,好强大的力量……！<br>全身的星晶兽都在蠢蠢欲动……
くそっ……<br>よくも親父さんを……！！,该死……<br>你竟敢把老爹……！！
,
無数の星晶獣と融合した<br>星の民デミウルゴスに立ち向かえ……！,迎战与无数星晶兽融合的<br>星之民德米乌尔戈斯……！
ルリアは星晶獣の力を解放するため集中している……！,露莉亚在专心准备释放星晶兽的力量……！
バトルログ,战斗日志
あの男も哀れなものです。<br>命を賭して繋いだ意志も、<br>結局、ここで潰えるのですから。,那个男人也是可悲。<br>拼上性命维系的意志，<br>最后只能溃散于此。
させません……！<br>そんなこと……！,我们不会让那种事发生……！
親父さんは……<br>ようやく姬塔に<br>再会したばっかだったんだぞ！？,老爹他……<br>才刚和姬塔久别重逢<br>没多久啊！？
貴殿らの事情、思いなど……<br>私と母なる神には<br>何の関係もありませぬ。,你们的境遇、想法……<br>都和我与母神没有任何关系。
潰天,溃天
そんな……,怎么会……
勝算の無い相手に挑むなど、<br>愚かな選択と言う他ない……,向毫无胜算的对手挑战，<br>真是愚蠢至极……
とはいえ……<br>抗って死ぬか、逃げて殺されるか、<br>という程度の違いですがね。,话虽如此……<br>奋战而死和逃跑被杀之间，<br>倒是也有些程度上的不同。
何か……<br>何か打つ手はねぇのか……？,还……<br>还有什么办法呢……？
最強の男を殺した力に、<br>貴殿らが勝てる道理は無いのです。,你们没道理战胜<br>这杀死了最强男人的力量。
Lv?? 星の民デミウルゴスの特殊行動が発動！,Lv?? 星の民德米乌尔戈斯发动了特殊行动！
聖濫,圣滥
もうどうすることも<br>できないんでしょうか……,难道已经无计可施了吗……
くくく……、これ以上は<br>母なる神に怒られてしまいます。<br>戯れもここまでと致しましょう。,呵呵呵……<br>再这样下去会被母神训斥的。<br>游戏到此结束。
3人の窮地に誓いを立てた騎士が現れる……！,在三人陷入绝境之时，曾立下誓言的骑士现身了……！
アビリティ効果,技能效果
カ、カタリナ！！,卡、卡塔莉娜！！
よく頑張ったな……<br>ここからは私に任せるんだ。,你很努力了……<br>接下来就交给我吧。
ただの空の民がひとり増えたとて、<br>その程度、誤差に過ぎませぬ。,只是增加一个空之民，<br>算不得什么。
ひとりだなんて、誰が言ったんだ？,谁说只有一个的？
どうにか間に合ったみたいだね……<br>僕も流石に肝が冷えたよ。,总算是赶上了……<br>我也是捏了一把冷汗。
仲間を守る強い意志を持つ<br>操舵士と銃士が颯爽と現れる……！,拥有守护同伴的强烈意志的<br>舵手与火枪手飒爽现身……！
ラカム、オイゲン！,拉卡姆、欧根！
お前ら、待たせちまったな！,让你们久等啦！
空の民風情が、煩わしい……！,空之民之流，真是碍事……！
言ってろ！<br>その空の民が、<br>お前をぶっ倒してやるからな！,你再说！<br>看我们这些空之民<br>不把你打个稀巴烂！
さらなる旅の続きを願う<br>魔導師の少女と薔薇の女王が仲間の元に駆けつける……！,盼望旅途继续的<br>魔导士少女和蔷薇的女王赶到了同伴们身边……！
咬涜,咬渎
イオちゃんにロゼッタさんも！,小伊欧和萝赛塔小姐也！
もう大丈夫！<br>だってあたし達が来たんだから！,已经没事了！<br>因为我们赶到了啊！
仲間が一緒なら絶対に負けない……<br>でしょう？　姬塔さん。,和同伴一起就绝不会输……<br>对吧？姬塔。
皆のところを巡ってきたんだ。<br>これこそ、<br>君達騎空団の全力だろう？,我们把大家所在的地方去了一遍。<br>现在，<br>你们骑空团的战力就齐全了吧？
たかが数人集まったところで、<br>力の差を覆せるとでも？,你们以为光是人数变多<br>就能颠覆力量的差距？
数の問題じゃない。<br>仲間がいるから戦えるんだ……,不是数量的问题。<br>是有同伴在身边，我们就有勇气战斗。
この逆境も、<br>仲間がいるからこそ、<br>私達は乗り越えられる……！！,现在的逆境也是，<br>只要有同伴在身边，<br>我们就能够克服……！！
全員の想いがひとつになり、力が結集する……！,所有人的意念合而为一，汇聚成强大的力量……！
