text,trans
私は……,我……
,
神と対話せよ──,与神对话——
神の意思を問え──,询问神的意志——
特異点とは何か。,特异点是什么。
（空と星の交差するところ。<br>世界に著しい進化を齎し、<br>同時に脅かすもの）,（空与星交差之处。<br>给世界带来显著的进化，<br>同时亦是威胁）
レギンレイヴ・エクリプス,神遗之蚀
空と星……,空与星……
空と星は、正しくあるべき場所に<br>わかたれるべきだったのか。,空与星是否应该分开，<br>回归正确的地方。
（こたえをもたぬ）,（无可奉告）
プロヴィデンスフォース,神之力量
意思を……,请告知您的意思……
世界が行きつく先は、破滅か。,世界抵达的前方，<br>是否是毁灭。
（特異点が、<br>いつの日か世界に問うであろう）,（将来有一日，<br>特异点会这么询问世界吧）
カタストロフィ・ノヴァ,灾祸·新星
世界は……,世界它……
世界と特異点は、<br>それ程までに<br>密接した存在であるのに……,世界与特异点，<br>明明是如此接近的存在……
世界は何故、特異点の存在を<br>許さないのか。,世界为什么<br>不允许特异点存在。
（まだ決まってはいない。<br>世界を破壊する死神となるか。<br>世界を破局から救う救世主たるか）,（尚未确定。<br>他会成为破坏世界的死神。<br>还是从破局中拯救世界的救世主）
バハムートはただ静かに天司長を見据えている……！,巴哈姆特静静地看着天司长……！
バハムートがルシフェルに見せた未来は、破壊か、それとも創造か──,巴哈姆特让路西菲尔看到的未来，是破坏还是创造——
バトルログ,
