text,trans
来るぞ……！　皆、呼吸を整えろ！<br>臆して隙を作るな！　あの力を<br>まともに受ければただでは済まん！,要来了……！大家调整呼吸！<br>不要胆怯给他可趁之机！<br>那种力量如果正面承受的话可不是那么轻松的事！
奴め、<br>俺を遅すぎると言ってくれたな。<br>二度は言わせん……！,那家伙说我太慢了。<br>绝不会让他再说出第二次……！
圧倒的クソ野郎を相手に<br>防衛戦とはな。<br>ウジ虫どもの教育に役立ちそうだ。,用防卫战来与压倒性强大的混蛋对决的。<br>好像会对蛆虫们的教育有所帮助。
聖騎士は折れず、屈せず！<br>悪しき者はこの刃にて<br>一刀両断であります！,圣骑士不会受挫、不会屈服！<br>恶人就用这把利刃一刀两断！
アルスターの騎士は……二度と、<br>膝をつくことはない！！<br>世界の盾として耐え抜いてみせる！,阿尔斯塔的骑士……<br>不会再度跪下！！<br>我会作为世界之盾的坚持到最后！
カリオストロの準備が整うまで8ターン耐えろ！,在卡莉奥斯特萝整备好之前坚持8回合！
大した結界だ……<br>経年や環境への適応も含めて、<br>嫌らしいくらい良く出来てやがる。,真是了不起的结界……<br>考虑了经年劣化和对环境的适应，<br>出色的令人厌恶。
まさしく天才の所業だが……<br>このオレ様には<br>少しばかり及ばねぇな！,虽然确实是天才的作品……<br>但还是比本大爷差一点点！
アンセム,
黒き槍,黑枪
カリオストロさんっ！<br>結界の準備は！？,卡莉奥斯特萝！<br>结界准备的怎么样了！？
連合のみんなもかなり<br>不味い状況だ！<br>急いでくれ！,联合军的大家现在处境相当不妙！<br>请快一点！
焦るな。手順は見えてる。<br>だが、時間がかかるのは<br>どうしようもねぇ……！,别着急。我知道该怎么做。<br>但是，要花费时间是没办法的事……！
ブラック・フライ,
はーいっ☆　お・ま・た・せっ☆<br>カリオストロの準備は<br>ばっちりだよっ☆,好！☆久・等・了☆<br>卡莉奥斯特萝已经准备好了哦☆
