text,trans
さて、オレに一撃を与える前に<br>キミが倒れないでいられるか、<br>見ものだね。,那么，在给我一击之前，<br>你能撑住不倒下吗？<br>让我见识见识你有多少能耐。
絶対に、お前の思い通りに<br>はさせない……！,我绝对，<br>不会让你为所欲为……！
,
織部の暴行に屈するな！,不要屈服于织部的暴行！
蒼人は歯を食いしばってこらえている！,苍人在咬牙坚持！
バトルログ,战斗记录
あんな啖呵を切っておいて、<br>ただ殴られているだけか？,嘴上功夫了得，<br>身体难道就只有挨揍的本事吗？
少しは抵抗のひとつでも<br>見せてくれないと、こっちも<br>やり甲斐が無いだろ？,要是你连半点抵抗的意思都没有，<br>那也太没劲了吧？
……っ！<br>くそッ！,……呃！<br>可恶！
たとえ、力では敵わないとしても……！,就算力量比不过他……！
お前のやり方に、<br>これ以上付き合う<br>義理なんてない！,对于你的所作所为，<br>我根本没有奉陪下去的道理！
……へぇ？,……诶？
僕がいつまでも<br>大人しくお前に従うと思ったら<br>大間違いだ！,如果你以为我会一直乖乖听你的话，那就大错特错了！
ハッ、生意気なセリフは<br>オレから一本取ってからにしろよ。,呵，说得这么嚣张。<br>有本事你就碰到我的一根汗毛试试看。
おいおい、さっきまでの<br>威勢はどうした？,喂喂，刚刚的气势哪去啦？
あれだけオレを煽ったからには、<br>最後まで相手してくれるんだろ？<br>なぁ、蒼人？,你都这么煽动我了，<br>就一定会陪我玩到最后吧？<br>是不是啊，苍人？
僕が皆を……あの子を守るんだ！,我要保护大家……还有那个女孩！
皆を……あの子を<br>傷つけさせはしない！,绝不会让大家……还有那个女孩受伤！
健気だねぇ。<br>だが、そんなボロボロの状態じゃ<br>説得力が無いぜ？,真顽强啊。<br>不过，你这副伤痕累累的样子<br>可一点说服力都没有啊？
それでも、僕は……何をされても、<br>どれだけ痛めつけられたって！<br>お前なんかに屈するもんか！,即使如此……不管被你怎样羞辱，<br>不管被你怎样折磨，<br>我都不会向你屈服！
へぇ……そうかい。<br>なら、キミのお望み通り<br>存分に甚振ってやるよ！,哦……是吗？<br>那么，我就如你所愿，<br>尽情挥拳了！
Lv?? 織部明彦の特殊行動が発動！,Lv?? 织部明彦发动特殊行动！
まだ始まったばかりだぜ？,我才刚刚开始哦？
うぐッ……！,呜咕……！
おっと、もう限界か？<br>急に黙り込んじゃって、<br>さッ！,哎呀，已经到极限了吗？<br>突然就说不出话了，<br>呢！
もっと楽しませてくれよ,让我再多享受一下吧！
ガハッ……！<br>……っ、……ない……,咕啊……！<br>……还，……还没……
ん？,嗯？
こんな傷、全然痛くない……！<br>お前にどれだけ殴られようと……<br>僕は、絶対に……負けない！,这点程度的伤，一点都不痛……!<br>不管被你殴打多少次……<br>我都，绝……不认输！
……ハッ、相変わらずよく吠える。<br>どれだけ言っても聞かない犬には、<br>お仕置きが必要だよなぁ？,哈……还是那么爱叫唤。<br>对于说不听道不改的恶犬，<br>我可有必要惩罚一下啊？
二度と逆らえないようにしてやるよ！,让你再也不敢违抗我们！
