text,trans
力が溢れてくる……！<br>解放されたあたし達の力、<br>思いっきり見せてあげるわよ！,力量涌上来了……！<br>解放了的我们的力量，<br>就让你好好尝尝吧！
ああ！　こっちも絶好調だ！<br>エムブラスクも復活したし、<br>負ける気がしないぞ！,对啊！我也是最佳状态！<br>艾姆布拉斯克也复活了，<br>我觉得不会输！
ｲﾘﾆﾓﾆﾐﾁｶｲ ﾗｺﾄｶﾁｿﾘｲﾄ.,eliminate obstacles.
姬塔、ゼタさん、<br>ベアトリクスさん！<br>私も、一緒に戦います！,姬塔，泽塔，贝阿朵丽丝！<br>我也一起战斗！
オッケー、ルリアちゃん！<br>みんなで力を合わせて、<br>ユーステスが来る前に倒すわよ！！,OK，露莉亚！<br>大家齐心合力，在尤斯缇斯来之前打倒它！！
作戦:STAY MOONを完了せよ！,完成作战：STAY MOON！
ルリアは様子をうかがっている！,露莉亚正在观察情况！
バトルログ,战斗log
Lv100 ネイキッド・ディアスポラの特殊行動が発動！,
攻撃命令「窒息」,攻击命令“窒息”
うう……！<br>身体から、力が抜けていく<br>みたいです……！,唔唔……！<br>身体好像开始乏力……！
ルリアちゃん、大丈夫！？<br>それに姬塔まで……<br>アイツの攻撃で影響を受けてる？,露莉亚，没事吧！？连姬塔也……<br>是受了它的攻击的影响？
姬塔、大丈夫か？<br>その装備で何か<br>使えるものはねぇのかよ？,姬塔，没事吧？<br>你那装备没有什么能用的吗？
すごいなそれ！　傷も治せるのか？<br>他にも何か使えるものは無いのか？,那个好厉害啊！能治疗吗？<br>还有什么能用的吗？
わあ……！<br>姬塔の力が<br>守ってくれてます！,哇……！<br>姬塔的力量保护了我们！
ありがと、姬塔！<br>それじゃ、反撃開始！,谢谢，姬塔！<br>那么，开始反击！
ｿﾗﾐｶﾆﾐﾅﾆﾐｷ ﾁﾄﾄﾁﾅﾘｶ.,continuing assault.
……何だか、<br>姬塔ばっかり<br>狙われてねぇか？,……好像，它只盯着姬塔打？
あたし達は眼中に無いってこと？<br>あっそう……じゃ、見くびったのを<br>後悔させてあげるわ！,意思是完全不把我们放在眼里？<br>是吗……那么就让它后悔小看我们吧！
ｼﾁﾓﾁｷｲ ｲｻｿｲｲｼﾄ ｲﾄｶﾆﾓﾁｶﾆﾗﾐ.,damage exceeds estimation.
