text,trans
終末を目前にして<br>くだらん感傷を擦り合うものだ。<br>それで？,终末就在眼前时搞这种无聊的感伤。<br>然后呢？
俺には理由がある。<br>貴様を倒さねばならん理由が……！,我有理由。<br>有必须要打倒你的理由……！
理由だと？　くだらん。<br>お前達は俺に及ぶ者ではない。<br>故に如何なる理由も意味を成さん。,理由？无聊。<br>你们这群人里没有能与我对等的人。<br>因此不论是何种理由都没有意义。
黒き羽を攻撃し、ルシファーの力を削げ！,攻击黑翼，削弱路西法的力量！
ルリアは様子をうかがっている！,露莉亚在观察状况！
バトルログ,战斗记录
フィークス,
あくまでルシフェルの力に頼るか。<br>不用品らしく、己の無力さの<br>自覚はあるらしい。,到头来还是依靠路西菲尔的力量吗。<br>看来你作为废品，<br>对自己的无能有自知之明。
いや。<br>俺は無力ではない。<br>それを示しただけだ。,不。<br>我不是无力。<br>我只是想展示这个而已。
冗談のつもりか？<br>借り物の力を誇るお前が<br>何を示したというのだ？,在开玩笑吗？<br>以借来的力量为豪的你，<br>能展示些什么呢？
Lv?? ルシファーの特殊行動が発動！,Lv??路西法开始特殊行动！
イブリース,
Lv?? 黒き羽の特殊行動が発動！,Lv?? 黑翼开始特殊行动！
Lv?? ルシファーが真の力を解放した！,Lv?? 路西法解放了真正的力量！
グラン！<br>ルリア、ビィ！<br>来るぞ、俺の後ろにいろ！,姬塔！露莉亚、碧！<br>要来了，快躲到我的身后！
特異点にかまけている場合か？<br>半死半生の役立たずを決戦に<br>伴うとは、不用品の考えは解せん。,这种情况下还在关注特异点吗？<br>在决战里带着这种半死不活的废物，<br>真是无法理解废物在想什么。
ああ、<br>貴様には永劫わからんだろう……<br>俺が戦い続ける理由もな……！,是啊，<br>你这种人永远不会明白的吧……<br>我能一直战斗的理由你也不会懂……！
ポースポロス,
マルス,
……さあ、全てを決しよう。,……那么，现在做一个了断吧。
俺と共にある者達……いや、<br>在るべくして在る全てが俺に<br>力をくれた。負けられぬ理由もだ。,与我同在的诸位……不，<br>所有存在的一切都给了我力量。<br>还有不能输的理由。
グラン、ルリア、ビィ。<br>そして……,姬塔、露莉亚、碧！<br>以及……
……お願いです。<br>俺に、どうか力を！,……拜托了<br> 请助我，一臂之力！
セフィロト,
Lv?? ルシファーのCTがMAXになった。,Lv?? 路西法的CT满了。
Lv?? 黒き羽のCTがMAXになった。,Lv?? 黑翼的CT满了。
……冗長だな。<br>茶番はもう終わりだ。,……真是漫长。<br>闹剧该结束了。
く……！　はあ、はあ……！<br>顔色ひとつ変えないとは……！,咕……！哈、哈……！<br>脸色居然一点都没变……！
だが、奴も無傷ではない……！<br>ここで、諦めるものか……！,但是，那家伙也不是没有受伤……！<br>怎么能在这里……放弃……！
パラダイス・ロスト,paradise lost
