text,trans
text,
追いついたぜ！<br>これが本当の最後の戦いだ！,
世界を、未来を<br>終わりになんてさせません！,
理想の理解を拒むのは、<br>旅に妄信する旅人ゆえか……,
やっちまえ！<br>姬塔！　ルリア！<br>オイラ達の全部をぶつけるんだ！,
,
空の世界の命運を賭けた最後の戦いに終止符を打て！,
「至聖の座」はもう目の前です。<br>なんとしてもここで<br>食い止めないと……！,
なにゆえ、<br>誰もが望む理想の世界を<br>否定するのか……,
初めから満たされていたのなら、<br>旅に出る必要など無いでしょう。,
リバース・ノスタルジア,
お前が届けたんだろ！<br>親父さんからの手紙を……！,
あの手紙を初めて読んだ<br>姬塔の顔を、<br>オイラはいまでも覚えてる……,
姬塔の胸に旅立ちの記憶が蘇る……,
バトルログ,
寂しいから旅に出たんじゃねぇ……<br>憧れに近づきたかったから、<br>姬塔は旅に出たんだ！,
憧れに近づこうとする<br>姬塔の勇気が、<br>私を救ってくれました……,
旅を続けていれば……<br>勇気を持って前に進めば、<br>どんな奇跡だって起きるんです！,
姬塔を介して<br>「破壊の神」と「星の神」の力が今、一つとなる……！,
その無謀な信念が、<br>多くの悲劇を生んだのだ……！,
この力なら<br>きっとあいつを止められる……！,
認めない……<br>そのような力も、<br>くだらない信念も……,
旅は終わる……<br>全ては私が終わらせる……！,
私達は負けません……！,
Lv?? 疑似創世神アンティゴネロスの特殊行動が発動！,
アイオーン・エイレーネ,
未来に進めば進むほど<br>安寧は遠ざかっていく……,
これ以上の未来は認めない。<br>悲劇へ至る前に、<br>終幕を迎えなくては……,
疑似創世神アンティゴネロスは力を集中させるため、<br>姬塔から距離を取る……！,
逃がすかよ！！,
Lv?? 疑似創世神アンティゴネロスの力の解放が大気を激動させる……！,
旅は全て終わらせる……！<br>一なる世界こそ最良の結末なのだ！,
旅の終着点は<br>他の誰でもない、オイラたち<br>自身で決めるもんだ……！,
私達の旅は終わりません……<br>蒼い空が続く限り、どこまでも！,
空の世界の命運を賭け、<br>超越的な力と力が激突する──,
