text,trans
（想定を越えた進化である。<br>もはや我が力の一端……<br>竜の名を冠するに能う）,（你的进化超乎想象。你已具备冠以我力量的体现——龙的名号）
（しかし、<br>空の神の末席に連なるならば、<br>その神意をここに示せ）,（但你若想位列空之众神的末席，<br>就在此展现与神相符的意志吧）
,
空の世界の行く末を委ねられる<br>存在であることを示せ──,证明自己是足以肩负<br>空之世界结局的存在吧——
神様なんかどうだっていい！<br>オイラは仲間と……<br>姬塔と旅を続けてぇんだ！,神不神的都无所谓！<br>俺只是想和同伴……<br>和姬塔一起继续旅行！
（神とは力ではない。<br>神とは世界に責任を持つ者。<br>我欲は認められぬ）,（神并不代表着力量。<br>神是对世界负责的存在。<br>私欲是不被允许的）
ワガママだってのか！？<br>それでも……,你说俺只是在任性！？<br>即便如此……
それでも旅を続けたから、<br>諦めなかったから、イスタルシアに<br>辿り着けたんだ！,即便如此俺也一路旅行过来了，<br>从来没有放弃，<br>所以才能来到伊斯塔尔西亚！
（この進化への過程こそ、<br>旅であると？）,（就是旅程，<br>促成了你的进化吗？）
（ならば旅の果てに何を見る。<br>進化の先には何がある）,（那么在旅程的终点你看到了什么？<br>进化的前方还存在什么？）
そんなのわかんねぇよ……<br>でも、きっと後悔はしねぇ。,你说的俺不懂……<br>但俺肯定不会后悔。
自分で選んで辿り着いた場所なら、<br>後悔なんてするはずねぇ！,这个地方是俺自己选择并到达的，<br>怎么可能后悔呢！
（因果も情も全ては<br>破壊と再生の円環に収束する。<br>それでも、旅に意義を見出せるか）,（因缘与人情终究<br>无法逃离破坏与再生的轮回。<br>即便如此，你还能在旅途中找到意义吗）
何百年も、何千年も先で、<br>オイラ達の旅が<br>どんな意味を持つかなんて……,在成百上千年后，<br>俺们的旅程还有什么意义……
それこそオイラ達には<br>何の意味もねぇ。オイラ達は<br>自分のために前に進むんだ。,这个问题对俺们来说才真的没有意义。<br>俺们是为了自己才向前迈进的。
クランチエンド,终结啃噬
（種としての繁栄、<br>世界の未来ではなく、<br>個の現在に重きを置くか）,（比起作为物种的繁荣和世界未来，<br>更加看重作为个体的现在啊）
だからオイラは負けねぇ……<br>オイラ達の旅はまだ終わらねぇ。,所以俺不能输……<br>俺们的旅程不能终结于此。
（空に身を置き、<br>民に寄り添い続け、<br>端末は大きく進化した……）,（通过在天空生活，<br>与空之民相伴，<br>终端实现了巨大的进化）
（されど神ならぬ思考である。<br>しかしながら、空の在り様として<br>否定することもまた能わず）,（这思维与神并不相称。<br>但这也是空之本色的体现，<br>无法加以否定）
これがオイラの答えだぜ。<br>端末じゃなくって、オイラ自身の！,这就是俺的答案。<br>不是终端的，而是俺自己的！
（神格は認められぬ。<br>しかし、力を得る資格はある）,（无法认可其神格。<br>但是其具备获得力量的资格）
（なれば受けよ……<br>神なる破壊の咆哮を……！）,（那便接下吧……<br>神圣的破坏咆哮……！）
破壊の神はビィが空の世界を行く末を<br>託すに値するか見極める……！,破坏之神试图判明，<br>碧是否值得托付空之世界的未来……！
バトルログ,战斗日志
オイラは神様にはなれねぇ。<br>でも、姬塔の仲間として、<br>相棒として力になりてぇ……,俺成不了神。<br>但俺想作为姬塔的同伴、搭档<br>派上用场。
姬塔がいつも隣にいるから<br>オイラは前に踏み出せるんだ！,姬塔一直都陪在俺身边，<br>所以俺才能向前迈进！
ビィは自分の奥底に眠る力を最大限引き出す……！,碧把沉睡在体内的力量引出到了极限……！
破壊の神はビィの決意を受け入れる……！,破坏之神正面接下了碧的决心……！
