text,trans
やってやろうぜ……！<br>正真正銘、<br>これで幽世と決着だ……！！,上吧！<br>这次真是和幽世的最终对决了……！！
奴が弱っているいまが<br>おそらく最初で最後の好機だ。<br>この機を逃すわけにはいかない……,它现在被削弱了，<br>这对我们来说是唯一一次良机，<br>千万不要放过啊……
みんなが生きる、<br>この空を守るために……<br>私達は絶対に負けません……！,为了我们大家生活的这片天空……<br>我们绝不认输……！
敗北条件,失败条件
ルリア、カタリナ<br>いずれかの戦闘不能,露莉亚、卡塔莉娜<br>中任意一人无法战斗
ルリアは様子をうかがっている！,露莉亚在观察情况！
バトルログ,战斗日志
弱っていてなお、<br>これほどまでの力が……,即便被削弱了，<br>力量却还是如此惊人……
下がってろ！<br>巻き込まれたくなかったらな！,不想被卷进来的话<br>就退后点！
Lv?? 幽世の竜の特殊行動が発動！,Lv?? 幽世之龙发动了特殊行动！
災禍の冥蛇,幽冥祸蛇
っ……まだだ。<br>まだ動ける……<br>まだオレは戦える……！,唔……还没完。<br>我还能动……<br>我还能战斗！
……,
いまがその時なんだ……！<br>ここまできて、<br>出し惜しみなんてするかよッ！！,现在就是决胜之时……！<br>谁会在这当儿<br>吝惜自己的力量啊！！
幽世の竜は悶え苦しんでいる！,幽世之龙看起来非常苦闷！
効いてるみてぇだ！<br>この勢いだぜ！,攻击奏效了！<br>就是这个势头！
畳みかけるべきはここか……,别给它喘息的机会……
一気に決めるぞ！<br>姬塔！,一口气解决它！<br>姬塔！
私も！<br>みんな、力を貸して！,我也来！<br>大家，请把力量借给我！
はぁ、はぁ……,啊哈、哈啊……
……<br>フェンリル、君の身体はもう……,……<br>芬里尔，你的身体已经……
わかってる……！<br>だからって、<br>こんなところで退けるかよッ！！,我知道……！<br>所以我才更不能在这里让步！！
Lv?? 幽世の竜のCTがMAXになった。,Lv?? 幽世之龙的CT达到了最大值。
様子がおかしい……<br>何か来るぞ！,它的样子很奇怪……<br>有什么要来了！
……ロキ。<br>オレはオレのやりたいようにやる。<br>それでいいよな？,……洛基。<br>我会照着自己想做的去做。<br>没问题吧？
だから、お前も見失うなよ……！<br>お前が目指した、その場所を！,所以，你也别看丢了……！<br>你自己真正期望的东西！
僕が、目指した場所は……,我真正期望着的……
こんな終わりじゃない！<br>それだけは確かだ……！！,绝不是命丧于此！<br>只有这点毫无疑问……！！
ロキの障壁に護られている姬塔達を、<br>強大な攻撃が襲う！,强大的攻击袭向<br>被洛基的障壁保护着的姬塔等人！
幽世の鎌,幽世之镰
いまのは……ロキの魔法か。<br>おかげで壊滅は免れたが……,刚才那是……洛基的魔法吧。<br>多亏了它我们才平安无恙。
でも、すごく大きな力が<br>また渦を巻いて……,但是，庞大的力量<br>又聚集起来了……
ここまでやっても、<br>まだ倒せねぇってのか……！？,就算做到这个地步，<br>也还是打不倒它吗……！？
全く効いてないってワケじゃねぇ。<br>向こうだってもう限界だ……,也不是毫无成效。<br>它看起来也快到极限了……
このままアイツをぶっ飛ばす！<br>オレに命じてくれ……ロキ！,就保持这个势头把它揍飞吧！<br>向我下令……洛基！
……っ。<br>君が……<br>それを望むなら……！,……嗯。<br>如果这是你所期望的话……！
さぁ、終わらせようぜ……ッ！！,来吧，让我结束这一切……！！
幽世の竜が最後の攻撃を放とうとしている！,幽世之龙发动了最后的攻击！
,
