text,trans
さあ、特異点よ。<br>私と戦い、世界の意思を問え。,来吧，特异点。<br>与我战斗，询问世界的意志。
残るのは特異点か、調停か。<br>私は、己の意思があるうちに<br>決着をつけなければならない。,活下来的是特异点，还是调停。<br>我必须在自己还有意识的时候做个了断。
でも……！<br>コスモスさんを倒したら、<br>ゾーイちゃんまで……,但是……！<br>打倒科斯莫斯的话，佐伊也会……
……姬塔、ルリア。<br>これは、私の願いでもあるんだ。,……姬塔，露莉亚。<br>这也是我的愿望。
共に、この世界を守るために。<br>戦いを終わらせよう。,为了一起保护这个世界。<br>结束这场战斗吧。
,
特異点として、コスモスとの戦いに決着をつけよう──,作为特异点，给与科斯莫斯的战斗画下句号——
くっ……、<br>やはり、私とコスモスは……！,唔……<br>果然，我和科斯莫斯是……！
そんな……！？<br>何もしていないのに、<br>ゾーイちゃんがケガしてます！,怎么会……！？<br>什么都没做佐伊却受伤了！
ゾーイ、お前は調停のシステムが<br>空に顕現させた私の写し身。<br>影響を受けるのは当然の摂理。,佐伊，你是调停系统显现在<br>空之世界的我的分身。<br>受到影响是理所当然的。
姬塔……！<br>私のことは気にせず、<br>コスモスを攻撃するんだ……！,姬塔……！<br>不要在意我，攻击科斯莫斯……！
そんなことでは、<br>この世界も、お前の大切な存在も<br>守る事は出来ない……,这样做，无论是世界<br>还是你重要的人都无法保护……
デュアルクライ,双重呐喊
私の願いは、わかっているはずだ。<br>ためらっている時間はない。<br>コスモスを、攻撃するんだ！,你应该知道，我的愿望。<br>没有时间犹豫了。<br>攻击科斯莫斯！
姬塔！！<br>お願いです、ゾーイちゃんの<br>ケガを……！,姬塔！！<br>拜托了，治疗佐伊的伤……！
コスモスを攻撃することはできない……,无法攻击科斯莫斯……
バトルログ,
特異点よ。<br>世界の存続を選んだその意思は、<br>偽りだったということか。,特异点啊。<br>你选择世界存续的意志，<br>是虚伪的吗。
ならば、特異点の破壊をもって、<br>この世界に破局が訪れることを<br>私が証明してみせよう。,那么，就用特异点的破坏，<br>来向我证明这个世界会迎来破局吧。
アジャストヘイロー,调停光环
そんな……<br>このままじゃ、<br>姬塔まで……！,怎么会……<br>这样下去的话，<br>连姬塔也会……！
……私は今まで、キミの優しさと<br>強さに、ヒトの未来が秘める<br>可能性の力を何度も感じてきた。,……一直以来，我在你的温柔和强大里，<br>无数次感受到了蕴藏了人类未来的可能性之力。
終わらせるわけにはいかない。<br>もう一度、キミが立ち上がる<br>その時まで……！,不能让这一切结束。<br>在你再一次站起来之前……！
この世界の未来を守るために。<br>キミが、不可能を可能にする<br>その時まで。,为了守护这个世界的未来。<br>直到你把不可能化为可能之时。
私は、共に戦い続けよう。<br>その先に待つのが消滅だとしても。<br>それが、私の願いだ！,我会一直和你一起战斗。<br>即使之后等待我的是消灭。<br>这就是我的愿望！
ゾーイ、お前は……<br>ならば、改めて<br>世界の意思を問え。,佐伊，你……<br>那么，重新询问世界的意志吧。
ゾーイとの想い出が脳裏に浮かぶ……！,与佐伊的回忆在脑海里不断浮现……！
このまま、最後まで叶わぬ願いを<br>追い続けるというのか……<br>それもまた、お前の意思。,你决定就这样追逐<br>无法达成的愿望直到最后吗……<br>这也是你的意志。
これは、初めて私が自分の意思で<br>決めた私の願い。<br>だからこそ、誰にも邪魔はさせん。,这是我第一次用自己的意志<br>决定的我的愿望。所以，<br>不会让任何人妨碍它。
たとえコスモス……<br>あなたが相手だとしても、この命<br>世界を守るために捧げよう！,即使对手是你……科斯莫斯。<br>为了保护世界我就赌上这条命！
スウィープ・デトネーション,清除爆破
ぐうっ！<br>こんな、ことで……！<br>諦めるわけには、いかない。,咕！<br>不能就因为这样……放弃。
ゾーイちゃん！<br>あんなに傷ついて……,佐伊！<br>伤得好重……
姬塔！<br>お願いです、もう一度……<br>もう一度、立ち上がってください！,姬塔！<br>拜托了，再一次……<br>请再一次站起来！
特異点よ。<br>これで、終わりなのか。<br>お前の意思はどこにある？,特异点啊。<br>这样就结束了吗。<br>你的意志在哪里？
Lv?? コスモスのCTがMAXになった。,
ああ、それでいい。<br>キミは未来を見据えて……<br>コスモスを倒せ！,对，这样就行。<br>你只要看准未来……<br>打倒科斯莫斯！
ゾーイ、お前は……<br>その意思は理解した。<br>ならば、今度こそ終わらせよう。,佐伊，你……<br>你的意思我理解了。<br>那么接下来，就真正结束吧。
なるほど……<br>これが、世界の意思か。,原来如此……<br>这就是世界的意志吗。
姬塔……。<br>キミに会えて、本当に良かった。,姬塔……<br>能够见到你，真是太好了。
この戦いの決着を、キミの手で。<br>そして……<br>私の願いを、叶えてくれ。,用你的手，为这场战斗画下句号。<br>然后……实现，我的愿望。
