text,trans
……例えば、お前は……<br>一族を導く<br>標の光だったのかもしれない……,……比如说你……<br>可能曾经是引导族人的道标之光……
なのに……ッ！！,然而……！！
盟友足り得る道、今は閉ざされ──,成为盟友的道路，如今被阻断——
彼方より訪れ穿ち描くは明日示す曼荼羅──,自远方而来，描绘出展示明日的曼陀罗——
……俺は、誰かを導いたり<br>できるような人間じゃない。,……我并不是，<br>能够引导别人的人。
他の誰かがずっと、<br>俺のことを導いてくれた……,而是别人，<br>一直以来都引导着我……
忘れ得ぬ寂滅あれど美しき夜明け──,虽然有无法忘却的寂灭，黎明仍旧美丽——
もし運命というものがあるのなら<br>きっと……<br>出会いこそが、運命だ。,如果有命运这种事情的话，<br>那么……<br>相遇一定就是命运。
出会いこそが運命、か……<br>そうだな、例えば……,相遇即是命运，吗……<br>是啊，说起来……
彷徨う俺が人買いに、<br>マフィアに出会ったのは<br>正に運命だった。,彷徨的我遇到人贩子，<br>然后遇到黑手党，<br>这些正是命运。
スリー・ラウンド・バースト,三重爆发
……同情か？,……你同情我吗？
……違う！！,……不是！！
Lv?? ネハンが真の力を解放した！,Lv?? 涅槃解放了真正的力量！
技が鈍っている。<br>……お前は、こんなものでは<br>ないだろう！！,招式变慢了。<br>……你应该不会只有这点能耐吧！！
お前は……お前こそは……！！,你是……你才是……！！
一族の中では劣る身に<br>痛覚も触覚も<br>鈍った体ではあるが……,虽然我这身体在族里属于劣等，<br>对痛觉和触觉的感觉也很迟钝……
入神湯の力があれば<br>お前に掠ることはできる、か……,但靠入神汤的力量<br>也能伤到你，吗……
カルムの技……,卡尔姆的招式……
そうだ。お前は格闘術に優れ<br>情緒の成長を前にその全てを<br>修めたと言われたが……,没错。听说你擅长格斗术，<br>在情绪成长起来之前<br>就已经学会了全部技巧，不过……
敵の命を奪う毒、<br>仲間の命を支える薬……<br>それもまたカルムの技だ！,夺取敌人性命的毒，<br>支援伙伴生命的药……<br>这些也都是卡尔姆的招式！
一族の矜持そのものたる<br>技の数々……,作为代表了一族的矜持的这些招数……
死して一族の誇りを守るべき身で<br>その役目を果たさず……,本应以死来保卫一族的骄傲<br>却没有完成这个任务……
禁薬ヘヴンを生み出し<br>幾つもの運命を狂わせ……,发明出禁药“Heaven”<br>搅乱了许多人的命运……
それでも、<br>それでも俺は……！！,即使如此，<br>即使如此我也……！！
ネハン……,涅槃……
狂おしき悲しみの奔流さえ阻めぬ歩み──,连疯狂悲伤的奔流都无法阻止前进的步伐——
（俺が……俺が、<br>ネハンに何を言える……？）,(我……<br>我能对涅槃说什么……？）
（助けの手に<br>導かれ続けた俺が……）,（被帮手引导至今的我，<br>能说什么……）
（ネハンから全てを奪った、<br>俺が……！）,（夺走了涅槃的一切的我，<br>能说什么……！）
森羅寂静鬼哭滅掌,森罗寂静鬼哭灭掌
ぐッ……！,唔……！
千、十万、断罪を越え始まる世界──,超越千、十万、断罪，重新开始的世界——
どうした！？<br>そんなものではない……<br>そんなものではないはずだ！！,怎么了！？<br>你不该是这样……<br>不应该是这样！！
そうでなくては……<br>そうでないなら……,你应该是这样……<br>不这样的话……
俺は……俺は……ッ！！,我……我……！！
……俺は、<br>ひとりなんかじゃない。,……我，<br>不是一个人。
もう、<br>ひとりなんかじゃないんだ。,我已经，<br>不是一个人了。
でも、それはきっと……<br>お前も……！！,但是，这也意味着……<br>你一定也……！！
ムゲン……,无限……
何故ムゲンの手を離した？<br>あいつはお前が行くと言うなら<br>地獄にだって共に行くだろう。,为什么放开无限的手？<br>只要你说去，<br>就算是地狱他也会随你而去。
俺とて……姬塔が<br>そうすると言うなら……！！,就算是我……<br>只要姬塔这么说，我也……！！
なのに、何故……！！,明明如此，<br>你为什么……！！
出会いを運命と呼ぶのなら<br>ムゲンも最悪の運命を<br>背負ったものだな……,如果要把相遇当成命运，<br>那么无限他也算背负了<br>最糟糕的命运……
人殺しに見出され<br>親のように慕うとは。,被杀人者发现，<br>把他当成亲人敬慕。
それは……,那是……
それは、お前がそう思い込みたい<br>だけなんじゃないのか！,那难道不只是你自己<br>固执地这么想吗！
獄門・叫喚,狱门·叫唤
シスの闘気が具現化し、分身となってネハンを囲んだ！,希斯的斗气实体化，成为分身包围了涅槃！
出会いを最悪と言うなら、<br>何故……最初から<br>ムゲンを放っておかなかった……,如果你说相遇是最糟糕的，<br>那么为什么……<br>没有一开始就放着无限不管……
言葉を知らずとも、<br>人と交わらずとも、元居た島で<br>あいつは平和に暮らしていけた。,就算不知道语言，不与人交流，<br>只要在原来的岛上，他也能和平地生活下去。
それでもお前が声を掛け、<br>世話を焼いて、<br>運命を交差させたのは……,然而你向他搭话，<br>照顾他，<br>让你们的命运交汇的是……
お前にあいつの<br>何がわかる！？,你懂他的什么！？
あいつは……ムゲンは……！！,他是……<br>无限他是……！！
わかりはしない！<br>それでも……！！,我不懂！<br>但是……！！
それでも、お前にとってムゲンが<br>ムゲンにとってお前が……<br>大切な存在であることはわかる！,但是我知道，<br>你对无限来说，无限对你来说……<br>都是重要的人！
俺にも……俺にだって、<br>大切と思ってくれる存在が<br>大切に思う相手がいるからだ！,因为我也……<br>我也有互相珍视的人！
お前と共に行動すれば<br>いずれマガザンに目をつけられ<br>或いは利用されるかもしれない。,和你一起行动的话<br>迟早有一天会被玛格森盯上，<br>或是利用。
俺への復讐が失敗すれば尚更……<br>だから、お前は……,对我的复仇失败的话更加有可能……<br>所以，你就……
煩い！！,吵死了！！
黙れ……俺の心の中に<br>入ってくるな……！<br>……ッ……,闭嘴……<br>不要进到我心里……！<br>…………
………………<br>入ってくるな、<br>ムゲン……！！,…………<br>不要进来，<br>无限……！！
！！<br>（入神湯の大量摂取で<br>錯乱が……！？）,！！<br>（因为大量喝下入神汤<br>导致错乱了吗……！？）
疾門・惑心,疾门·惑心
ハァッ……ハァッ……,哈……哈……
（わかっている……<br>俺には、ネハンに<br>何を言う資格もない……）,（我知道……<br>我没有资格对涅槃说什么……）
（だが……！）,（但是……！）
繋ぐは紅き血潮通う掌──,连接一切的是流淌着红色鲜血的手掌——
（姬塔……お前が<br>そうしてくれたように……）,（姬塔……<br>就像你对我做的那样……）
（視界に捉えていながら<br>目を背けるものへ<br>向き合わせたい……）,（我想让虽然在视野里<br>却移开视线的人直面我……）
（それが傲慢だとしても……<br>それでも俺は……せめて……！）,（就算这是傲慢……<br>就算如此我也……至少……！）
オォオオオオオオ！！,噢噢噢噢噢！！
ネハン！,涅槃！
…………ッ！,…………！
お前が何を選ぶとしても<br>俺は阻む権利などない……<br>それでも！！,我没有权利阻止你选择任何事……<br>但是！！
それでも俺は、<br>お前に……,即使如此我也，<br>希望你……
お前にも、<br>生きていて欲しいんだ！！,希望你活下去！！
鬼哭途絶え寂静去り万象すらも追いつけぬ先へ共に──,一起前往那鬼哭断绝，寂静逝去，连万象都无法追上的未来——
（嗚呼……そうだ、やはり<br>その力、その心、その輝き……）,（啊啊……没错，<br>就是这股力量，这种心情，这种光辉……）
