text,trans
我らを取り囲む黒霧……<br>打ち払わぬことには<br>降霊術師を追えぬようだ。,看来想要追上那个降灵术士，<br>就得先驱散包围我们的黑雾……
黒霧の出所はあの異形か。<br>速やかにあれを眠らせ、<br>ここを突破するぞ。,黑雾的来源是那个妖物啊。<br>尽快送它安眠<br>然后突破这里吧。
……はい。,……是。
とても暗くて戦いづらそうです……<br>皆さん気をつけてくださいね！,周围太暗作战困难……<br>各位请多加小心！
心配には及ばん。<br>この程度の暗闇、俺の炎で照らせば<br>どうということはない。,不必担心。<br>这种程度的黑暗，<br>我用火焰照照就没什么大不了的了。
,
異形を倒し、冥界の闇を打ち払え！,打倒妖物，驱散冥界之暗！
深紅の炎が周りを明るく照らす……！,绯红的火焰照亮了四周……！
バトルログ,战斗日志
ウルルォロロロォォォ……,呜嗷嗷嗷嗷……
Lv?? 黒霧を呑吐せし異形の特殊行動が発動！,Lv?? 倾吐黑雾的妖物发动了特殊行动！
救ワレヌ心,无救之心
ちっ……<br>実体を捉えられん。,嘁……<br>把握不了实体啊。
我が手を打つ。<br>攻撃が来るぞ、備えろ。,我来处理。<br>对方打过来了，准备好。
これで終いか？<br>では宣言通り<br>我が氷牢に幽してやろう。,这就结束了？<br>那就如我所说，<br>被我的冰牢囚禁吧。
氷塵よ……吹き荒れろ！,冰尘啊……狂舞吧！
もう逃げられんぞ。,你无处可逃。
Lv?? 黒霧を呑吐せし異形は凍っていて動けない！,Lv?? 倾吐黑雾的妖物因冻结而无法行动！
ウルルォ…ウロロロロォォ……,呜呜呜……呜嗷嗷嗷嗷……
怨嗟ノ聲,怨嗟之声
っ……！<br>おい無事か、家臣共！,……！<br>没事吧，家臣们！
うぅ……なんだか<br>力が入らなくなって……,唔……<br>好像使不上劲……
生気を吸い取られたか……<br>長引けば消耗するばかりだ。<br>一気に片をつける必要がある。,生气被吸走了吗……<br>若再拖延，只会不断消耗。<br>我们要一鼓作气了结它。
はい。速やかに体勢を整え、<br>決着をつけましょう。,是。尽快调整态势，<br>和它做个了断吧。
姬塔、<br>フォローを頼む！,姬塔，<br>支援就拜托你了！
ふっ、的確な判断だ。<br>では反撃に出るぞ！,呵……判断得很准。<br>那就开始反击吧！
フン……<br>余程眠るのが嫌と見える。<br>ならば我が氷牢の中で──,哼……<br>看来这家伙不怎么想入眠啊。<br>那就在我的冰牢之中——
兄上、ここは俺に<br>任せていただけませんか。,兄长，这里能交给我吗。
怪猫よりもらい受けた炎ならば、<br>異形であろうと<br>打ち倒せるはずです。,从怪猫那得来的火焰，<br>哪怕是妖物，<br>应该也能打倒。
……そうか。,……是吗。
ならば見せてみろ。<br>お前の王道を照らす<br>気高い燦炎を！,就让我见识一下吧。<br>照亮你王道的高贵燦炎！
はい！,是！
ひれ伏せ！,折服吧！
彷徨ウ魂,彷徨之魂
（良い気迫だ。<br>所詮は甘い幻想だと思っていたが、<br>お前ならば或いは……）,（不错的气魄。<br>我曾觉得这不过是稚嫩的幻想，<br>但如果是你的话……）
兄上、今です！,兄长，趁现在！
ああ……では今度こそ、<br>あれを眠らせてやるとしよう。<br>合わせろ、パーシヴァル。,我懂……<br>这下定要让它安眠。<br>帕西瓦尔，与我合力。
無論です！,当然！
兄弟は呼吸を合わせて力を解き放つ……！,兄弟二人心有灵犀，同时释放了力量……！
