text,trans
親の役割であっても、<br>こんなことは<br>したくなかったんだが……,保护孩子是父母的天职，<br>但我并不想做到<br>这份儿上……
この場で教えてやる。<br>お前はまだ守られるべき<br>子供だということを。,我会让你明白，<br>你还只是个需要被保护的孩子。
,
父親に力を示せ！,向父亲证明自己！
剣の構え、太刀筋、受け身。<br>その全てから旅の中で幾度となく<br>壁を乗り越えたことが分かる……,持剑的姿势、挥剑的力量、防守的姿势。我能从中看出你在旅途中跨越了<br>无数的障碍……
だが足りない。<br>お前が挑もうとしているのは<br>そういう世界なんだ。,但是还不够。<br>你想要挑战的世界就是这样。
親父さんがどんなに強くても<br>オイラ達はあきらめねぇ……！,不管老爹有多强，<br>俺们都不会放弃……！
お前は強いよ。<br>おそらく、同じ歳の頃の<br>俺よりもずっと……,你很强。<br>我跟你一样大的时候，<br>恐怕也远不及你……
それでも、俺に傷一つ<br>つけられないようじゃ<br>仲間を守ることはできない！,即便如此，要是碰不到我一下，<br>可是保护不了同伴的！
無影閃打,无影闪打
どんなに相手が強かったとしても<br>オイラ達は仲間と一緒に<br>乗り越えてきたんだ！,不管之前的对手有多强，<br>我们都和同伴一起全部战胜了！
これからだって……,今后也会……
既に失った仲間もいるんだろ……<br>さらに仲間を失う可能性だってある。,你们已经失去很多同伴了……<br>这样下去没准会失去更多。
それに、俺はお前達も<br>失うわけにはいかないんだ。,况且，我不想连你们也失去。
無責任だってのは分かっている……<br>だけど、お前達を守るためなんだ。,我知道这样说很不负责任……<br>但这都是为了保护你们。
父親は姬塔のためを思い、全身に気を集中させる……！,父亲全心全意为姬塔着想，集中浑身精气……！
バトルログ,战斗日志
まったく……<br>諦めが悪いのは俺譲りか。,真是的……<br>爱死缠烂打这一点还真跟我一个样。
次は本気で行く。<br>恨んでくれたっていい。<br>それでも……俺に守らせてくれ。,下一次我不会留情。<br>想恨就恨我好了。<br>只是……让我保护你吧。
いくぞ……<br>姬塔！,我来了……<br>姬塔！
姬塔は父親の本気に正面から立ち向かう……！,姬塔直面父亲的全力一击……！
轟砲拳,轰炮拳
やめてくれ……<br>これ以上、<br>お前達を傷つけたくない。,收手吧……<br>我不想再继续伤害你们了。
何故そこまでして立ち上がる……<br>何がお前をそうまでさせる……？,为何要如此坚持……<br>是什么让你做到这种地步……？
こいつは、オイラ達は<br>諦めたりなんかしねぇ……,这家伙……俺们决不会放弃……
仲間のためなら<br>どんな困難にだって立ち向かう……<br>そうだろ！　姬塔！,为了同伴，<br>我们愿意挑战任何困难……<br>对吧！姬塔！
仲間達への想いが全身に漲る！,对同伴的心意溢满全身！
姬塔の剣はついに父親に届き──,姬塔的剑终于碰到了父亲——
