text,trans
おともだちを……<br>とりかえすの……,我要……<br>救回朋友们……
会話が通じるような<br>相手ではなさそうだな……,似乎不是能交谈的对手……
何をしてくるか分からねぇ。<br>液体みたいなのを警戒しつつ、<br>あの子を抑えるしかねぇな。,虽然不知道发生了什么。<br>但必须一边警戒着液体一样的东西，<br>一边压制住那个孩子才行。
,
幽かな、けれど悲痛な声を上げる少女を止めろ……！,阻止这个声音微弱地悲痛呼喊着的少女吧……！
どうして……<br>どうして、邪魔、するの……！,为什么……<br>为什么，要，妨碍我……！
すごく大きな魔力を感じるわ！<br>姬塔<br>気をつけて……！,感觉到了很强大的魔力！<br>姬塔，<br>小心一点……！
地裂剛腕,地裂刚腕
くっ……！<br>抑えきれないか……！？,咕……！<br>没能压制住吗……！？
Lv?? 涙の海に浮かぶ少女の特殊行動が発動！,Lv?? 漂浮于泪海的少女发动了特殊行动！
バトルログ,战斗记录
梟鳴一擲,枭鸣一掷
じゃまを……しないで！！,不要……妨碍我！！
くそぅ……<br>このままじゃジリ貧だぜ！,咕……<br>再这样下去会越来越不利的！
ラカム！　シンク！<br>次の攻撃の隙を見て<br>私達で一斉に仕掛けよう！,拉卡姆！星！<br>瞄准下一次攻击的间隙<br>我们一起出招吧！
ああ！<br>わかった！,好！<br>明白了！
敵の動きは俺達が抑える！<br>頼んだぞ、姬塔……！,敌人的动作就由我们来压制！<br>拜托了，姬塔……！
廻天連理,回天连理
今だッ！,就是现在！
３人の連携攻撃が少女の動きを止める……！,3人的连携攻击封住了少女的动作……！
3人の攻撃により少女が怯む……,3人的攻击让少女胆怯了……
