text,trans
――,
全く反応がねぇってのも、<br>気味が悪ぃな。,居然毫无反应，<br>感觉真诡异。
でも、今が好機よね！<br>さっさと倒しちゃいましょ！,但是现在机会正好！<br>赶快打倒它吧！
イオちゃん、<br>はやる気持ちはわかるけれど、<br>油断は禁物よ……,伊欧妹妹，<br>我明白你急切的心情，<br>但是不能大意哦……
,
幽世の繭が動き出す前に倒そう！,在幽世之茧有所动作之前打倒它吧！
幽世の繭はゆっくりと胎動している,幽世之茧缓缓地鼓动着。
バトルログ,战斗日志
おいおい……<br>傷の一つもつかねぇじゃねぇか。,喂喂……<br>它连一点伤痕都没有啊。
邪魔はさせない、ってことかしら。<br>時間稼ぎに徹されると<br>こっちがかなり不利ね。,看来它不会轻易受人妨碍。<br>要是让它争取到时间，<br>我们这边就相当不妙了。
それでも<br>今やれることをやるだけよ！<br>これならどう！,即便如此我们也要把握机会积极争取！<br>这下如何！
ちったぁ効いてそうだな。<br>ほらよ！　こいつも食らいな！,好像有点作用了。<br>嗨哟！再吃我一炮！
うーん……<br>手応えが無い感じではないけど<br>効いてる！　って感じもないし……,嗯……<br>倒也不是完全没有造成影响的样子，<br>但看上去效果也不太显著。
全く影響が無い、<br>というわけでもなさそうね。,也不能说是全无效果吧。
僅かでも勝機があるのなら、<br>出し惜しみを<br>している場合じゃないわ……！,即便是微小的胜算，我们也不能放过。<br>现在正是该全无保留地献出一切力量之时！
そうね！<br>全力でいきましょ！<br>ロゼッタ！　オイゲン！,没错！<br>让我们全力以赴！<br>萝赛塔！欧根！
ええ！,好！
おうよ！<br>一気に決めるぞ！,好嘞！<br>一鼓作气干掉它！
イオ達の全力の攻撃をものともせず、<br>幽世の繭は依然として胎動を続けている……,幽世之茧丝毫没有把伊欧等人的全力攻击当回事，<br>依旧继续着胎动。
