id,name,detail
npc,萨拉萨,3040032000
special,星体迸裂,土属性伤害(特大)/切换到剑形态
special-メテオ・スラスト,流星冲击,土属性伤害(特大)/切换到斧形态/对目标发动追击，造成999999无属性伤害
special-アストロ・デストラクション,星体毁灭,土属性伤害(特大)/切换到剑形态/自身土属性攻击力UP
special-アニヒレイション・ノヴァ,湮灭新星,土属性伤害(特大)/切换到斧形态/对目标发动追击，造成2次999999无属性伤害
special-Meteor Thrust,流星冲击,土属性伤害(特大)/切换到斧形态/对目标发动追击，造成999999无属性伤害
special-Astro Destruction,星体毁灭,土属性伤害(特大)/切换到剑形态/自身土属性攻击力UP
special-Annihilation Nova,湮灭新星,土属性伤害(特大)/切换到斧形态/对目标发动追击，造成2次999999无属性伤害
special-backup,,<div class=prt-text-small>土属性伤害(特大)/追加999999点无属性伤害/切换形态/【终突后附加】追加伤害发动两次</div>
skill-1,枭首之怒,<div class=prt-text-small>对敌方单体造成土属性伤害/自身获得逆境效果(HP越少攻击力越高)/根据所处形态发动效果<br>斧:自身获得吸收效果 <span class=text-blue>剑:自身普通攻击伤害UP</span></div>
skill-2,愤怒铸就,<div class=prt-text-small>自身根据所处形态发动效果<br>斧:自身获得反击效果(回避·3次)<br><span class=text-blue>剑:自身不经过回合发动一次普通攻击</span></div>
skill-2++,愤怒铸就,<div class=prt-text-small>自身获得必定三连击/根据所处形态发动效果<br>斧:自身敌对心UP/反击效果(回避·3次)<br><span class=text-blue>剑:自身获得土属性追击效果/不经过回合发动一次普通攻击</span></div>
skill-3,原爆点,牺牲自身HP对敌方全体造成无属性伤害/自身获得屏障效果
skill-3+,原爆点,<div class=prt-text-small>牺牲自身HP对敌方全体造成无属性伤害/土属性防御力DOWN/自身获得屏障效果</div>
skill-4,三寅之祝福,<div class=prt-text-small>自身可以立即发动奥义/效果中回合结束时奥义值变为100%(3回合)/攻击力UP(1回合)/奥义伤害上限UP(1回合)<span class=text-blue>◆无法再次使用</span></div>
support-1,怪力乱神,自身获得不死身效果(3次)
support-1[90],怪力乱神,自身获得不死身效果(3次)/三连击时，第三击伤害UP
support-2,暴虎,自身对水属性目标伤害增加20%
skill-lb,LB技能,自身普通攻击时概率获得攻击力UP(累积)
intro,十天众,威胁着全空、号称最强的无双之兽，掌管着无垠的苍天的一切。她比任何人都了解自然的残酷，奉行弱肉强食之道。只为了不再失去一切。
