0-	chapter_name,,男らしく、兄らしく,像个男子汉，像个哥哥
1-	synopsis,,コウとヨウはミマカの住人の手伝いをするうち、本物の兄妹のように仲良くなっていた。それからしばらくたったある日、コウはヨウを部屋に呼び、九尾の一件も含め幾度も助けられてきた姬塔達へ恩返しをしようと提案する。ふたりは温泉宿の仕事で覚えた技術で一行をもてなそうと、こっそり計画を練るのだった。,蔻和容在帮忙米玛珈的住民时，像是成为了真正的兄妹一般相处。在那之后的某一天，蔻把容叫到房间，和她商量向多次帮助了他们、包括九尾事件的姬塔一行报恩。两人悄悄计划，用在温泉旅馆学到的技术来好好招待姬塔一行。
1,,<span class='scene-font-katari'>コウは姬塔一行のおかげで、</span><br><span class='scene-font-katari'>ヨウから受けた呪いを解くことができ、</span><br><span class='scene-font-katari'>再び歩くことができるようになる。</span>,因为姬塔一行人的关系，蔻解除了从容那里受到的诅咒，又能够正常行走了。
6,,<span class='scene-font-katari'>その後、コウは一行と共に協力し、</span><br><span class='scene-font-katari'>九尾に狂わされていたヨウを救い、</span><br><span class='scene-font-katari'>諸悪の根源たる九尾を打ち倒す。</span>,在那之后，蔻和姬塔一行协力将被九尾狂暴化的容救出，打倒了万恶的根源九尾。
7,,<span class='scene-font-katari'>コウはヨウと和解し、</span><br><span class='scene-font-katari'>ミマカの住人へのヨウの償いを</span><br><span class='scene-font-katari'>全力で手伝い、彼女を支え続けた。</span>,蔻和容和好，并全力帮助容对米玛珈的住民的赎罪，一直支持着她。
12,,<span class='scene-font-katari'>ふたりは償いである</span><br><span class='scene-font-katari'>温泉宿での仕事や町の人の手伝いを経て</span><br><span class='scene-font-katari'>本物の兄妹のように仲良くなっていた。</span>,两人经历了在温泉旅馆打工赎罪和帮助住民这些日子的相处，久而久之已经成为了真正的兄妹一般。
17,,<span class='scene-font-katari'>そして騒動からしばらくたったある日。</span><br><span class='scene-font-katari'>姬塔の騎空団の一員となった</span><br><span class='scene-font-katari'>コウはヨウと部屋で話していた。</span>,骚动过后的某一天，成为了姬塔骑空团一员的蔻和容在房间谈话。
23,コウ/蔻,ヨウ、今からするお話は、<br>僕とヨウだけの秘密です。<br>誰にも言わないでくださいね。,容，接下来说的话是我和你两个人之间的秘密，不能告诉任何人哦。
24,ヨウ/容,かははっ！　珍しいじゃねぇか。<br>コウ兄ぃが悪巧みだなンてよ。,哈哈哈！可真难得啊。蔻哥哥的阴谋什么的。
25,コウ/蔻,人聞きが悪い……<br>今からする話はむしろ逆です。,说的可真难听啊……我现在要说的事倒不如说是正相反。
26,ヨウ/容,あ？　逆ぅ？,啊？正相反？
27,コウ/蔻,ふふふ……僕と一緒に、<br>姬塔さん達に<br>恩返ししませんか？,嘿嘿……和我一起给姬塔他们报恩怎么样？
28,コウ/蔻,今回も、前の九尾の時も、<br>ずっと助けられてきましたからね。<br>ちゃんとした形でお礼がしたいんです。,这一次，和之前九尾的时候，都一直受到他们的帮助呢。希望能正式向他们表示感谢。
29,ヨウ/容,お礼に恩返しぃ……？<br>かははっ……なンだそれ……,表达感谢、报恩……？哈哈哈……什么嘛……
30,ヨウ/容,するっ！　超するッ！　めっちゃする！<br>そンなンすンに決まってンじゃねぇか！,要做！超级要做！绝对要做！这不是当然的嘛！
