path,trans,duration,note
voice/3040222000_halloween_mypage1,万圣节快乐！,3,万圣
voice/3040222000_halloween_mypage2,没想到会有这种愉快的庆典。世界真是广阔啊。,7,
voice/3040222000_christmas_mypage1,Happy Merry Christmas。,3,圣诞
voice/3040222000_christmas_mypage2,大家竟然要一起庆祝平安夜！我好期待啊。,4,
voice/3040222000_newyear_mypage1,恭贺新年！,2,新年
voice/3040222000_newyear_mypage2,呼啊……昨晚上熬夜了，所以现在很困很困……,9,
voice/3040222000_valentine_mypage1,情人节快乐！,3,情人节
voice/3040222000_valentine_mypage2,每到情人节的季节，我都会想起父亲大人笑着大口大口吃巧克力的样子。,8,
voice/3040222000_white_mypage1,白色情人节快乐！,3,白情
voice/3040222000_white_mypage2,虽说今天是白色情人节，但是我没有坐立不安……,6,
