path,trans,duration,note
voice/3040449000_mypage1,身为六龙的我就是『理』本身。倘若要向我许愿，你必须具备毅力和足以信服的理由。,15,
voice/3040449000_mypage2,人类总是将些微小事记住并反映在心情上，不过，在破坏之神创造的这个世界里，这的确是宝贵的。,20,
voice/3040449000_mypage3,身为特异点确会引发各种事件，但显然你就是自找麻烦的性格呢？希望你能认识到自己是柔弱的人类之子，稍微记着点自保吧。,23,
voice/3040449000_newyear_mypage1,恭贺新禧。,3,新年
voice/3040449000_newyear_mypage2,觉得新年值得庆贺，是因为空之世界充斥苦难，还是由于空之世界的生命如此顽强？,11,新年
voice/3040449000_newyear_mypage3,感谢日出是因为知道这是光所赐予的祝福吧。但这份祝福太过峻烈，直视它会有丧失视力之虞。这两者是表里一体的，希望你切勿忘记这一点。,19,新年
voice/3040449000_birthday_mypage1,生日？…那我就道声祝福吧。,8,生日
voice/3040449000_birthday_mypage2,愿弱小却顽强的生命度过的每一日都有幸运相随。,9,生日
voice/3040449000_birthday_mypage3,为了降生在空之世界的生命能获得幸福，我等六龙必须履行职责。,10,生日
voice/3040449000_valentine_mypage1,情人节快乐。愿今天对人之子而言是幸福的一日。,6,情人节
voice/3040449000_valentine_mypage2,牵手的时候，比起不快，还是表现得乐意一点更符合眼下的情形吧？不过说起来，你看起来有些慌张呢。,14,
voice/3040449000_valentine_mypage3,对繁殖采取积极的态度，对于延续谱系是极其重要的吧。只是在我看来，与此相关联的习俗有些过于复杂了。,15,
