id,name,detail
npc,乌诺,3040030000
special,天逆鉾,水属性伤害(特大)/敌方单体mode条减少
special-千槍無量曼荼羅,千枪无量曼荼罗,<span class=prt-text-small>水属性伤害(特大)/敌方单体mode条减少/我方全体获得浑身效果/我方全体获得屏障效果</span>
special-Thousand-Spear Void,千枪无量曼荼罗,<span class=prt-text-small>水属性伤害(特大)/敌方单体mode条减少/我方全体获得浑身效果/我方全体获得屏障效果</span>
skill-1,螺旋回鉾,对OD状态的敌方单体造成10倍水属性伤害/敌方mode条减少
skill-2,刹那一闪,成为攻击目标/获得反击效果(回避时/3次)
skill-2++,刹那一闪,成为攻击目标/获得反击效果(回避时/3次)/获得刹那一闪效果
skill-3,城郭之格局,减免我方全体所受伤害(100%)
skill-4,一伐之祈愿,我方全体全属性伤害减轻(50%)/恢复所受伤害等量HP <span class=text-blue>◆无法再次使用</span>
support-1,开眼者,第一次无法战斗时以HP1继续战斗
support-1+,开眼者,第一次无法战斗时以HP1继续战斗/回合开始时有概率获得50%伤害减免效果(90级)
support-2,罗刹的豪枪,对火属性敌人伤害UP
skill-lb,LB技能,对弱化效果「技能封印」的抗性UP
