id,name,detail
npc,圣德芬,3040224000
special,无限光,<div class=prt-text-small>水属性伤害(特大)/施加1层审判之钟<br><span class=text-blue>◆消耗1层咖啡时光，我方全体获得水属性追击</span></div>
skill-1,自由之地,<div class=prt-text-small>对敌方随机单体造成6次攻击/给予自身5层咖啡时光(最多5层)</div>
skill-1+,自由之地,<div class=prt-text-small>对敌方随机单体造成6次攻击/给予自身5层咖啡时光(最多5层)</div>
skill-2,一・二・三・四,<div class=prt-text-small>对敌方全体造成水属性攻击/攻防DOWN(累积)<br><span class=text-blue>◆消耗1层咖啡时光，攻击2次</span></div>
skill-2+,一・二・三・四,<div class=prt-text-small>对敌方全体造成水属性攻击/攻防DOWN(累积)<br><span class=text-blue>◆消耗1层咖啡时光，攻击2次</span></div>
skill-3,奔流之光,<div class=prt-text-small>强化多次攻击率/水属性攻击/普攻伤害<br><span class=text-blue>◆消耗1层咖啡时光，效果全体化</span></div>
support-1,回忆中的味道,免疫睡眠效果/每3回合恢复HP并增加1层咖啡时光(最多5层)
support-2,天司长的假期,普攻时消耗1层咖啡时光，增加水属性追击
skill-lb,LB技能,使用技能时，有几率不消费咖啡时光
intro,砂浜的天司长,走上新的生存之道的天司长降临到夏日砂浜，知晓了人类的各种心态。为他人着想，不惜自己干流浃背的极彩色羽翼上，一束柔和的光辉照射了下来。
