id,name,detail
npc,莫妮卡,3040186000
special,旋风紫电烈光斩,风属性伤害(特大)/缩短自己技能CD1回合
skill-1,锁击电闪,对敌人造成6次风属性伤害/自身回避率UP/敌对心大幅UP
skill-1+,锁击电闪,对敌人造成6次风属性伤害/自身回避率UP/敌对心大幅UP
skill-2,紫电一闪,对敌方全体造成风属性伤害/防御DOWN（累积）/紫电LV上升1
skill-2+,紫电一闪,对敌方全体造成风属性伤害/防御DOWN（累积）/紫电LV上升1
skill-3,秩序之风,回避敌人所有攻击/掩护效果 <span class=text-blue>◆回避时我方全体奥义槽UP（20%）</span>
support-1,狂风切裂,自身回避率UP/回避时发动紫电一闪
support-2,第四骑空船团船团长辅佐,根据紫电LV提升自身攻击力/连续攻击几率/技能伤害/技能伤害上限（最大5）
skill-lb,LB技能,回避成功时偶尔减少技能CD1回合
intro,苍天的剑闪,秩序的使徒为了高举的信念挥舞着剑。尽管她有些无法应付因为外表幼小而造成的纠葛，但她今天仍旧充分发挥着她的实力，保护着天空的和平。
