id,name,detail
npc,莉莉,3040007000
special,冰雪视界,水属性伤害(特大)/我方全体水属性攻击UP
special-フローズン・ブルーム,冰洁之花,<span class=prt-text-small>水属性伤害(特大)/我方全体水属性攻击UP <span class=text-blue>◆对冰结状态的敌人，奥义性能UP</span></div>
skill-1,冰晶结界,减免我方全体遭受的火属性伤害(70%)
skill-1++,冰晶结界,<span class=prt-text-small>赋予我方全体减轻火属性伤害效果(70%)/赋予玉水的刻印/赋予自己春风效果</div>
skill-2,冰冻风暴,对敌方全体造成水属性伤害/冻结效果
skill-2++,冰冻风暴,<span class=prt-text-small>对敌方全体造成水属性伤害/冻结效果/攻防DOWN（累积）<br><span class=text-blue>◆根据战斗队员的种族数量提升性能</span></div>
skill-3,纯白治愈,回复我方全体HP(上限1500)，净化一个弱化效果
support-1,闪烁的结晶,防御10%UP
support-1+,闪烁的结晶,<span class=prt-text-small>我方全体防御UP/水属性角色根据自身的玉水刻印数量减轻受到的火属性伤害<br><span class=text-blue>◆减轻火属性伤害的效果在自己处于后排时也有效</span></div>
support-2,冰晶宫的特使,队伍前排种族数越多，自身攻击力越高
skill-lb,LB技能,减轻我方全体受到的火属性伤害
intro,冰国的希望,在永远的白色大地上，幼小的公主有生之年都在奉献安宁的祈祷。刚强的公主脸上虽然没有泪痕，但她内心充满了不会消失的对烂漫盛开的鲜花的憧憬。
