id,name,detail
npc,维拉,3040211000
special,另类破坏,风属性伤害(特大)/发动NITRO之力
skill-1,计划B,对敌方全体造成10倍风属性伤害/进入计划B状态<br><span class=text-blue>◆效果结束时死亡/不可再次使用</span><br><br><span class=text-red>可以使用：三回合后</span>
skill-1+,计划B,对敌方全体造成10倍风属性伤害/进入计划B状态<br><span class=text-blue>◆效果结束时死亡/不可再次使用</span><br><br><span class=text-red>可以使用：三回合后</span>
skill-2,原始波动,对敌方全体造成风属性伤害/防御DOWN/恐怖效果<br><span class=text-blue>◆计划B状态时：防御DOWN的效果UP</span>
skill-2+,原始波动,对敌方全体造成风属性伤害/防御DOWN/恐怖效果<br><span class=text-blue>◆计划B状态时：防御DOWN的效果UP</span>
skill-3,NITRO之力,对敌人造成风属性伤害/自己必定连续攻击<br><span class=text-blue>◆计划B状态时：赋予自己风属性追击效果</span>
support-1,包裹星之力的身体,进入计划B状态时能力值大幅UP/技能伤害性能UP/攻击后对敌方全体造成追加的风属性伤害
support-2,V护罩,回合开始时对自己施加护盾效果
intro,安宁的丽装,某日维拉做了恶梦。梦中出现的是对插足自己和亲爱的卡塔莉娜间关系的轻浮男产生的杀意的化身。化为仅为杀死轻浮男而存在的兵器的那力量，维拉究竟是否可以控制住它……
