id,name,detail
npc,芬芙,3040034000
special,宇宙大爆炸,光属性伤害(特大)/驱散1个强化效果
special-True Big Bang,真·宇宙大爆炸,<div class=prt-text-small>光属性伤害(特大)/驱散1个强化效果/敌人暗属性攻击30%DOWN/二连击率100%DOWN/三连击率20%DOWN</div>
special-真・ビッグ・バン・アタック,真·宇宙大爆炸,<div class=prt-text-small>光属性伤害(特大)/驱散1个强化效果/敌人暗属性攻击30%DOWN/二连击率100%DOWN/三连击率20%DOWN</div>
skill-1,阳光,我方全体HP回复(上限3000)/再生效果
skill-1++,阳光,<div class=prt-text-small>我方全体HP回复(上限4000)/活性效果/浑身效果(HP50%以上攻击20%UP/HP为1时攻击10%UP)</div>
skill-2,光之庇佑,净化我方全体弱化效果
skill-2+,光之庇佑,净化我方全体弱化效果
skill-2++,光之庇佑,净化我方全体弱化效果/弱化效果抗性UP(100%)
skill-3,转生,<div class=prt-text-small>我方单体获得魔力奔流效果(自动复活/攻击20%UP/防御50%UP/二连击率20%UP/三连击率3%UP)</div>
skill-4,五神的慈悲,复活我方全体/回满我方全体HP/坚毅效果(无法驱散)<span class=text-blue>◆无法再次使用</span>
support-1,魔道的天赋之子,弱化效果抗性80%UP
support-1[lv90],魔道的天赋之子,弱化效果抗性80%UP/免疫弱化效果「技能封印」
support-2,天性才能,减免我方全体所受的暗属性伤害20%
skill-lb,LB技能,普通有概率获得防御UP效果(积累)
intro,十天众,威胁全空的天真神童拥有强大的魔力，将天下一切掌握于手中。烂漫的笑容与稚气尚存的举动和她的魔法一样，拥有治愈人心的力量。
