id,name,detail
npc,阿尔贝尔,3040045000
special,雷电之主,光属性伤害(特大)/自身光属性追击效果
special-レヴィン・アナイアレイション,闪电歼灭,光属性伤害(特大)/自身光属性追击效果/赋予雷之裁决效果
special-Levin Annihilation,闪电歼灭,光属性伤害(特大)/自身光属性追击效果/赋予雷之裁决效果
skill-1,雷速剑冲,对敌方单体造成光属性和火属性伤害/光属性防御DOWN
skill-2,电刃,对敌方全体造成光属性伤害/减速效果
skill-2++,电刃,<div class=prt-text-small>对敌方全体造成光属性伤害/减速效果<br><span class=text-blue>◆消耗雷之裁决：发动2次/效果中自身必定3连攻击</span></div>
skill-3,雷暴,下一次使用技能时伤害提升10倍/赋予自身麻痹效果(当前回合)
skill-3+,雷暴,下一个技能性能大幅UP/自身带电效果/下一回合行动2次
skill-4,雷霆突袭,自身可以立即发动奥义/其他技能可以立即使用
support-1,雷迅卿,自己处于带电状态时反射敌人的部分攻击
support-2,闪电之剑,必定连击
skill-lb,LB技能,处于带电状态时依然有概率发动普攻
intro,雷迅卿,寻找着被力量吞没化为异形的友人，骑士将决心铭记于心。他与被他如手脚般操纵的霹雳一同出现，用万雷将数千的敌人瞬间化为灰烬。
