id,name,detail
npc,斯卡哈,3040122000
special,风纹之刺,风属性伤害(特大)/下一次发动技能2时伤害UP/伤害上限100%UP
special-リアタルマ,,风属性伤害(特大)/下一次发动技能2时伤害UP/伤害上限100%UP/可即时使用
special-Lia Talma,,风属性伤害(特大)/下一次发动技能2时伤害UP/伤害上限100%UP/可即时使用
skill-1,迪尔德利的加护,我方全体风属性攻击30%UP
skill-1+,迪尔德利的加护,我方全体风属性攻击30%UP/净化我方全体1个弱化效果
skill-2,威力传说,对敌方单体造成2~9倍风属性伤害，自身HP越少，伤害越高
skill-2+,威力传说,对敌方单体造成2~9倍风属性伤害，自身HP越少，伤害越高
skill-2++,威力传说,对敌方单体造成2~9倍风属性伤害，自身HP越少，伤害越高/自身HP越少，攻击力越高
skill-3,龙之心,我方单体获得屏障效果(效果量为自身25%MHP，最大5000)<span class=text-blue>◆消耗自身25%MHP</span>
support-1,真龙的勾爪,对土属性敌人伤害20%UP
support-2,久远的睿智,<div class=prt-text-small>风属性攻击UP效果中，自身攻击30%UP/连击率UP<span class=text-blue>◆屏障效果中的我方成员获得10%风属性追击效果</span></div>
skill-lb,LB技能,风属性攻击UP效果中，回避率UP
,,
