id,name,detail
npc,卡托尔,3040033000
special,终有一死,水属性伤害(特大)/敌人缓速效果
special-只此一生,,水属性伤害(特大)/敌人缓速效果/连击概率35%UP
special-Memento Vita,,水属性伤害(特大)/敌人缓速效果/连击概率35%UP
skill-1,戈麦丁,对敌方单体造成2次3倍水属性伤害/赋予随机弱化效果
skill-1++,戈麦丁,对敌方单体造成2次3倍水属性伤害/赋予2个随机弱化效果
skill-2,残杀,4次水属性伤害，目标随机/赋予所有敌人缓速效果
skill-2++,残杀,6次水属性伤害，目标随机/赋予所有敌人缓速效果/驱散1个强化效果
skill-3,贪婪,我方全体强化效果延长1回合 <span class=text-blue>◆仅持续1回合的效果除外</span>
skill-4,四天之叹息,可连续使用攻击型技能，最大4次/弱化效果成功率UP<span class=text-blue>◆无法再次使用</span>
support-1,闪耀的双剑,回合开始时有概率(10%)刷新所有技能冷却时间
support-1+,闪耀的双剑,回合开始时有概率(10%)刷新所有技能冷却时间/弱化效果成功率UP(20%)
support-2,死神之舞,对火属性敌人伤害UP
skill-lb,LB技能,使用技能后有极小概率可再次使用该技能
intro,十天众,威胁全空的星辰之长为守护所爱的家人，将天下一切掌握于手中。得体的举止背后隐藏着残忍凶暴的性格与守护家人的强大意志。直到无人轻视自己与家人为止，他都会不断夸示自身绝对的力量。
