id,name,detail
npc,妮欧,3040038000
special,星云之乐,风属性伤害(特大)/对敌方全体造成风属性伤害/魅惑
special-ヴィンタガータン・スヴァーラ,银河之应,风属性伤害(特大)/对敌方全体造成风属性伤害/魅惑/延长妮欧的特殊强化效果3回合
special-Ventagartan Svala,银河之应,风属性伤害(特大)/对敌方全体造成风属性伤害/魅惑/延长妮欧的特殊强化效果3回合
skill-1,催眠曲,赋予敌方全体昏睡效果
skill-2,感质,我方全体二连击率30%UP/攻防20%UP
skill-2+,感质,我方全体二连击率45%UP/攻防30%UP
skill-2++,感质,<div class=prt-text-small>我方全体二连击率45%UP/攻防30%UP/风属性角色特殊强化(攻击30%UP/二连击率20%UP/三连击率20%UP)</div>
skill-3,守护,赋予敌方全体调律效果/我方全体暴击率UP(30%概率造成1.3倍伤害)
skill-3+,守护,赋予敌方全体调律效果/我方全体暴击率UP(30%概率造成1.3倍伤害)/屏障效果(2000)
skill-4,九界之繁荣,我方全体必三连击/50%风属性追击效果<span class=text-blue>◆无法再次使用</span>
support-1,纤细的魔奏者,我方全体技能命中率10%UP
support-1+,纤细的魔奏者,我方全体技能命中率10%UP/减轻20%调律状态的敌人造成的伤害
support-2,惑乱旋律,对土属性敌人造成的伤害UP
skill-lb,LB技能,对调律状态敌人追加风属性追击效果
intro,十天众,威胁全空的梦幻奏者将万象作为旋律感受，掌握着遥远的苍空的一切。她小小的指尖弹奏琴弦生出的音符，能够掌握人们的内心，自由自在地操控感情及思念。
