id,name,detail
npc,英格威,3040088000
special,赤色・热血・守护者,水屬性伤害(特大)/奥义值UP(50%)/切换到硬汉模式
special++,赤色・热血・守护者,水屬性伤害(特大)/奥义值UP(50%)/连续攻击概率UP/切换到硬汉模式
special-フルメタル・キャノン,全金属・加农炮,水屬性伤害(极大)/硬汉模式解除
special-フルメタル・エイムス,全金属・瞄准,水屬性伤害(特大)/硬汉模式解除
special-Full Metal Cannon,全金属・加农炮,水屬性伤害(极大)/硬汉模式解除
special-Full Metal Sights,全金属・瞄准,水屬性伤害(特大)/硬汉模式解除
skill-1,来者不拒,吸收队友的奥义值来转换成自己的奥义值
skill-1++,来者不拒,吸收队友的奥义值来转换成自己的奥义值/自身获得高扬效果
skill-2,野性,不经回合进行一次普通攻撃
skill-3,无慈悲,自身暴击概率UP/水属性追击效果
skill-3+,无慈悲,自身暴击概率UP/水属性追击效果/获得全金属激光效果
skill-4,奥德赛,<div class=prt-text-small>可以立即发动奥义/奥义性能UP(伤害+200% 上限+130%)<br><span class=text-blue>◆只能在硬汉模式下使用/无法再次使用</span></div>
support-1,硬汉子,<div class=prt-text-small>使用奥义时进入硬汉模式/再次使用奥义时解除/硬汉模式中性能UP　<span class=text-blue>◆毎回合消耗奥义值来维持硬汉模式</span></div>
support-2,境界线,自己的HP越少防御力越高
skill-lb,LB技能,回合开始时，5%/8%/10%概率，自身获得反击(受伤 1次)，持续1回合
