id,name,detail
npc,哈蕾塞娜,#3040079000
special,精彩肢解秀,土属性伤害(特大)/(终突后附加)自身TensionUp效果(3回合，受伤后解除)
skill-1,打不到我！！,回避所有攻击 <span class=text-blue>◆消耗30%奥义值</span>
skill-1+,打不到我！！,回避所有攻击 <span class=text-blue>◆消耗25%奥义值</span>
skill-2,把你撕碎！！,获得伤害提升效果(敌MHP1%，上限5000)
skill-2+,把你撕碎！！,获得伤害提升效果(敌MHP1%，上限5000)/二连击·三连击率15%UP
skill-3,你死定了！！,暴击率UP(25%概率造成1.5倍伤害)
support-1,顶级疯狂~~！,每回合结束时攻击UP/连击率UP(累积，最大8回合)，受伤时解除
support-1+,顶级疯狂~~！,每回合结束时攻击UP/连击率UP/伤害上限UP(累积，最大8回合)，受伤时解除
support-2,等、等一下！,受伤后自身攻击50%DOWN(1回合)
support-2,等、等一下！,受伤后自身攻击50%DOWN(1回合)/技能冷却回合-2
skill-lb,LB技能,极小概率回避所有攻击
intro,,
