id,name,detail
npc,齐格飞,3040025000
special,漆黑之爪,土属性伤害(特大)(4.5倍)/对Break状态的敌人产生土属性额外伤害
special,漆黑之爪+,土属性伤害(特大)(5倍)/对敌人产生土属性额外伤害(4倍)
skill-1,剑刃,对敌方单体造成土属性伤害/减免自身受到的水属性伤害(20%)
skill-1+,剑刃,对敌方单体造成土属性伤害/减免自身受到的水属性伤害(20%)
skill-1++,剑刃,对敌方单体造成土属性伤害(3-4倍)/减免我方全体受到的水属性伤害(20%)
skill-2,计谋,自身攻击UP(特大)/防御DOWN
skill-2+,计谋,自身攻击UP(特大)/防御DOWN(30%)
skill-2++,计谋,自身攻击UP(60%，独有类)/防御UP(30%)
skill-3,狂化,吸收敌方的mode条转化为自身的奥义值(最大25%)
skill-3+,狂化,吸收敌方的mode条转化为自身的奥义值(最大25%)/二连击率UP(20%，独有类)
support-1,龙血,普攻时极小概率按对敌人造成的伤害回复自身HP(5%，最高500)
skill-lb,LB技能,水属性伤害减轻
intro,杀龙的骑士,曾经拯救了国难的英雄，如今陷入了谋略的漩涡。被污蔑为大逆之人的他，为了完成与先王的约定，作为救国的忠骑士开始行动。
