id,name,detail
npc,尤艾尔,3040006000
special,融月绯刃,火属性伤害(特大)
special-紅之舞・融月,红之舞・融月,火属性伤害(特大)/自身伤害上限15%UP
special-Crimson Dance: Yugetsu,红之舞・融月,火属性伤害(特大)/自身伤害上限15%UP
skill-1,燕反,对敌方单体造成2.5倍火属性伤害/二连击率50%UP
skill-1+,燕反,对敌方单体造成2.5倍火属性伤害/二连击率50%UP
skill-1++,燕反,对敌方单体造成4~5倍火属性伤害/二连击率75%UP
skill-2,红莲,对敌方全体造成1.5~2.5倍火属性伤害
skill-2+,红莲,对敌方全体造成2.5~3.5倍火属性伤害
skill-2++,红莲,对敌方全体造成2.5~3.5倍火属性伤害/我方全体获得火属性追击效果(20%)
skill-3,迎晓之仪,回复我方全体HP(上限1500)/净化1个弱化效果
skill-4,参之舞・烬花,我方全体火属性攻击20%UP/自身恢复性能UP(治疗上限+100%/治疗量+50%)
support-1,融月,二连击率5%UP
skill-lb,LB技能,普攻有概率获得二连击率UP效果(累积)
intro,寻找千年之人,少女为了复兴侍奉的王家，寻找刻有千年历史的宝物踏上旅程。充满感动和惊喜的世界挑起了她的好奇心，今天她依旧偏离了应该前进的方向。
