path,trans,duration,note
voice/3040075000_s2_halloween1,万圣节快乐！来来，快来吃糖果吧。,6,万圣
voice/3040075000_s2_halloween0,不给糖就捣蛋！,2,
voice/3040075000_s2_christmas0,圣诞快乐！愿你度过一个美好的平安夜。\n即使太阳下山，天道大人也会注视着你哦。,10,圣诞
voice/3040075000_s2_newyear0,恭贺新年！\n今年也请多关照！,5,新年
voice/3040075000_s2_newyear1,新年快乐！\n你看到元旦日出了吗？,5,
voice/3040075000_s2_valentine0,情人节……快……乐,5,情人节
voice/3040075000_s2_valentine1,怎么办？会不会反过来给团长添麻烦啊？,5,
voice/3040075000_whiteday1,白色情人节快乐！,2,白情
voice/3040075000_whiteday2,什么事，团长？\n你找我有事吗？,4,
voice/3040075000_whiteday4,呵呵，谢谢你顾虑我，我很高兴。\n欸？不是这样？,10,
