id,en,jp,trans
0-chapter_name,,第4話 束の間の交歓,第4话 短暂的笑谈
0-synopsis,,ジンによって明かされる黒幕の存在。しかし黒幕の正体について情報は得られないまま、一行は取引場所である「雨神の洞窟」へと向かうのだった。,根据仁所言，黑幕的存在暴露了。然而由于有关这幕后主使的情报所知甚少，一行人准备前往交易的场所「雨神的洞窟」。
0,,するってぇと……<br>おっさんにサラの誘拐を<br>依頼した黒幕がいて……,也就是说……<br>有黑幕委托大叔<br>来绑架莎拉……
1,,そいつのところにサラを連れて来れば、<br>マナウィダンを封印できるって<br>そう言ってたんだな？,将莎拉带到那家伙那里去的话，<br>就可以封印玛娜维丹了，<br>他是这样告诉你的吧？
2,,そうだ。お主らがサラ殿を使って<br>マナウィダンの力を利用しようと<br>企んでいるとも言っていた……,正是。此人还说各位<br>是企图利用莎拉<br>来操控玛娜维丹之力之辈……
3,,ひどいです！<br>人を悪者みたいに言って！,好过分！<br>说得我们好像坏蛋一样！
4,,そうだな、ルリアの言う通りだ。<br>でも、誤解が解けて良かったな。,对，就像露莉亚说的一样。<br>不过，能解开误会真是太好了。
5,,ふん……まだそれだけでは<br>コイツを信用できんな……,哼……光凭这些的话<br>可无法信任这家伙……
6,,それで……<br>その黒幕は一体どんな輩なんだ？,所以说……<br>这个幕后主使到底是何方神圣？
7,,すまない……奴の情報は<br>砂神の巫女を攫えという指示と<br>取引場所以外、一切伏せられていて……,十分抱歉……有关他的信息，<br>除夺取巫女与<br>交易地点之外，所知甚少……
8,,本当だろうな？<br>この期に及んで嘘だったら<br>今度こそ命は無いぞ。,当真是这样吗？ <br>事到如今还说谎的话<br>这一次小命可就真的不保了。
9,,いやはや相変わらず怖い御方だ。,哎呀呀还是一如既往可怕的人呢。
10,,ふん……<br>ふざけていると谷底へ突き落すぞ。,哼……<br>再鬼扯就把你丢到山谷底下去。
11,,これは失敬した。<br>先刻、自ら捨てかけた命とはいえ、<br>死に場所ぐらいは己で決めたいものだ。,失礼了。方才，虽说是要自绝性命，<br>如有可能还是希望至少殒命之所，<br>能由自己决定。
12,,さぁ、これでもう某は全て打ち明けた……<br>これ以上、お主らを騙す理由もない。,好了，某人已把所知之事和盘托出……<br>也没有理由再欺骗各位。
13,,そんなことはどうでもいい。<br>一刻も早くそいつの元へ案内しろ。,这些无关紧要。<br>赶紧带我们到那家伙那里去。
14,,<span class='scene-font-katari'>全てを明かしたジンの案内に従い</span><br><span class='scene-font-katari'>姬塔一行は</span><br><span class='scene-font-katari'>雨神の洞窟を目指す。</span>,<span class='scene-font-katari'>遵从交待一切的仁的带领，</span><br><span class='scene-font-katari'>姬塔一行人，</span><br><span class='scene-font-katari'>以雨神的洞穴为目标前进。</span>
info,,1,scene_evt140531_cp4_q1_s20
