id,en,jp,trans
0-chapter_name,,誰も知らない世界の味方,暗中守护世界之人
0-synopsis,,魔物を討伐した姬塔達は、ゾーイから詳しい話を聞く。ジョヤ騒動の時、宇宙に飛んだゾーイは世界を滅ぼす脅威の気配を感じたという。空の民にとって強大過ぎるその存在を、自分なら倒せるかもしれないとゾーイは話す。しかし、そのためにはゾーイが本来の姿に戻る必要があるという。本当の力を使ったとき、大事なものがどうなるかわからないとゾーイは震えるのだった。,结束魔兽讨伐的姬塔等人，听佐伊说明了具体情况。乔亚骚乱时，飞入宇宙的佐伊感受到了可能毁灭世界的巨大威胁。佐伊认为它对空之民来说太过强大，不过也许自己能够打败它。但为此，佐伊需要变回原本的姿态。一旦使用了真正的力量，至今获得的一切是否会消失，这使佐伊感到害怕。
1,,<span class='scene-font-katari'>魔物を討伐した一行は町へと戻り、</span><br><span class='scene-font-katari'>ゾーイから話を聞いていた。</span>,<span class='scene-font-katari'>讨伐完魔兽后，一行人听佐伊说明了具体情况。</span>
2,,ジョヤの騒動の時……<br>私は宇宙へと飛んだ。,乔亚骚乱那时……我飞到了宇宙中。
3,,その時に微かに感じたんだ。<br>世界を滅ぼす脅威の気配を……,那时我隐约感觉到了，有一种可能毁灭世界的威胁存在……
4,,な、なんだってぇ！？,什、什么！？
5,,じゃあ、<br>魔物が急に凶暴化したのって、<br>それが原因なんですか？,那、这次魔兽发狂也是这个原因吗？
6,,ああ。アレがこの世界に<br>近づいてきている……<br>そのために起きた現象だろう。,没错。它在接近这个世界……所以才引起了这类现象吧。
7,,アレに……<br>抗うことは決してできない。,人们……是无法和它对抗的。
8,,空と<span class='scene-font-spword'>星の民</span>はアレと<br>戦う術を持たないからだ。<br>存在する次元が違いすぎる。,空之民也好<span class='scene-font-spword'>星之民</span>也好，都没有办法与之抗衡。存在的次元根本就不同。
9,,う～ん……<br>でもよぅ、どんなヤツでも<br>オイラ達で力をあわせれば……,嗯~……可是，不管是怎样的敌人，只要咱们齐心协力……
10,,不可能だ。,不可能的。
11,,何故なら、<br>アレがこの世界に降りてきた時──,毕竟，当它降临在这个世界时——
12,,全てが一瞬で<br>滅びてしまうのだから……,一切都会在一瞬间毁灭……
13,,そ、そんな……,什、什么……
14,,先程倒した魔物達のように、<br>全ての生き物が一瞬で狂い、<br>暴れ始めるだろう。,就像我们讨伐的魔兽一样，所有的生物都会瞬间发狂，开始暴动。
15,,アレは、狂気そのものだ。<br>決して……決して。<br>この世界に降ろしてはいけない。,它就是，疯狂本身。绝对……绝对不能让它来到这个世界。
15-sel1_txt,,<span class='scene-font-katari'>ゾーイなら倒せるんじゃない？</span>,<span class='scene-font-katari'>佐伊可以打败它的吧？</span>
15-sel2_txt,,<span class='scene-font-katari'>ゾーイ……</span>,<span class='scene-font-katari'>佐伊……</span>
17,,そうだ！　うちゅうとやらに<br>行けるはねっ毛の嬢ちゃんなら<br>倒せるんじゃねぇのか！？,对啊！  既然翘发妹妹可以去那个叫什么宇宙的地方，应该也能打败它吧！？
18,,…………,
19,,ゾーイちゃん、<br>大丈夫、ですか……？<br>手が、震えて……,佐伊，你没事吧？手在抖哦……
20,,すまない……<br>隠しきれない、ようだ。,抱歉……看来我，瞒不下去了。
21,,おそらく、私なら……<br>いや、本来の姿であれば<br>倒すことが出来るかもしれない。,我大概……不，如果变回原本的姿态，我应该能打败它。
22,,それならパパっと戻って<br>ささっと倒してきちまえば<br>いいんじゃねぇか？,那就赶紧把它收拾掉不就好了？
23,,……できない。<br>できないんだ。,……不行。我做不到。
24,,いや、元の姿には容易く戻れる。<br>だけど、それをすれば大事なものが<br>どうなるかはわからないんだ……,不，变回原来的姿态是容易。可是我不知道，那样的话我至今获得的宝物会不会消失……
25,,<span class='scene-font-katari'>言葉を絞り出したゾーイ。</span><br><span class='scene-font-katari'>姬塔一行は驚きつつも、</span><br><span class='scene-font-katari'>震える彼女を落ち着かせることにする。 </span>,<span class='scene-font-katari'>佐伊挤出这句话后陷入沉默。姬塔一行感到震惊，总之先尝试安抚不住颤抖的佐伊。</span>
info,,1,scene_chr440_q2_s10
