id,en,jp,trans
0-chapter_name,,十天の試練,十大天国的考验
0-synopsis,,ニオの力を試すため、最後に現れたのはエッセルだった。「前、星屑の街の子供達に演奏を聞かせてくれたお返し」がしたいと語るエッセル。ニオの力を信頼しつつ、全力で最後の試練を与える。,为了测试妮欧的力量，最后出现的是艾瑟尔。 (姐弟两个都喜欢小孩子，邀请妮欧过来给孩子们演奏乐曲)
0,,……最後はあなたね、エッセル。,……最后是你啊，艾瑟尔。
1,,ん……<br>今までよく頑張ったね、ニオ。,嗯……至今为止真的都很努力了啊，妮欧。
2,,ウーノから話を聞いた時、<br>ここまで来られないかもって<br>思ってた。,我从乌诺那里听到那个消息的时候，我还以为你不会到达这个阶段的。
3,,うん。姬塔と十天衆と<span class='scene-font-spword'>九界琴</span>、<br>みんなのおかげ。,嗯。多亏了姬塔跟十天众还有<span class='scene-font-spword'>九界琴</span>的帮忙。
4,,私もできる限りの事をする。<br>前、星屑の街の子供達に演奏を<br>聞かせてくれたお返し。,我会尽我所能。这是之前你给星屑镇的孩子们演奏了曲子的回礼。
5,,キミのお陰で子供達は笑顔になった……<br>いつか、また来てほしいって、<br>言ってたよ。,多亏了你，孩子们都露出了笑容……他们说，希望你以后也能常来哦。
6,,……うん。,……好。
7,,きっと弟も同じ気持ち。<br>キミのために、私達にできる事をする。,我的弟弟肯定也是这样想的。为了你，我们一定要做能做的一切。
9,,……じゃあ、いくよ。全力で。<br>ここまで来たんだから、<br>きっと大丈夫。,……那，我要全力的上了。都能来到最后了，一定没问题的。
info,,1,scene_ult_chr130_q4_9_s10
