path,trans,duration,note
voice/3040029000_Halloween1,团长，万圣节有什么样的习俗？\n街上到处都是穿着奇妙的人，虽然我这么说也不太好……,11,万圣
voice/3040029000_Halloween2,Trick or treat……\n这么说以后，大家就把糖果塞给我然后逃走了。\n这句话到底什么意思？,11,
voice/3040029000_Xmas1,过去我在骑空团里时也曾庆祝过平安夜。,5,圣诞
voice/3040029000_Xmas2,这个吗？好像是在平安夜打开的庆祝用的酒。\n听说是艾露恩族制作的，团长你要来喝一点吗？\n你还不是能喝酒的年纪啊。,17,
voice/3040029000_newyear1,是团长啊。新年到了。\n我也是想看看初日的日出，所以一直在甲板上等着。,13,新年
voice/3040029000_newyear2,希望明年也能在这里眺望日出。,4,
voice/3040029000_Valentine1,啊？你要给我糖果？\n哦，原因是情人节啊。\n没想到你还发给所有团员，真是认真。,14,情人节
voice/3040029000_Valentine2,虽说是情人节你也太紧张了，团长。\n你总早上准备到现在吧？守卫交给我，你快休息吧。,12,
voice/3040029000_WhiteDay1,这个给你。那个……白色情人节的。\n抱歉不是亲手做的。,11,白情
voice/3040029000_WhiteDay2,我为了找送给团长的东西出门，但是犹豫了很久到底该买什么。\n好难啊……,9,
