id,en,jp,trans
0-chapter_name,64: Night of Reflection,第64章　逡巡の夜,第六十四章逡巡之夜
0-synopsis,"After defeating the Erste Empire and the Black Knight, the crew returns to 姬塔's hometown of Zinkenstill where they are treated to a hearty welcome. They settle in for the night and listen to Rosetta's explanation on Sky Map pieces. A slight misunderstanding causes an irritated Io to storm off to her room. The crew members spend the night thinking about what they'll do from here forward.",エルステ帝国や黒騎士と決着をつけ、姬塔の故郷である<span class='scene-font-place'>ザンクティンゼル</span>に戻った姬塔一行。村人達の歓待を受ける一行は、ロゼッタから空図の欠片について説明を受ける。そんな折、些細な誤解から機嫌を損ね、イオが席を立ってしまう。その夜、一行はこれからの旅について、それぞれ思いを巡らせるのだった。,与埃尔斯特、黑骑士都作出了解后，一行人回到了姬塔的故乡<span class='scene-font-place'>赞克汀泽</span>。村民热烈欢迎了姬塔的回归。之后，众人从萝赛塔处听说了关于空图碎片的事。那时，却因为一些细小的误会，伊欧从酒席中离开。那天夜里，众人都为接下来的旅行而思考。
0,Humph.,むーっ……,姆……
1,Hoo...,はぁ……,诶……
2,"Ah, heh heh... Heh...",あ、あははは……はは……,啊，啊哈哈……哈哈哈....
3,Come now! How 'bout some more? We've got plenty of food!,さ、さぁさぁ！<br>おかわりはどうだい？<br>料理はまだまだあるからね！,撒撒，还要再来一碗吗？料理还有很多呢！
4,"Sure! I'll have some more! How about you, Io?",あ！　わ、私、おかわり欲しいです！<br>イオちゃんもどうですか？,啊！我还想再来一碗！伊欧酱怎样呢？
5,Humph!,むぅぅ……,姆~~……
6,Oh boy...,あうぅ……,啊...呜...
7,Look now... This is gettin' to be a real pain.,おいおい……<br>こりゃあ、<br>面倒くせぇことになったなぁ……,喂，这可真是变成麻烦的事了呢。
8,"Goodness... This isn't going away anytime soon, either.",まったく……<br>これはなかなか後を引きそうだ。,真是的，这事儿有得闹的呀……
9,"But I do understand what's going on. And it's very important, after all.",でも、気持ちはわからなくないわ。<br>それに……大事なことだもの。,但是我也不是不能理解这一心情啊，而且这也是很重要的一件事。
10,"Sooner or later, it must be dealt with.",これからのために、<br>避けては通れない問題ですから……,为了今后考虑，这也是一个无法避免的问题呢。
11,Good grief... What are we gonna do?,やれやれ……<br>どうすりゃいいんだろーな、<br>こーいうとき……,呀嘞呀嘞，这种时候到底该怎么办嘛。
12,"Welcomed into the home of a villager, 姬塔 and company sit surrounded by a smorgasbord of food.",<span class='scene-font-katari'>とある民家の一室で</span><br><span class='scene-font-katari'>たくさんの料理を囲み、</span><br><span class='scene-font-katari'>歓迎を受ける姬塔一行。</span>,<span class='scene-font-katari'>在某个民家的屋子里，姬塔等人受到当地人热烈欢迎，正围绕在餐桌前。</span>
13,"Despite the feast laid out before them, Io is pouting and clearly unhappy.",<span class='scene-font-katari'>しかし、そんな席にも拘らず、<br><span class='scene-font-katari'>何故かイオは不満げに<br><span class='scene-font-katari'>頬を膨らませていた。,<span class='scene-font-katari'>尽管她们面前摆着如此多的美食，不知为何伊欧还是撅着个嘴，很不高兴的样子。</span>
14,"Look, Io... I didn't mean anything by it. So could you just... let it go?",なぁ、イオ……<br>さっきのは深い意味はなかった、<br>っつうか、その……機嫌直せよ、な？,呐伊欧啊，刚才的话没什么特别的意思...转换一下心情让它就这么过去了吧？
15,Humph!,むぅぅーっ……！！,姆ー……！！
16,It seems the problem can be traced back to a few hours ago...,<span class='scene-font-katari'>事の発端は、</span><br><span class='scene-font-katari'>数時間前に遡る。</span>,<span class='scene-font-katari'>事情的开始，可以追溯到几个小时前。</span>
22,姬塔 and company had foiled Prime Minister Freesia's plans in Agastia.,<span class='scene-font-place'>帝都アガスティア</span><span class='scene-font-katari'>にて、</span><br><span class='scene-font-katari'>宰相フリーシアの陰謀を</span><br><span class='scene-font-katari'>見事打ち破った姬塔一行。</span>,<span class='scene-font-place'>帝都阿加丝提亚</span><span class='scene-font-katari'>，</span><br><span class='scene-font-katari'>在那里姬塔一行人破坏了芙莉西雅宰相的阴谋。</span>
23,"And in Mephorash, they had settled the score with the Black Knight once and for all.",<span class='scene-font-katari'>さらに一行は</span><span class='scene-font-place'>メフォラシュ</span><span class='scene-font-katari'>にて、<br><span class='scene-font-katari'>黒騎士との因縁に決着をつける。,<span class='scene-font-katari'>而且众人也在</span><span class='scene-font-place'>美佛拉修</span><span class='scene-font-katari'>与黑骑士作出了了断。</span>
