path,trans,duration,note
voice/3040048000_birthday1,Happy Birthday！,1,生日
voice/3040048000_birthday2,对迎来了生日的姬塔，我将爱与你分享。,5,
voice/3040048000_birthday2,我就特别地将我至今为止写下来的几首爱之诗朗读给你听吧！,6,
voice/3040048000_Halloween1,万圣节快乐！,2,万圣
voice/3040048000_Halloween2,不给糖就捣蛋。,2,
voice/3040048000_Halloween3,根据不同的空域，似乎有一种说法是，万圣节的变装会成为重要的人的凭依。,8,
voice/3040048000_Xmas1,圣诞快乐！,2,圣诞
voice/3040048000_Xmas2,每迎来一次平安夜，我对让哈尼转生的想法就会变得更加强烈。,6,
voice/3040048000_newyear1,Happy New Year！,2,新年
voice/3040048000_newyear2,今年一定要找到通往星之岛伊斯塔尔西亚的道标！,5,
