id,en,jp,trans
0-chapter_name,,第4話　夢魔の罠,第四章 梦魔的陷阱
0-synopsis,,カタリナを救出した姬塔達は、今度はラカムの夢の中へと進み、大怪我を追い魔物に囲まれるラカムへ、姬塔は必死に呼びかける。自分を救おうとする姬塔達を見て、ついにラカムは記憶を取り戻し、仲間達と協力し悪夢の中の魔物と戦う。,救出了卡塔丽娜之后，众人又进入了拉卡姆的梦境。姬塔拼命呼唤着被魔物包围的受重伤的拉卡姆。获救的拉卡姆看着众人，取回了记忆，与同伴们合力对抗魔物。
5,,<span class='scene-font-katari'>グランサイファーを墜落させ、</span><br><span class='scene-font-katari'>自身も重傷を負ったラカム。</span>,和格兰赛法一同坠落，自己也负了重伤的拉卡姆。
6,,<span class='scene-font-katari'>血の匂いに誘われた魔物達に囲まれ、</span><br><span class='scene-font-katari'>彼は死を覚悟していた。</span>,被循血而来的魔物包围，已经做好了死亡的觉悟。
7,,へっ……<br>これで、終わりかよ……<br>……呆気ねぇなぁ……,嘿……这就是，最后吗……太没劲了……
8,,<span class='scene-font-katari'>既に致命傷を負った体に力は入らず、</span><br><span class='scene-font-katari'>ラカムは静かに瞼を閉じる。</span>,身受重伤的拉卡姆放弃了挣扎，静静地闭上了眼睛。
12,,<span class='scene-font-katari'>だが……</span>,但是……
12-sel1_txt,,<span class='scene-font-katari'>一緒に飛ぼうって約束したよ！</span>,我们约好了一起旅行的！
12-sel2_txt,,<span class='scene-font-katari'>なに寝ぼけてんの！</span>,你还要睡到什么时候！
13,,<span class='scene-font-katari'>必死に訴える声を聞き、</span><br><span class='scene-font-katari'>ラカムは瞼をこじ開ける。</span>,听到了拼命呼唤的声音，拉卡姆睁开了眼睛。
14,,ラカム！　しっかりして！！<br>今助けますから！,拉卡姆！振作点！现在就来救你！
15,,ラカムのバッキャロー！<br>死んだりしたら許さねぇからな！！,拉卡姆大笨蛋！死了的话绝不原谅你！
16,,<span class='scene-font-kokoro'>（あれ……こいつらは……）</span>,（啊咧……这些人是……）
17,,<span class='scene-font-katari'>ラカムの中に、未来の記憶が流れ込む。</span><br><span class='scene-font-katari'>それは失意の彼を再び空へ導いた</span><br><span class='scene-font-katari'>仲間達との旅の記憶だった。</span>,未来的记忆流入了拉卡姆的脑海。那是失意的他再度被引导向天空，和同伴们一同旅行的记忆。
18,,……あぁ……そうだ、俺は……<br>……こいつらとなら、もう一度……<br>空を飛べる、って……,……啊啊……这样啊……我……和这些人的话，可以……再次……起航……
19,,<span class='scene-font-katari'>姬塔達の助力によって、</span><br><span class='scene-font-katari'>ラカムは瓦礫の中から立ち上がる。</span>,在众人的帮助下，拉卡姆从瓦砾中站了起来。
20,,<span class='scene-font-katari'>怒鳴り声と共に、</span><br><span class='scene-font-katari'>誰かがラカムの頭を</span><br><span class='scene-font-katari'>思いっきり殴りつける。</span>,有人在一边发火一边用力殴打着拉卡姆的头。
21,,いってぇ……！,好痛！
22,,<span class='scene-font-katari'>呻くラカムは思わず瞼を開き、</span><br><span class='scene-font-katari'>そして自分を瓦礫の中から</span><br><span class='scene-font-katari'>助け出そうとする人影を見た。</span>,拉卡姆呻吟着睁开了眼睛，看见了正在从瓦砾之中救出自己的人影。
23,,しっかりしろよぉ、ラカム！<br>今そこから出してやるからな！,振作点拉卡姆！现在就把你救出来！
24,,こっちの瓦礫を先にどかそう！<br>モルフェ、ヴェトル、<br>手を貸してくれ！,先搬这边的！莫尔菲，薇特尔，来帮忙！
25,,はいっ！,是！
26,,んん～……重いぃ……,嗯嗯……好重……
27,,<span class='scene-font-katari'>ラカムを勇気づけるように手を握る</span><br><span class='scene-font-katari'>姬塔の姿を見て、</span><br><span class='scene-font-katari'>彼は出会いの日を思い出す。</span>,拉卡姆望着像是要给予自己勇气一般地握着自己的手的姬塔，回想起了相遇的那一天。
28,,あぁ……はは、<br>なにが、つまんねぇ人生だよ……,啊啊……哈哈，什么无聊的人生嘛……
29,,そんなもん……送ってる、暇……<br>ないよなぁ……！,可没有时间……感伤了！
30,,<span class='scene-font-katari'>姬塔達の助力によって、</span><br><span class='scene-font-katari'>ラカムは瓦礫の中から立ち上がる。</span>,在众人的帮助下，拉卡姆从瓦砾中站了起来。
31,,<span class='scene-font-katari'>正しい記憶を取り戻した彼からは、</span><br><span class='scene-font-katari'>致命傷だったはずの傷は</span><br><span class='scene-font-katari'>消え去っていた。</span>,因为恢复了正常的记忆，致命伤已经从他的身体上消失了。
32,,ったく、なにがなんだか<br>よく解んねぇが<br>気分悪いぜ……！,……虽然不太清楚发生了什么但是总觉得很不爽……！
33,,説明は後だぜ！<br>とにかく魔物を倒して、<br>この悪夢から抜け出さねぇとな！,之后再说明！总之先打倒魔物！从这个噩梦中逃出去！
info,,1,scene_evt160531_cp4_q4_s20
