id,en,jp,trans
0-chapter_name,,第5話　深き夢の奥底,第5章 梦境的最深处
0-synopsis,,ヴェトルとモルフェが消え、姬塔が星晶獣オネイロスにさらわれ焦るビィ達。しかし、ルリアは命を共有しているためか姬塔の居場所を感じ取ることができ、姬塔を助け出すため、ルリアは夢の回廊をひた走る。,众人正因为一连串的意外而感到焦躁，这时和姬塔共享生命的露莉娅感应到了姬塔的位置。为了救出姬塔，露莉娅前往回廊深处。
0,,モルフェとヴェトルに<br>何があったんだ……！？<br>それに、姬塔も……,莫尔菲和薇特尔到底发生了什么……？！还有，姬塔也……
1,,なんにせよ、オネイロスが<br>一枚噛んでるのは間違いないだろ！,不管怎样，肯定是和奥涅伊洛斯有关系！
2,,ちくしょう、どうにかして<br>オネイロスを探さないと……！,可恶，不快找到奥涅伊洛斯的话……！
3,,…………！,…………！
4,,<span class='scene-font-katari'>焦る仲間達の中、</span><br><span class='scene-font-katari'>不意にルリアは真っ直ぐ</span><br><span class='scene-font-katari'>前を向いて駆けだした。</span>,正在同伴们不知所措时，露莉娅突然向着正前方走了出去。
5,,<span class='scene-font-kokoro'>（解る……！</span><br><span class='scene-font-kokoro'>きっと、こっちに</span><br><span class='scene-font-kokoro'>姬塔はいる……！）</span>,（我知道……！姬塔一定……在这里！）
6,,ルリア！？,露莉娅？！
7,,<span class='scene-font-kokoro'>（ひとつの命を共有してるから……？</span><br><span class='scene-font-kokoro'>でもいつもはこんなこと……）</span>,（是因为我们共享生命吗……？但平时也这种事也……）
8,,<span class='scene-font-kokoro'>（ううん！</span><br><span class='scene-font-kokoro'>今は気にしてる場合じゃない！）</span>,（不对！现在不是在意这个的时候！）
9,,<span class='scene-font-kokoro'>（待ってて、姬塔……！</span><br><span class='scene-font-kokoro'>今、助けに行くから！）</span>,（等着我，姬塔……！我马上就去帮你！）
10,,<span class='scene-font-katari'>オネイロスに攫われた</span><br><span class='scene-font-katari'>姬塔の夢の気配を辿って</span><br><span class='scene-font-katari'>ルリアは必死に後を追う。</span>,露莉娅沿着被奥涅伊洛带走的姬塔遗留下的梦的气息 拼命地追逐着。
11,,<span class='scene-font-katari'>消えたモルフェとヴェトルに</span><br><span class='scene-font-katari'>戸惑う仲間達もまた、ルリアに続いて</span><br><span class='scene-font-katari'>姬塔の元へ急ぐのだった。</span>,因莫尔菲和薇特尔的消失而感到困惑的同伴们也跟着露莉娅赶向姬塔的身边。
info,,1,scene_evt160531_cp5_q4_s30
