id,设计稿,text,trans
0-chapter_name,,第3話 だらけ～の,慵懒的对话
0-synopsis,,女子部屋についての妄想を膨らませていると、ルナールから声をかけられたローアイン達。絵物語の新作に行き詰まっており、アイディアを求めているという。ふたたび始めた妄想の中で、ローアインは主人公となり、ゴリラやマッチョと戦うことに。そして一度は倒したゴリラとマッチョは唐突に合体し、ゴリマッチョとなって襲い掛かってくるのだった。,就在罗艾因等人的女生房间妄想继续的时候，露娜露过来搭话了。原来是因为连环画的新作品创作卡住了，希望他们能提供些点子。再一次开始的妄想之中，罗艾因等人自己成为了主角，与猩猩和肌肉兄贵展开了战斗。然而一度被打倒的猩猩和肌肉兄贵居然合体成为了猩猩肌肉兄贵再度袭来。
1,,<span class='scene-font-katari'>昼下がりの喫茶店、</span><br><span class='scene-font-katari'>漂うコーヒーの香りに</span><br><span class='scene-font-katari'>ローアイン達の声が混じる。</span>,<span class='scene-font-katari'>在午后的咖啡店中，</span><br><span class='scene-font-katari'>飘荡着咖啡的香味</span><br><span class='scene-font-katari'>同时混杂着罗艾因等人的声音。</span>
2,ローアイン/罗艾因,いやー……<br>やっぱすげえわカリさん。,唉呀ー……<br>果然厉害啊卡莉奥斯特萝酱。
3,？？？,…………,…………
4,エルセム/艾尔塞姆,カワイイを追求し続けたひとは<br>違うわ……,果然想要变得可爱的人就是不同啊
5,？？？,…………,…………
6,トモイ/托莫伊,女子部屋とかマジ異世界すぎて<br>俺らの妄想力じゃ<br>太刀打ちできねーかと思ったわ。,女生房间真的是异世界啊<br>光凭我们的妄想力<br>好像还是根本不够啊。
7,？？？,…………,…………
8,タイアー/泰亚,あの、みなさん……<br>先ほどからそちらに……,打扰下，各位……<br>从刚才开始那位就……
9,ローアイン/罗艾因,ん？,嗯？
