ja,zh
#环境描述,
#共通,
禍々しい気配を感じる……,感受到不祥的气息……
#上路1-3,
白雲回廊,白云回廊
突風に雲が舞い上がった,突如其来的狂风<br>让云层飞舞飘起
切り立った岩が<br>雲を貫いてそびえている,尖锐的岩石<br>耸立着插入云层
枯れ枝が<br>侘びしく揺れている,枯萎的树枝<br>静静地摇曳着
雲がゆっくりと<br>渦巻いている,云层缓慢地<br>像旋涡一样旋转着
雲の合間から尖った地面が<br>見え隠れしている,从云层的缝隙里<br>能看到尖锐的地面
頭上も眼下も<br>白雲に覆われている,四面八方<br>都被白云所覆盖着
風の音がこだましている,风声在四周回荡着
雲がどこまでも<br>広がっている,白云四处蔓延<br>无边无际
うねった道が雲の奥へと<br>続いている,崎岖的小道<br>一直延伸到白云深处
強い風が吹き付けている,强风猛烈地吹着
#上路4-6,
宵闇の森,宵暗森林
水の流れる音が聞こえる,远远传来了水流声
木の枝のようなものが<br>張り出ている,像是树枝的东西<br>肆意伸展着
冷たい何かが<br>頭上から滴ってきた,有什么冰冷的东西<br>滴到了头顶上
虫の鳴き声が聞こえる……,远远传来了虫鸣声……
僅かな光が葉の隙間から<br>差し込んでいる,些许亮光从枝叶的<br>缝隙间洒了下来
何かを踏んだようだ……,好像踩到了什么东西……
濡れた落ち葉に<br>足を取られた,潮湿的落叶<br>粘在了脚上
聞きなれない<br>鳴き声が聞こえた,听到了某种<br>陌生的鸣叫声
苔が弱々しく発光している,苔藓发出淡淡的光芒
冷たい風が頬を撫でた,冰冷的风吹在脸颊上
幻想的な光が<br>道を照らしている,充满幻想感的光芒<br>照亮了道路
生き物の気配はするが<br>姿が見えない,感觉附近有什么生物<br>但却看不见踪影
うっすらと木立の影が<br>見える,隐约能看见<br>影影幢幢的树木
時間の感覚が<br>無くなってきた,对时间的流逝<br>逐渐失去了感觉
輝く虫たちが踊っている,发光的虫子正在跳舞
#上路7-8,
灼熱洞,灼热洞
まぶたが焼けるようだ,感觉眼皮要烧起来了
蒸気に息苦しさを覚える,蒸汽让人喘不过气来
熱気で景色が<br>揺らめいている,眼前的景色<br>在热气中摇晃着
立ち込める熱気に<br>めまいがする,蒸腾的热气<br>让人头晕目眩
真紅の結晶が<br>きらめいている,鲜红的结晶<br>闪烁着
黒い地表に入る亀裂が<br>赤く輝いている,漆黑地面的龟裂中<br>闪耀着赤红的光芒
結晶の欠片があたりに<br>散らばっている,结晶的碎片<br>散落在各处
地面から湯気が<br>立ち上っている,蒸汽从地面<br>往上飘荡着
岩肌が赤々と輝いている,岩石表面正在发出红光
足の裏が熱くなってきた,脚底越来越烫了
湯が煮え立つような<br>音が聞こえる,传来了什么东西<br>好像在沸腾的声音
何かが焦げたような<br>匂いがする,闻到了好像什么东西<br>烧焦了的味道
#中路1-3,
祈祷師の石窟,祈祷师的石窟
折れた槍や剣の破片が<br>散らばっている,折断的枪和剑的碎片<br>散落得满地都是
足元に巨大な穴が<br>空いている,脚边的地面上<br>有一个巨大的空洞
誰かの声が<br>聞こえた気がした,仿佛能听到<br>有谁在讲话的声音
足跡が風に吹かれて<br>消えてゆく,足迹在风的吹拂下<br>渐渐消失着
柱に施された装飾が美しい,柱子上的装饰十分美丽
石が不自然に<br>積み上がっている,一些石头非常不自然地<br>堆积在一起
石柱が崩れてから随分と<br>時が経っているようだ,这些石柱似乎在<br>很久很久以前就已经崩塌了
口の中が<br>砂っぽくなってきた,嘴巴里面<br>好像进了沙子
あちこちに文字のような<br>模様が刻まれている,到处都雕刻着<br>看上去像是文字的图案
瓦礫の隙間に<br>巣のようなものがある,从瓦砾缝隙中<br>隐约能看见像是巢穴的东西
何かを引きずった跡がある,地上有什么东西被拖过的划痕
石柱が崩れ<br>行く手を塞いでいる,崩塌的石柱<br>挡住了前进的道路
骨のようなものが<br>落ちている,地上散落着<br>看起来像是骨头的东西
高価そうな装飾品が<br>砂に埋れている,砂砾中掩埋着<br>看起来似乎很值钱的装饰品
砂埃が風に吹かれて<br>舞い上がった,一阵风吹来<br>砂砾被吹得高高扬起
#中路4-6,
不語の祠,不语的祠堂
静謐な空気に<br>満ちている……,这里被静谧的空气<br>所充满……
岩陰で何かが動いた,石头下面有什么动了一下
水の滴る音が聞こえた,不知哪里传来了水滴的声音
石段には繊細な<br>装飾が施されている,石头台阶上<br>雕刻着纤细的装饰
ここで何かの儀式を<br>執り行ったのだろうか,过去的这里<br>究竟举行过怎样的仪式呢
頭上から差し込む光が<br>神秘的だ,洞顶一缕光线斜斜射入<br>充满了神秘的氛围
自分の足音だけが響く,只有自己的脚步声<br>不断在四周回响
羽ばたきが響いた,有拍动翅膀的声音
蔓が壁面を覆うように<br>絡みついている,藤蔓错综纠结<br>仿佛要覆盖整个墙面
大きな鳥がこちらを<br>じっと見つめている,一只大鸟<br>一直盯着这边看
壁面を淡い光が<br>照らしている,淡淡的光<br>正照在墙壁上
美しく頑強な柱が<br>天井へ真っ直ぐ伸びている,美丽而结实的石柱<br>笔直地支撑在天花板上
呼吸の音が<br>やけに大きく聞こえる,呼吸的声音<br>听起来异常地响亮
古びてはいるが<br>威厳を感じる場所だ,一个虽然古老破旧<br>却能让人感受到威严的地方
奥に祠のようなものが<br>見える,在深处能看到<br>似乎是祠堂的东西
#中路7-8,
巨竜の墓,巨龙之墓
獣が骨を咥えて<br>駆けていった,一只叼着骨头的野兽<br>从眼前飞奔而过
巨大な骨が<br>あちこちに突き立っている,巨大的骨头<br>杂乱地插在地上
誰かがここで<br>休憩していたようだ,似乎有谁<br>曾经在这里休息过
武器になりそうなほど<br>するどい骨片だ,骨片十分锋利<br>甚至似乎可以用来当武器
カラカラと音を立てて<br>骨片が転がってゆく,滚动的骨片<br>发出咔啦咔啦的声音
乾いた風が心地よい,干爽的风让人十分舒适
雲が散り散りに<br>流れていく,天上的云朵<br>渐飘渐散
セフィラ島の中心部に<br>近づいている……,正在逐渐地接近<br>塞菲拉岛的中心区域……
頭上を鳥の群れが<br>旋回している,头顶上空<br>有鸟群正在盘旋着
目の前で巨大な骨が<br>崩れ落ちた,一副巨大的骨架<br>在眼前崩塌了
草が風に揺れている,草叶在风中摇摆着
骨のくぼみに<br>砂が溜まっている,骨头的凹陷处<br>积满了砂砾
強風に砂埃が舞い上がる,强风把沙尘吹得漫天飞扬
遠くから獣の<br>咆哮が聞こえた,远远地传来了<br>野兽的咆哮声
遠くに巨大な土煙が見える,能看见远处的巨大沙尘
#9图,
セフィラ大平原,塞菲拉大平原
透きとおった石が<br>きらめいている,透明的石头<br>正闪闪发光
笑い声のような音が<br>聞こえた,远处传来了<br>仿佛是笑声的声音
すすり泣くような音が<br>微かに聞こえた,隐约听见了<br>仿佛在啜泣的声音
唸り声のような音が<br>聞こえた,远处传来了<br>仿佛是呻吟的声音
布の切れ端のようなものが<br>落ちている,地上掉着一片<br>似乎是碎布片的东西
