text,trans
%s が解放されました！,%s已解放！
%s さんからの、<br>フレンド申請がきています。,玩家%s申请添加您为好友。
%s さんからの、<br>フレンド申請を本当に却下しますか？,是否拒绝玩家%s的好友申请？
%s さんには<br><br>これ以上フレンド登録できません！,您的好友人数已满。
%s さんを<br><br>フレンド登録しました！,您已添加玩家%s为好友！
%s1%s2交換しました。%s3,已兑换%s1%s2。
%s1%s2個移動しました,转移%s1%s2个
%s1%s2入手しました。,获得%s1%s2
%s1%s2入手しました。<br>獲得した報酬はプレゼントリスト(期限なし)に<br>送られます。,获得%s1%s2。<br>奖励已发送至无期限礼物列表。
%s1の見た目を<br><br><span class='txt-color-orange'>%s2</span><br><br>に変更しました。,%s的外观已变更为<span class='txt-color-orange'>%s2</span>。
%s1をクリアすることで<br>%s2が仲間に加わります。<br>クエストを進行しますか？,完成%s1章节后，%s2将成为新伙伴。<br>是否进行此任务？
%s<br>%s が解放されました！,%s<br>%s已解放！
%s<br><br>このプレイヤーへの申請を取り消しますか？,%s<br><br>是否撤回向当前玩家发出的好友申请？
%s<br>をパーティに加えました。,%s加入队伍。
%s<br>を手に入れたぜ！,获得%s！
%s<br>を装備しました。,已装备%s。
%s<br>を設定しました。,%s<br>已设置。
%s<br>保護しました。,已保护<br>%s。
%s<br>保護しました。<br><br>保護を解除するまで<br>売却や強化素材にすることができません。,已保护%s。在取消保护前无法作为强化素材使用。
%s<br>保護を解除しました。,已取消保护<br>%s。
%s<br>保護を解除しました。<br><br>売却や強化素材に使用することができます。,%s的保护已取消。可以售出或选为强化素材。
%sJP入手しました。,已获得%sJP。
%sTOPに戻る,返回%s首页
%sがエレメントに変換され<br>プレゼントリストに送られました。,%s已被分解<br>道具已发送到你的邮箱。
%sがダブルアタック,%s二连击！
%sがトリプルアタック,%s三连击！
%sがパーティに加入しました。,%s已成为伙伴
%sが発動！,%s发动！
%sが発動！<br><span class='yellow'>%s</span>,%s发动！<br><span class='yellow'>%s</span>
%sが購入できます。,现在可以购买%s。
%sが足りません,%s不足。
%sさんに<br>申請しました。,已申请添加玩家%s为好友。
%sさんをスカウトしました。,已邀请%s入团。
%sさんを強制退室しました。,%s已退出房间。
%sに\nジョブチェンジした!!,您的职业变更为\n %s！！
%sにこれをあげよう,送给%s这个吧。
%sにクエスト権が変更されました,任务设置权已转移给%s。
%sにクエスト権を変更しました,已将任务设置权转移给%s
%sにクエスト権を変更しますか？,是否将任务设置权转移给%s？
%sに戻る,返回%s
%sの\n最大Lvが%s→%sになった！,%s的\n最大Lv由%s变为%s！
%sのジョブスキンが<br>変更できるようになりました！<br><br>ジョブの見た目を変更できます。, 您可以变更%s的职业皮肤了！您可以改变职业外观。
%sの武器が含まれています！,素材中含有%s武器！
%sの編成内容を<br>セット%sに登録しました。,%s的队伍已保存<br>为预设%s。
%sの見た目を<br>,%s的外观已更换为
%sへの挑戦,挑战%s
%sへ入団申請中,您已申请加入%s
%sを倉庫に移動,转移%s至仓库
%sを入手しました。,已获得%s
%sを売却,已售出%s
%sを終了しました。,%s已结束
%sを解散しました。,%s已解散。
%sを退団しました,%s已退团
%sエピソード未クリア,%s该章未通关
%sエピソード解放,%s剧情解放
%sエピソード解放条件,%s剧情解放条件
%sキャラ編成禁止,禁止出现%s角色
%sルピ,%s卢比
%sルピ入手しました。,已获得%s卢比。
%s中のため<br>除外することができません。,该装备在%s中，无法在自动装备时跳过该装备。
%s個,%s个
%s個交換しました。,已兑换%s个。
%s個入手しました。,获得%s个
%s個売却しました。,售出%s个
%s分,%s分
%s回目のダブルアップ<div class='text2'>続けて挑戦しますか？</div>,<div class='text2'>是否继续挑战</div>第%s次翻倍
%s完了,%s成功
%s属性キャラ<br>,%s属性人物
%s属性キャラ編成禁止,禁止出现%s属性角色
%s属性出現UPガチャ,%s属性出现率UP卡池
%s属性出現UPガチャ出現一覧,%s属性出现率UP卡池一览
%s文字以内で入力してください。,请输入%s字以内的信息。
%s日 ,%s天
%s時間 ,%s小时
%s時間%s分,%s小时%s分
%s番目と%s番目のスタンプの<br>表示順を入れ替えます。,调换%s号表情与%s号表情的位置。
%s番目に設定しているスタンプを<br>%s番目に移動します。,将当前%s号表情将移动至%s号位。
%s番目に設定する絵柄を選んでください,选择替换%s号表情的其他表情
%s確認,%s确认
%s連ガチャセットを購入,您已购买%s连抽卡套餐
%s達へのプレゼントじゃよ。,你们就收下吧。
&lt;開始条件&gt;,&lt;开始条件&gt
'獲得できませんでした。,获取失败
'獲得エラー,获取失败
(W)スターレジェンド10連ガチャ,必得10连卡池
1ゲーム最低%s枚必要です。<br>追加BETすることもできます。,一局游戏至少需要%s枚筹码。您可以提高赌注。
1以上の数を入力してください。,请输入1以上的数值。
1個入手しました。,您已获得1个。
1回だけ召喚可能です,只能召唤1次
1度参戦したのでこれ以上は<br>参戦することができません。,您已进行过该任务，无法再次进行。
1文字以上入力してください。,请至少输入1字。
30文字以内で入力してください。,请输入30字以内的留言。
48時間限定！<br>超得！！スタートダッシュガチャセットが購入できます！,48小时限定！现在可以购买新手特别扭蛋券！
4thAnniversaryガチャセットが購入できます。,可购买4周年抽卡券套餐！
5時を経過したためガチャTOPページへ遷移します。,已过去5小时，返回抽卡首页。
5時を経過したため画面を更新します。,已过去5小时，返回抽卡首页。
60分が経過したため、共闘クエストを終了します。<br>アイテムを使用できません。,60分钟已到，共斗任务结束。无法使用该道具。
<br><br>に変更しました。,<br><br>
<br><br>未クリアクエストのため、<br>AP%sが返却されました。<br><br>AP: %s→<span class='txt-after-ap'>%s</span>,<br><br>因您未成功通关该任务，<br>消耗的%sAP已回复。<br><br>AP: %s→<span class='txt-after-ap'>%s</span>
<br><span class='txt-red-color'>これ以上使用できません。</span>,<br><span class='txt-red-color'>无法使用。</span>
<br><span class='txt-red-color'>スコアが不足しています。</span>,<br><span class='txt-red-color'>分数不足。</span>
<br><span class='txt-yellow-color'>あと%s回使用できます。</span>,<br><span class='txt-yellow-color'>剩余%s次。</span>
<br>AP・BPはMAXですが投稿しますか？,您的AP·BP已满，是否继续投稿？
<br>楽器や歌による攻撃でゲージが大幅DOWN！,<br>通过乐器或歌声发动的攻击能使Mode条大幅下降！
<br>発動までのチャージターンが短縮された！,<br>发动前的缓冲回合数缩短！
<br>（現在の上限 %s）,<br>（现在的上限 %s）
<div class='prt-scout-msg prt-popup-frame'>%s</div>このメッセージを送り、スカウトしますか？,<div class='prt-scout-msg prt-popup-frame'>%s</div>是否发送该留言，邀请该玩家入团？
<span class='txt-attr%s'></span>に設定されていた<br>サポーター召喚石の固定を解除しました。,<span class='txt-attr%s'></span>支援召唤石已解除。
<span class='txt-birthday'>%s1%s2日は%s3さんの誕生日です！</span>マイページやルリアノートで、<br>特定のキャラクターからあなたの誕生日の<br>お祝いメッセージを聞くことができます。,<span class='txt-birthday'>%s1%s2日是你的生日！</span>在主页和露丽亚日记中可以听到大家对你的生日祝福。
