name,trans,scenario,noun
Lyria,露莉亚,,
Vyrn,碧,,
Katalina,卡塔莉娜,,
Vira,维拉,,
Rackam,拉卡姆,,
Io,伊欧,,
Furias,弗里亚斯,,
Drang,德朗,,
Sturm,斯特姆,,
Orchis,欧尔基丝,,
Noa,诺亚,,
Lecia,莉夏,,
Monika,莫妮卡,,
Walfried,瓦尔福里德,,
Eugen,欧根,,
Rosetta,萝赛塔,,
Freesia,芙莉西雅,,
Primal Beasts,星晶兽,,
Primal Beast,星晶兽,,
Black Knight,黑骑士,,
Gandharva,刚达尔瓦,,
Imperial Soldier,帝国士兵,,
Pommern,伯梅伦,,
Hydra,海德拉,,
Sierokarte,榭洛科特,,
Siero,榭洛,,
Townsperson,镇民,,
Townsgirl,城镇少女,,
Tzaka the Great,扎卡大公,,
Tiamat,提亚马特,,
Erste,艾尔斯提,,
Skyfarer,骑空士,,
Seasoned Skyfarer,熟练的骑空士,,
Elderly Skyfarer,骑空士长者,,
Monster,魔物,,
Ran Mōri,毛利兰,,
Ai Haibara,灰原哀,,
Conan Edogawa,江户川柯南,,
Doctor Agasa,阿笠博士,,
Kogorō Mōri,毛利小五郎,,
Tōru Amuro,安室透,,
Detective,侦探,,
Apprentice,助手,,
All Four,４人,,
Shinichi Kudō,工藤新一,,
Sarya,萨雅,,
Barawa,巴洛瓦,,
Haughty Woman,傲慢的女人,,
Carolina,卡罗丽娜,,
Daniela,达涅拉,,
Leila,蕾拉,,
Nelly,内莉露,,
Mannequin,机械人偶,,
Sandalphon,圣德芬,,
Lyria and Vyrn,露利亚和碧,,
Lucifer,路西菲尔,,
Lancelot,兰斯洛特,,
Guard 1 &,守卫1&,,
Guard,守卫,,
Coffee Farmer,咖啡园主人,,
Nicholas,士郎,,
Lunalu,露娜露,,
Elder,老人,,
Mahira,玛琪拉,,
Ann Takamaki,高卷杏,,
Caroline,卡萝莉娜,,
Justine,芮丝汀娜,,
Morgana,摩尔加纳,,
Ren Amamiya,雨宫莲,,
Ryuji Sakamoto,坂本龙司,,
Yusuke Kitagawa,喜多川祐介,,
Cathy,凯茜,,
De La Fille,蕾‧芬耶,,
Man,男子,,
Nouveau Riche,暴发户,,
Shopkeeper,店主,,
Shopkeeper's Wife,店主妻子,,
Staff,店员,,
Suspicious Man,可疑男子,,
Witness,目击者,,
Fisherman,渔师,,
Fishermen,渔师,,
Charlotta,夏洛特,,
Siegfried,齐格飞,,
Jessica,洁西卡,,
Carren,卡莲,,
Izmir,伊休米尔,,
Ayer,艾鲁,,
Waitress,女招待,,
Tweyen,索恩,,
Seofon,希耶提,,
Threo,萨拉萨,,
Goon,暴徒,,
Goons,暴徒们,,
Chika,千歌,,
Chika Takami,高海千歌,,
Sakurauchi Riko,樱内梨子,,
Matsuura kanan,松浦果南,,
Kurosawa Dia,黑泽黛雅,,
Watanabe You,渡边曜,,
Tsushima Yoshiko,津岛善子,,
Kunikida Hanamaru,国木田花丸,,
Ohara Mari,小原鞠莉,,
Kurosawa Ruby,黑泽露比,,
Dia,黛雅,,
First-Years,善子・花丸・露比,,
Hanamaru,花丸,,
Kanan,果南,,
Mari,鞠莉,,
Riko,梨子,,
Ruby,露比,,
Second-Years,千歌・曜・梨子,,
Third-Years,黛雅・果南・鞠莉,,
Yoshiko,善子,,
You,曜,,0
Akina,明菜,evt180831,0
Anne,安,,
Board Member,马纳利亚教联成员,evt180831,0
Board Members,马纳利亚教联的人们,evt180831,0
Bodyguard,保镖,,
Child,孩子,,
Delinquent,不良学生,,
Destiny Nocturne,宿命夜想曲的男人,,
Destiny Nocturnes,<span class='scene-font-2'>宿命夜想曲的男人们</span>,,
Elmott,艾尔蒙德,,
Granny,奶奶,,
Grea,古蕾亚,,
Hanna,汉娜,,
Killa Taiga,鬼角大河,,
Mr. Bertrand,席尔,,
Ms. Miranda,米兰达,,
Old Man,老人,,
Old Woman,老婆婆,,
Old-Timer,先生,,
Owen,欧文,,
Percival,帕西瓦尔,,
Red Wing,烈弩宇威愚的成员,,
Red Wings,<span class='scene-font-2'>烈弩宇威愚的成员们</span>,,
Ruffian,小混混,,
Sho,翔,,
Suframare,瑟芙拉玛尔,,
Taiga & Rintaro,大河和伦太郎,,
Tandem CEO,商会的老大,,
Townsfolk,镇民,,
Troublemaker,肇事者,,
Troublemakers,肇事者们,,
Tsubasa,翼,,
Tsubasa's Father,翼的父亲,,
Tsubasa's Mother,翼的母亲,,
Woman,女人,,
Yung Rintaro,小弟伦太郎,,
Clarisse,克拉莉丝,,
Client,委托人,,
Soldier,士兵,,
Fif,芬芙,,
Feather,菲扎,,
Lady Grey,格蕾小姐,,
