comment,trans,type
Massive $elemt DMG to a foe,$1属性伤害(特大),1
$elemt属性ダメージ,$1属性伤害,1
Boost to $elemt allies' critical hit rate,$1属性角色暴击率UP,1
$elemt属性キャラのクリティカル確率UP,$1属性角色暴击率UP,1
敵に$num～$num倍$elemt属性ダメージ,对敌方单体造成$1~$2倍$3属性伤害,1
"$percent-$percent $elemt DMG to a foe",对敌方单体造成$1-$2的$3属性伤害,1
自分のアビリティダメージ上限UP,提高自身技能伤害上限,2
Boost to skill DMG cap,提高自身技能伤害上限,2
累積,叠加,3
Stackable,叠加,3
追加ダメージ,追加伤害,2
Bonus DMG,追加伤害,2
敵に$elemt属性ダメージ,对敌方单体造成$1属性伤害,1
$elemt DMG to a foe,对敌方单体造成$1属性伤害,1
Hit to foe DEF,防御DOWN,2
味方全体の全属性ダメージカット($percent),我方全体伤害减免$1,1
$percent DMG cut to all allies,我方全体伤害减免$1,1
Bonus boost to all allies' DEF,我方全体防御UP,3
オーバードライブ時の敵に$num～$num倍$elemt属性ダメージ,对OD状态的敌方单体造成$1~$2倍$3属性伤害,1
モードゲージ減少,能量条削减,2
$percent-$percent $elemt DMG to a foe in overdrive,对OD状态的敌方单体造成$1-$2的$3属性伤害,1
Hit to mode bar for a foe in overdrive,降低OD状态敌方单体的能量条,2
オーバードライブ時の敵からの被ダメージ減少,减少来自OD状态的敌方的伤害,2
毎ターンステータスUP,每回合状态UP,2
被ダメージで解除,受到伤害后解除,2
Cut to DMG from a foe in overdrive,减少来自OD状态的敌方的伤害,2
Boost to attack specs every turn,每回合提高攻击性能,2
Ends upon taking DMG,受到伤害后解除,2
バトル開始時にパーティの奥義ゲージUP,战斗开始时，我方全体奥义值UP,2
Boost to allies' charge bar at battle start,战斗开始时，我方全体奥义值UP,2
オーバードライブ時の敵からの被ダメージ軽減,降低来自OD状态的敌方的伤害,2
Lessen DMG taken from foes in overdrive,降低来自OD状态的敌方的伤害,2
自分の$elemt属性攻撃UP,提高自身$1属性攻击力,1
Boost to $elemt ATK,提高自身$1属性攻击力,1
味方全体の$elemt属性ダメージ軽減,我方全体受到的$1属性伤害降低,1
Lessen allies' $elemt DMG,我方全体受到的$1属性伤害降低,1
敵全体に灼熱効果/闇属性防御DOWN,敌全体灼热效果/暗属性耐性down,2
Hit to all foes' dark DEF / Burn,敌全体灼热效果/暗属性耐性down,2
効果中必ずトリプルアタック,效果内自身必定三连击,2
Deal triple attacks while in effect,效果内自身必定三连击,2
奥義ゲージを$num％消費,使用消耗$1％奥义,1
Uses $num% of charge bar,使用消耗$1％奥义,1
敵が灼熱状態の時、通常攻撃と奥義に追加伤害,敌人在灼热状态时，普通攻击和奥义追加伤害,2
Bonus DMG for attacks against burned foes,敌人在灼热状态时，普通攻击和奥义追加伤害,2
味方全体が灼熱状態の敵から受けるダメージを軽減,我方全体受到来自灼热状态的敌人的伤害降低,2
Lessen DMG taken from burned foes for all allies,我方全体受到来自灼热状态的敌人的伤害降低,2
敵の全ての攻撃を回避,回避敌人所有攻击,2
Dodge all foe attacks,回避敌人所有攻击,2
自分に与ダメージ上昇効果,获得伤害上升效果,2
Boost to inflicted DMG,获得伤害上升效果,2
自分のクリティカル確率UP,自身暴击率UP,2
Big boost to critical hit rate,自身暴击率UP(大),2
敵の攻防DOWN,降低目标的攻击和防御,2
自分の攻防UP,提高自身的攻击和防御,2
Hit to a foe's ATK and DEF,降低目标的攻击和防御,2
Boost to ATK and DEF,提高自身的攻击和防御,2
味方全体の弱体効果無効($num回),我方全体获得弱体无效($1回合),1
$numターンの間自分が必ずトリプルアタック,$1回合内必定三连,1
$num-hit immunity to debuff for all allies,我方全体获得弱体无效($1回合),1
Deal triple attacks for $num turns,$1回合内必定三连,1
自分のHP回復,自身HP回复,2
Restore HP,自身HP回复,2
敵全体に$elemt属性伤害,对敌方全体造成$1属性伤害,1
$elemt DMG to all foes,对敌方全体造成$1属性伤害,1
敵の攻撃DOWN/防御DOWN,降低敌方的攻击和防御,2
自分の奥義ゲージUP,自身奥义值UP,2
クリティカル確率UP,暴击率UP,2
奥義ダメージ上限UP,奥义伤害上限UP,2
強化効果を$numつ無効化,驱散$1个强化效果,1
自分の攻撃UP,自身攻击UP,2
防御DOWN,防御DOWN,2
自分の連続攻撃確率UP,自身连击率UP,2
敵全体の攻撃DOWN,敌方全体攻击DOWN,2
味方全体の奥義ゲージUP,我方全体奥义值UP,2
味方全体への弱体効果無効,我方全体弱体效果免疫,2
味方全体の$elemt属性攻撃UP,我方全体$1属性攻击UP,1
自分のHPが少ないほど防御UP,自身HP越低防御越高,2
味方全体の連続攻撃確率UP,我方全体连击率UP,2
自分が即座に奥義発動可能,自身可以立即发动奥义,2
敵の強化効果を$numつ無効化,驱散目标$1个强化效果,1
自分の回避率大幅UP,自身回避率大幅UP,2
敵に魅了効果,给目标魅惑效果,2
味方全体の$elemt属性攻撃UP,我方全体$1属性攻击UP,1
自分のHPが多いほど奥義ダメージUP,自身HP越多奥义伤害越高,2
味方全体に再生効果,我方全体获得再生效果,2
$elemt属性ダメージカット,$1属性伤害减免,1
自分の奥義性能UP,自身奥义性能UP,2
味方全体の$elemt属性攻撃力UP,我方全体$1属性攻击力UP,1
奥義ゲージ$percentUP,奥义值$1UP,1
$elemt属性の敵に対して与ダメージUP,对$1属性敌人的伤害UP,1
