id,jp,en,trans
air_space_1,空域図,,空域图
arcade_mode_1,アーケードモード,,
arcarum_1,アーカルムの転世,,
arcarum_10,確認,,
arcarum_11,星導の天球儀,,
arcarum_12,ステージクリア,,
arcarum_13,次のステージに進みますか？,,
arcarum_14,チェックポイント到達,,
arcarum_15,アイテム,,
arcarum_16,アイテム入手,,
arcarum_17,強化発動,,
arcarum_18,？？？,,
arcarum_19,ステータス効果,,
arcarum_2,ポイント詳細情報,,
arcarum_20,探索完了,,
arcarum_21,チュートリアル完了,,
arcarum_22,「アーカルムの転世」の<br>チュートリアルを完了しました。,,
arcarum_23,確認,,
arcarum_25,ポイント交換はチュートリアル完了後<br>解放されます。,,
arcarum_26,アイテムを使用,,
arcarum_27,称号獲得,,
arcarum_28,他称号を%s個獲得しました,,
arcarum_29,進行中のクエストから撤退し、<br>探索を終了しました。,,
arcarum_3,出発確認,,
arcarum_32,アイテム追加,,
arcarum_33,TPが0になったため<br>進行中のクエストから撤退し、<br>探索を終了しました。,,
arcarum_34,通知設定,,
arcarum_35,アイテム通知,,
arcarum_36,簡易探索,,
arcarum_4,再開確認,,
arcarum_5,探索終了,,
arcarum_6,探索を終了しました。,,
arcarum_7,確認,,
arcarum_8,%s個入手しました。,,
arcarum_9,移動不可,,
arcarum_debuff_off_1,ステージ効果解除,,
arcarum_enemy_lock_1,アクイラ・キーストーン,,
arcarum_enhancement_1,アーカルム召喚石,,
arcarum_enhancement_10,一括外し確認,,
arcarum_enhancement_11,全ての編成から装備を外します。<br>よろしいですか？<br><br><div class='txt-attention'>※メイン召喚石に装備している<br>場合は外れません</div>,,
arcarum_enhancement_12,一括外し,,
arcarum_enhancement_13,装備を外しました。,,
arcarum_enhancement_14,選択された召喚石は保護中のため、<br>ベースとして選択できません。<br><br>保護を外した状態で再度選択してください。,,
arcarum_enhancement_15,入手,,
arcarum_enhancement_16,上限解放,,
arcarum_enhancement_17,入手後の召喚石詳細を見る,,
arcarum_enhancement_18,上限解放後の召喚石詳細を見る,,
arcarum_enhancement_2,入手,,
arcarum_enhancement_3,上限解放,,
arcarum_enhancement_4,%s確認,,
arcarum_enhancement_5,%s完了,,
arcarum_enhancement_6,アイテム詳細,,
arcarum_enhancement_7,ベース召喚石が条件を満たしていない、<br>倉庫に格納されている、もしくは<br>必要素材が不足しているため、<br>%sできません。,,
arcarum_enhancement_8,召喚石の所持数が最大に達しているため、<br>入手することができません。<br>所持数に空きを作ることで入手できるようになります。,,
arcarum_inter_mission_1,インターミッションに突入したためバトルを終了します,,
arcarum_open_difficulty_body_1,難易度HARDが解放されました。,,
arcarum_open_difficulty_body_2,難易度EXTREMEが解放されました。,,
arcarum_open_difficulty_head_1,HARD解放,,
arcarum_open_difficulty_head_2,EXTREME解放,,
arcarum_param_1,TP,,
arcarum_point_1,ポイント詳細情報,Arcapoint Details,
arcarum_quest_1,クエストの有効期限が切れました。<br><br>アーカルムの転世<br>クエスト 「%s1」<br><br>TPを%s2消費してバトルから撤退しました。,,
arcarum_quest_10,・,,
arcarum_quest_11,「%s」,,
arcarum_quest_12,種族,,
arcarum_quest_13,%sキャラ編成禁止,,
arcarum_quest_14,,,
arcarum_quest_2,クエストの有効期限が切れました。<br><br>アーカルムの転世<br>クエスト 「%s1」<br><br><span class='txt-retire-attention'>撤退に必要なTPが不足しているため<br>探索を終了しました。</span>,,
arcarum_quest_3,アーカルムの転世に戻る,,
arcarum_quest_4,探索を終了した場合、チェックポイント以降の<br>進行状況は保存されません。<br><br><div class='txt-lose-attention'>本当に探索を終了しますか？</div>,,
arcarum_quest_5,探索終了,,
arcarum_quest_6,進行中のクエストから撤退し、<br>探索を終了しました。,,
arcarum_quest_7,%sキャラ編成禁止,,
arcarum_quest_8,%s属性キャラ編成禁止,,
arcarum_quest_9,・,,
arcarum_stage_effect_1,ステージ効果発動,,
arcarum_stage_effect_2,ステータス「毒」発生,,
arcarum_stage_effect_3,奥義使用不可,,
arcarum_stage_effect_4,アビリティ使用不可,,
arcarum_stage_effect_5,連続攻撃確率DOWN,,
arcarum_tutorial_1,撤退確認,,
arcarum_tutorial_2,チュートリアル中のため<br>撤退できません。,,
arcarum_tutorial_3,バトルから撤退し<br>チュートリアルを再開します。,,
arcarum_tutorial_quest_1,撤退確認,,
arcarum_tutorial_quest_2,チュートリアル中のため<br>撤退できません。,,
arcarum_unopened_difficulty_1,難易度HARDは、難易度NORMALの<br>各ポイントをすべて踏破すると挑戦可能に<br>なります。,,
arcarum_unopened_difficulty_2,難易度EXTREMEは、難易度HARDの<br>各ポイントをすべて踏破すると挑戦可能に<br>なります。,,
archaic_1,特殊武器,,
archaic_10,武器選択,,
archaic_11,選択された武器は装備中のため、<br>素材として選択できません。<br><br>装備を外した状態で選択してください。,,
archaic_12,選択された武器は保護中のため、<br>素材として選択できません。<br><br>保護を外した状態で再度選択してください。,,
archaic_13,武器のさらなる強化をするために、<br>シェロちゃんの設備拡充に<br>ご協力ください～！,,
archaic_14,実行確認,,
archaic_15,シェロカルテに設備拡充のための<br>素材を渡しますか？,,
archaic_16,実行完了,,
archaic_17,シェロカルテに設備拡充のための<br>素材を渡しました。,,
archaic_18,シェロカルテに渡す<br>ルピ、もしくは必要素材が不足しています。,,
archaic_19,必要数分の素材が選択されていません。,,
archaic_2,アイテム詳細,,
archaic_20,強化確認,,
archaic_21,強化完了,,
archaic_22,フェイトエピソード解放,,
archaic_23,必要素材が不足しているため、<br>強化ができません。,,
archaic_24,必要素材が不足しているため、<br>製作ができません。,,
archaic_25,設備拡充に戻る,,
archaic_26,天星器一覧に戻る,,
archaic_27,依代を複数所持しているため、<br>使用する依代を選択してください。,,
archaic_28,貴重な武器への交換、製作は<br>こちらでできちゃいます～,,
archaic_29,強化確認,,
archaic_3,製作確認,,
archaic_30,一括外し確認,,
archaic_31,全ての編成から装備を外します。<br>よろしいですか？,,
archaic_32,一括外し,,
archaic_33,装備を外しました。,,
archaic_34,戦,,
archaic_35,攻,,
archaic_36,Lv,,
archaic_37,H,,
archaic_4,製作完了,,
archaic_5,ベース武器が打ち直し条件を<br>満たしていない、もしくは必要素材が<br>不足しているため、製作ができません。,,
archaic_6,選択された武器は装備中のため、<br>ベースとして選択できません。<br><br>装備を外した状態で選択してください。,,
archaic_7,選択された武器は保護中のため、<br>ベースとして選択できません。<br><br>保護を外した状態で再度選択してください。,,
archaic_8,素材武器を選択してください,,
archaic_9,武器製作に戻る,,
archaic_job_1,特殊武器,,
archaic_job_10,依代を複数所持しているため、<br>使用する依代を選択してください。,,
