id,jp,trans
1,一気に攻めろ！,一口气的进攻吧！
2,ブレイクさせよう！,让敌人break吧！
3,ここはまかせろ！,这里交给我吧！
4,ディスペル使います！,我要用驱散了！
5,アビリティで攻める！,用技能进攻把！
6,ディスペル<br>お願いします！,拜托<br>上驱散！
7,弱体成功！,弱体成功！
8,バトル開始！,战斗开始！
9,慎重にいこう,慎重地战斗吧
10,ファランクス使います！,我要用守护之盾了！
11,ちょっと待って,等等
12,ファランクス<br>お願いします！,拜托<br>上守护之盾！
13,敵の技に気をつけて！,小心敌人的技能！
14,ブレイクキープ<br>いきます！,要用<br>BREAK维持了！
15,敵の特殊行動に注意！,注意敌人的特殊行动！
16,ブレイクキープ<br>は温存で！,留著<br>BREAK維持！
17,まだ戦える！,还能战斗！
18,ヒールオール使います！,要用全体治疗了！
19,ちょっとヤバイかも…,有点不妙啊…
20,ヒールオール<br>お願いします！,拜托<br>用全体治疗！
21,死にそう,要死了
22,クリアオール使います！,要用净化了！
23,温存して立て直そう！,留起来再用吧！
24,クリアオール<br>お願いします！,拜托<br>用净化！
25,ありがとう！,谢谢！
26,ごめんなさい！,对不起！
27,オッケー！,OK！
28,救援よろしく！,救援拜托了！
29,えっ！？,诶！？
30,トレハンいれます！,用掉宝了！
31,召喚します！,用召唤了！
32,やったー！！,太棒了！！
99,勝利を信じて！,相信会胜利的！
