path,trans,duration,note
voice/3040239000_white_mypage1_mix,白色情人节快乐！,2,白情
voice/3040239000_white_mypage2_mix,啊，是巴萨拉卡，你在买东西？\n为了送给团长他们。\n你从童话风的商店里出来很稀奇啊……很多方面。\n嗯……需要专门的装备吗？\n不是挺好的吗？比如小熊帽子之类的。\n小熊啊……,18,
voice/3040239000_white_mypage3_mix,这是上个月的回礼，公主。\n唔呃……你给我回礼我很高兴，不过这叫法……\n有什么问题吗，公主。\n不要再叫了。,13,
voice/3040239000_halloween_mypage1_mix,万圣节快乐！,2,万圣语音1
voice/3040239000_halloween_mypage2_mix,trick or treat！,2,万圣语音2
voice/3040239000_halloween_mypage3_mix,巴萨拉卡你，真是对万圣节来劲呢。\n小时候，我很擅长恶作剧。\n泽塔：你小时候什么样啊？\n没什么大变化，只是比现在话多了点。\n反而无法想象了。,16,
voice/3040239000_halloween_mypage4_mix,泽塔那家伙，把这么粗浅的陷阱……嗯？\n啊哈哈哈！上当了吧——？趁你盯着脚下的功夫从上面来了哟！\n原来如此，比我想的要能干啊。\n因为我是被打了一定要还手的那类人啊。,16,
voice/3040239000_archive02_mix,泽塔，你有糖果吗？\n那个，你是想对我做手里没糖果的人会被做的事情？\n被察觉了吗。不愧是我的搭档啊。\n你这人啊……,11,图鉴3
voice/3040239000_archive01_mix,T R I C K    O R    T R E A T  ！ ！ ！\n真要这么干吗？太吓人了吧？\n把握语气好难啊。,9,图鉴2
voice/3040239000_introduce1_mix,嘛，姬塔！万圣节快乐！	\n来，说吧。说“trick or treat”。\n所以说那个太可怕了。,10,图鉴1
voice/3040239000_mypage4_mix,你会变装什么的，还挺让人意外的。\n如果我参加这种活动的话，姬塔他们好像也会很高兴。\n是吗…那一会去姬塔他们那儿看一眼？\n看到我们回去会吓一跳吧。\n呵呵，在奇怪的地方很纤细呢。,18,图鉴语音4
