id,en,jp,trans
0-chapter_name,,第6章　想いは陽炎の如く,第六章  思念如幻炎
0-synopsis,,砂漠の魔物に囲まれる<span>姬塔</span>一行は、イオを守りながら戦おうとするが、イオは大公の弟子の魔導士である誇りにかけて自らも戦おうとする。,<span>姬塔</span>一行在沙漠被魔兽包围，一边战斗一边保护伊欧。但伊欧称自己是大公的弟子，赌上魔导士的自持，亦要参与战斗。
1,,"おっと……<br>
おしゃべりしてる暇はなさそうだぜ！",哎……看来不是闲聊的时候！
2,,"空気が変わったな。<br>
魔物のお出ましか！",氛围有些不对劲。是魔物出现了么？
9,,"おい、姬塔！<br>
こっちからも魔物だ！",喂、姬塔！这里也有魔物！
10,,"<span class='scene-font-4'>イオちゃん、こっちです！</span><br>
<span class='scene-font-4'>こっちに隠れててください！</span>",<span class='scene-font-4'>伊欧，来这边！躲在这里吧！</span>
11,,"へ、平気よ！<br>
これでも魔導士だもん。<br>
魔物なんか蹴散らしてやるんだから！",没、没事的！我也是个魔导士啊。魔兽什么的两三下就解决了！
12,,"おいおい、無茶すんじゃねぇぞ。<br>
ガキンチョ！",喂喂、你个小毛孩可别乱来啊！
info,,1,scene_cp6_q2_s20
备注,,,ver-1: @煌月夜 2018/4/6
