id,name,detail
npc,优希斯,3040105000
special,破煌刃・星薙,<div class=prt-text-small>星薙形态：风属性伤害(特大)/侠气Lv上升/获得吸血效果<br>天终形态：风属性伤害(特大)/侠气Lv上升/获得20%风属性追击效果</div>
special-破煌刃・暁天,破煌刃・晓天,<div class=prt-text-small>星薙形态：风属性伤害(特大)/侠气Lv上升/获得吸血效果/承伤吸血效果<br>天终形态：风属性伤害(特大)侠气Lv上升/获得20%风属性追击效果</div>
special-破煌刃・天終,破煌刃・天终,<div class=prt-text-small>风属性伤害(特大)侠气Lv上升/获得20%风属性追击效果</div>
special-Skyblade Heavensbane,破煌刃・天终,<div class=prt-text-small>风属性伤害(特大)侠气Lv上升/获得20%风属性追击效果</div>
skill-1,坚定信念,切换为天终之型<br>再使用切换回星薙之型
skill-不忠への報い,惩戒不忠,切换为星薙之型
skill-No Regrets,惩戒不忠,切换为星薙之型
skill-2,杯之庇护,<div class=prt-text-small>星薙形态：援护效果/减免70%全属性伤害/弱体效果无效（1次）<span class=text-blue>◆消耗20%奥义值</span><br>天终形态：自身攻击大幅UP(1次)/奥义值30%UP<span class=text-blue>◆消耗20%HP</span></div>
skill-一刀専心,一刀专心,自身获得一刀专心效果(1次/无法驱散)◆消耗20%最大HP
skill-Ardent Blade,一刀专心,自身获得一刀专心效果(1次/无法驱散)◆消耗20%最大HP
skill-3,叛意即斩,<div class=prt-text-small>星薙形态：自身获得反击效果(受伤时/2次)/减轻土属性伤害<br>天终形态：效果中必定连击/高扬效果</div>
skill-仇花散華,仇花散华,自身必定二连击/高扬效果
skill-Unfettered,仇花散华,自身必定二连击/高扬效果
support-1,迪特利亚流剑术・星薙式,<div class=prt-text-small>星薙之型下防御UP/敌对心UP/活性效果<span class=text-blue>◆根据侠气Lv奥义值上升量UP/回复性能UP</span></div>
support-2,迪特利亚流剑术・天终式,<div class=prt-text-small>天终之型下攻击UP/敌对心DOWN/强化效果不会被驱散<span class=text-blue>◆根据侠气Lv奥义伤害UP/奥义上限UP</span></div>
skill-lb,LB技能,使用“杯之庇护”或“一刀专心”时侠气Lv有几率上升
intro,寻求再兴的侠义骑士,心怀义理与人情，少女踏上了去往遥远天空的旅程。手中握着的魔具，是她头领地位的证明……她只有一个希求：不忘组内的纠纷，然后成为合适的头领。而这旅途遍布险阻，且难见其终。她则直视前方，毫不动摇地前进着。只要带着侠义之心前进……
