id,name,detail
npc,露莉亚,3040643000
special,灾难意志,光属性伤害(极大)/敌方全体攻防DOWN
skill-1,永远的苍蓝,<div class=prt-text-small>我方全体奥义值40%UP/主人公和自身的奥义伤害特殊上限UP/奥义再发动效果(1次)</div>
skill-2,决意的守护,我方全体获得护盾效果/防御UP/格挡效果
skill-3,星神的残滓,<div class=prt-text-small>所有召唤石可即刻使用/自身获得「星神的残滓」效果<span class=text-blue>◆再召唤不可的召唤石除外/「星神的残滓」效果中，获得高扬效果/技能伤害UP/召唤伤害UP/召唤石使用间隔减少1回合/无法再次使用</span></div>
support-1,星之呼唤,<div class=prt-text-small>使用召唤石时，技能的预备回合与冷却回合减少1/奥义值15%UP/满足以下条件的回合结束时获得星晶兽的借力<br><span class=text-blue>◆敌方有3个以上能被消去的强化效果：对敌方全体造成风属性伤害/消去1个强化效果<br>发生奥义连锁：对敌方造成火属性伤害/承伤UP效果(6次)<br>敌方CT达到最大：对敌方全体造成水属性伤害/我方全体反射一部分伤害(1次)<br>敌方发动特殊技：对敌方全体造成土属性伤害/回复我方全体HP/回复1个弱体效果</span></div>
support-2,与你一心同体,<div class=prt-text-small>1回合可以进行2次召唤/主人公给予露莉亚援护效果/主人公或露莉亚HP为0时二者皆无法战斗</div>
support-3,苍之意志,<div class=prt-text-small>不进行普攻，无视敌方的火·水·土·风属性耐性/无视敌方属性必定触发属性弱点/回避率UP/回合结束时，有濒死状态的我方成员在场时，仅一次，回复我方全体HP以及弱体效果/可即刻发动奥义</div>
skill-lb,,
intro,永远的苍之少女,少女与自身的创造者——自己的母亲相遇，随后得知自己残酷的命运。但正因是一路走来的她，绝不会对命运感到绝望。她定将与谁携手共进走向未来。
